gsm,Sample_title,Sample_source_name_ch1,cell type,treatment
GSM5765399,A549-1_Count,lung cancer cell,A549,untreated
GSM5765400,A549-2_Count,lung cancer cell,A549,untreated
GSM5765401,A549-3_Count,lung cancer cell,A549,untreated
GSM5765402,A549-sp-1_Count,lung cancer cell,A549-Sphere cell,Tumorsphere-formation assay
GSM5765403,A549-sp-2_Count,lung cancer cell,A549-Sphere cell,Tumorsphere-formation assay
GSM5765404,A549-sp-3_Count,lung cancer cell,A549-Sphere cell,Tumorsphere-formation assay
