gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line id,tissue
GSM5819170,NCI-H1993_CTRL_REP1,"cell line, overexpressing a negative control mimic",NCI-H1993 cells transfected with a negative control mimic,NCI-H1993,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819171,NCI-H1993_miR-455-5p_REP1,"cell line, overexpressing a miR-455-5p mimic",NCI-H1993 cells transfected with miR-455-5p mimic,NCI-H1993,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819172,NCI-H1993_CTRL_REP2,"cell line, overexpressing a negative control mimic",NCI-H1993 cells transfected with a negative control mimic,NCI-H1993,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819173,NCI-H1993_miR-455-5p_REP2,"cell line, overexpressing a miR-455-5p mimic",NCI-H1993 cells transfected with miR-455-5p mimic,NCI-H1993,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819174,NCI-H2023-Parental_CTRL_REP1,"cell line, overexpressing a negative control mimic",NCI-H2023-Parental cells subjected to treatment cycles (n=11) of vehicle solution (NaCl 0.9%) and then transfected with a negative control mimic,NCI-H2023-Parental,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819175,NCI-H2023-CDDP-R_CTRL_REP1,"cell line, overexpressing a negative control mimic",NCI-H2023-CDDP-R cells subjected to treatment cycles (n=11) of Cisplatin and then transfected with a negative control mimic,NCI-H2023-CDDP-R,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819176,NCI-H2023-CDDP-R_miR-455-5p_REP1,"cell line, overexpressing a miR-455-5p mimic",NCI-H2023-CDDP-R cells subjected to treatment cycles (n=11) of Cisplatin and then transfected with a miR-455-5p mimic,NCI-H2023-CDDP-R,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819177,NCI-H2023-Parental_CTRL_REP2,"cell line, overexpressing a negative control mimic",NCI-H2023-Parental cells subjected to treatment cycles (n=11) of vehicle solution (NaCl 0.9%) and then transfected with a negative control mimic,NCI-H2023-Parental,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819178,NCI-H2023-CDDP-R_CTRL_REP2,"cell line, overexpressing a negative control mimic",NCI-H2023-CDDP-R cells subjected to treatment cycles (n=11) of Cisplatin and then transfected with a negative control mimic,NCI-H2023-CDDP-R,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
GSM5819179,NCI-H2023-CDDP-R_miR-455-5p_REP2,"cell line, overexpressing a miR-455-5p mimic",NCI-H2023-CDDP-R cells subjected to treatment cycles (n=11) of Cisplatin and then transfected with a miR-455-5p mimic,NCI-H2023-CDDP-R,Lung adenocarcinoma cell line from lymph node of stage IIIA NSCLC
