gsm,Sample_title,Sample_source_name_ch1,cell line,cell type,treatment
GSM6589514,PC-9_Con_1,Mock transfected PC-9,Mock transfected PC-9,Lung adenocarcinoma (LUAD),untreated
GSM6589515,PC-9_Con_2,Mock transfected PC-9,Mock transfected PC-9,Lung adenocarcinoma (LUAD),untreated
GSM6589516,PC-9_Con_3,Mock transfected PC-9,Mock transfected PC-9,Lung adenocarcinoma (LUAD),untreated
GSM6589517,PC-9_OE_1,c-Jun overexpression plasmid transfected PC-9,c-Jun overexpression plasmid transfected PC-9,Lung adenocarcinoma (LUAD),untreated
GSM6589518,PC-9_OE_2,c-Jun overexpression plasmid transfected PC-9,c-Jun overexpression plasmid transfected PC-9,Lung adenocarcinoma (LUAD),untreated
GSM6589519,PC-9_OE_3,c-Jun overexpression plasmid transfected PC-9,c-Jun overexpression plasmid transfected PC-9,Lung adenocarcinoma (LUAD),untreated
