gsm,Sample_title,Sample_source_name_ch1,cell line,tissue,ifn-g treatment time
GSM4544344,A549 0h,lung adenocarcinoma,A549,lung adenocarcinoma,0h
GSM4544345,A549 1h,lung adenocarcinoma,A549,lung adenocarcinoma,1h
GSM4544346,A549 8h,lung adenocarcinoma,A549,lung adenocarcinoma,8h
GSM4544347,A549 24h,lung adenocarcinoma,A549,lung adenocarcinoma,24h
GSM4544348,HCC827 0h,lung adenocarcinoma,HCC827,lung adenocarcinoma,0h
GSM4544349,HCC827 1h,lung adenocarcinoma,HCC827,lung adenocarcinoma,1h
GSM4544350,HCC827 8h,lung adenocarcinoma,HCC827,lung adenocarcinoma,8h
GSM4544351,HCC827 24h,lung adenocarcinoma,HCC827,lung adenocarcinoma,24h
