gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line,cell type,treatment,genotype
GSM5707995,A549 mock rep 1,A549 mock,D4_1,A549,lung adenocarcinoma,"scramble sgRNA, no IFN-gamma",mock
GSM5707996,A549 mock rep 2,A549 mock,D4_2,A549,lung adenocarcinoma,"scramble sgRNA, no IFN-gamma",mock
GSM5707997,A549 mock rep 3,A549 mock,D4_3,A549,lung adenocarcinoma,"scramble sgRNA, no IFN-gamma",mock
GSM5707998,A549 NRF2 KO rep1,A549 NRF2 KO,EX4_1,A549,lung adenocarcinoma,"sgNRF2, no IFN-gamma",NRF2 KO
GSM5707999,A549 NRF2 KO rep2,A549 NRF2 KO,EX4_2,A549,lung adenocarcinoma,"sgNRF2, no IFN-gamma",NRF2 KO
GSM5708000,A549 NRF2 KO rep3,A549 NRF2 KO,EX4_3,A549,lung adenocarcinoma,"sgNRF2, no IFN-gamma",NRF2 KO
GSM5708001,A549 parental rep1,A549 parental,NT_1,A549,lung adenocarcinoma,"NA, no IFN-gamma",parental
GSM5708002,A549 parental rep2,A549 parental,NT_2,A549,lung adenocarcinoma,"NA, no IFN-gamma",parental
GSM5708003,A549 parental rep3,A549 parental,NT_3,A549,lung adenocarcinoma,"NA, no IFN-gamma",parental
