gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell type,cell type (sorted),disease state,treatment,library type,antibodies/tags
GSM6596321,MQpool1-GEX,PBMC,matrix.mtx.gz,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",mRNA,
GSM6596322,MQpool2-GEX,PBMC,matrix.mtx.gz,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",mRNA,
GSM6596323,MQpool1-VDJ,PBMC,,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",VDJ,
GSM6596324,MQpool2-VDJ,PBMC,,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",VDJ,
GSM6596325,MQpool1-FB,PBMC,matrix.mtx.gz,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",HTO,Dose_0--/TotalSeq-C0251 ; Dose_1--/TotalSeq-C0252 ; Dose_3--/TotalSeq-C0253 ; Dose_4--/TotalSeq-C0254
GSM6596326,MQpool2-FB,PBMC,matrix.mtx.gz,PBMC,CD45+CD19-CD3+CD56- cells,NSCLC,"pre-treatment and on-treatment at 3, 6, 9 weeks",HTO,Dose_0--/TotalSeq-C0251 ; Dose_1--/TotalSeq-C0252 ; Dose_3--/TotalSeq-C0253 ; Dose_4--/TotalSeq-C0254
