gsm,Sample_title,Sample_source_name_ch1,Sample_description,tissue,tumor type,tumor stage,metastatic site,response to neoadjuvant chemotherapy
GSM5819036,LNmet_pN2_POOL1,lymph nodal metastasis,pool of 5 lymph nodal metastasis collected before treatment from stage IIIA NSCLC patients who did not respond to neoadjuvant chemotherapy (pN2),FFPE  tissue,NSCLC,stage IIIA,mediastinal lymph node,resistant (pN2)
GSM5819037,LNmet_pN2_POOL2,lymph nodal metastasis,pool of 5 lymph nodal metastasis collected before treatment from stage IIIA NSCLC patients who did not respond to neoadjuvant chemotherapy (pN2),FFPE  tissue,NSCLC,stage IIIA,mediastinal lymph node,resistant (pN2)
GSM5819038,LNmet_pN0_POOL1,lymph nodal metastasis,pool of 5 lymph nodal metastasis collected before treatment from stage IIIA NSCLC patients who responded to neoadjuvant chemotherapy (pN0),FFPE  tissue,NSCLC,stage IIIA,mediastinal lymph node,sensitive (pN0)
GSM5819039,LNmet_pN0_POOL2,lymph nodal metastasis,pool of 5 lymph nodal metastasis collected before treatment from stage IIIA NSCLC patients who responded to neoadjuvant chemotherapy (pN0),FFPE  tissue,NSCLC,stage IIIA,mediastinal lymph node,sensitive (pN0)
