gsm,Sample_title,Sample_source_name_ch1,Sample_description,cell line,cell type,treatment
GSM7017566,Control rep 1,H2030,IRE-H2030-CTR-001,H2030,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool
GSM7017567,Control rep 2,H2030,IRE-H2030-CTR-002,H2030,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool
GSM7017568,Control rep 3,H2030,IRE-H2030-CTR-003,H2030,Human Non-Small Cell Lung Cancer,Control: transfection with non-targeting RNA pool
GSM7017569,SiMENA11a rep 1,H2030,IRE-H2030-si11A-001,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool
GSM7017570,SiMENA11a rep 2,H2030,IRE-H2030-si11A-002,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool
GSM7017571,SiMENA11a rep 3,H2030,IRE-H2030-si11A-003,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA11a siRNA pool
GSM7017572,SiMENA rep 1,H2030,IRE-H2030-siMena-001,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool
GSM7017573,SiMENA rep 2,H2030,IRE-H2030-siMena-002,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool
GSM7017574,SiMENA rep 3,H2030,IRE-H2030-siMena-003,H2030,Human Non-Small Cell Lung Cancer,transfection with hMENA(t) siRNA pool
