sample,patient,fov,radius_um,n_high,n_low,mean_high,mean_low,delta_high_minus_low,ci95_lo,ci95_hi
Lung12,P12,1,40,658,1297,2.0714285714285716,2.8527370855821124,-0.7813085141535407,-1.0181474433635722,-0.6033339153013848
Lung12,P12,2,40,461,1167,2.3058568329718003,3.5458440445586974,-1.239987211586897,-1.5597599942006035,-0.9767202553221546
Lung12,P12,3,40,428,719,1.0257009345794392,2.6091794158553547,-1.5834784812759155,-1.8200848465547945,-1.321167038202072
Lung12,P12,4,40,556,840,1.4154676258992807,3.2345238095238096,-1.819056183624529,-2.1280654761904763,-1.5225826481671805
Lung12,P12,5,40,327,992,1.0214067278287462,1.502016129032258,-0.4806094012035118,-0.6345449374815034,-0.3349409187876097
Lung12,P12,6,40,369,912,2.029810298102981,2.869517543859649,-0.8397072457566681,-1.0960550830837257,-0.6139726857794894
Lung12,P12,7,40,223,735,2.2645739910313902,3.8476190476190477,-1.5830450565876575,-1.9476634330862388,-1.155193099661389
Lung12,P12,8,40,342,597,1.2836257309941521,3.0586264656616415,-1.7750007346674894,-2.114469643539334,-1.4649886861206616
Lung12,P12,9,40,214,1430,1.7383177570093458,2.1335664335664335,-0.39524867655708773,-0.7129460492778247,-0.09435510750931313
Lung12,P12,10,40,158,845,2.4556962025316458,3.382248520710059,-0.9265523181784134,-1.3201224627368737,-0.5446713729308666
Lung12,P12,11,40,105,459,3.2476190476190476,4.555555555555555,-1.3079365079365077,-1.948197945845005,-0.6382135076252725
Lung12,P12,12,40,61,329,4.901639344262295,5.899696048632219,-0.9980567043699233,-2.0338482236284823,0.19644476555882195
Lung12,P12,13,40,248,1161,1.5,1.8733850129198966,-0.37338501291989656,-0.6401732377538829,-0.0985231550943289
Lung12,P12,14,40,127,804,1.1574803149606299,1.958955223880597,-0.8014749089199671,-1.1119500920593883,-0.5667912896149174
Lung12,P12,15,40,72,393,1.4583333333333333,2.969465648854962,-1.5111323155216285,-2.0364000212044107,-0.9315495122985584
Lung12,P12,16,40,26,264,2.3461538461538463,2.7803030303030303,-0.434149184149184,-1.4350815850815852,0.8309513403263402
Lung12,P12,17,40,284,1186,1.7147887323943662,2.123102866779089,-0.40831413438472297,-0.641543506400969,-0.20793515307697785
Lung12,P12,18,40,211,715,2.075829383886256,2.3636363636363638,-0.28780697975010794,-0.6375819441222286,0.024679349086931857
Lung12,P12,19,40,352,656,1.4176136363636365,2.596036585365854,-1.1784229490022173,-1.4775117793791572,-0.9020371396895789
Lung12,P12,20,40,50,290,3.42,4.372413793103449,-0.9524137931034486,-2.098362068965517,-0.054827586206896234
Lung12,P12,21,40,497,958,1.3259557344064385,1.7494780793319415,-0.423522344925503,-0.5821129805975729,-0.2540549140353603
Lung12,P12,22,40,322,707,1.236024844720497,2.5233380480905234,-1.2873132033700265,-1.537240175880942,-1.08554824426542
Lung12,P12,23,40,123,561,2.959349593495935,5.732620320855615,-2.7732707273596797,-3.419757836615799,-2.080546497978349
Lung12,P12,24,40,198,455,1.6464646464646464,3.8153846153846156,-2.168919968919969,-2.593360805860806,-1.6754295704295705
Lung12,P12,25,40,299,700,2.3645484949832776,3.3457142857142856,-0.9811657907310081,-1.3558131868131866,-0.6674835164835161
Lung12,P12,26,40,339,788,2.0442477876106193,3.2741116751269037,-1.2298638875162844,-1.484859077160355,-0.9480075393438449
Lung12,P12,27,40,169,593,1.982248520710059,4.777403035413154,-2.7951545147030945,-3.346880519273177,-2.1341933005378326
Lung12,P12,28,40,356,725,1.6825842696629214,3.8413793103448275,-2.1587950406819063,-2.535407206509105,-1.824580879504068
Lung13,P13,1,40,372,694,1.3091397849462365,2.3587896253602305,-1.049649840413994,-1.2998967726441697,-0.8218133153605405
Lung13,P13,2,40,632,716,1.259493670886076,3.1354748603351954,-1.8759811894491194,-2.132487315253518,-1.632544993281946
Lung13,P13,3,40,288,598,1.3020833333333333,2.0551839464882944,-0.7531006131549611,-0.9842969040319584,-0.5121217135823113
Lung13,P13,4,40,378,675,0.9603174603174603,1.3007407407407408,-0.3404232804232804,-0.5088306878306879,-0.18532275132275136
Lung13,P13,5,40,420,858,1.9452380952380952,2.9592074592074593,-1.013969363969364,-1.2461055611055611,-0.7823455710955713
Lung13,P13,6,40,756,898,0.6838624338624338,1.6993318485523385,-1.0154694146899046,-1.2118349418460779,-0.8235544007258928
Lung13,P13,7,40,151,796,1.1589403973509933,2.092964824120603,-0.9340244267696098,-1.2700491280907849,-0.6111594811807379
Lung13,P13,8,40,208,624,2.0913461538461537,3.121794871794872,-1.030448717948718,-1.4360977564102562,-0.6856570512820515
Lung13,P13,9,40,555,942,1.2702702702702702,2.6751592356687897,-1.4048889653985195,-1.6361609858265909,-1.190827738566592
Lung13,P13,10,40,768,789,1.3658854166666667,2.5259822560202787,-1.160096839353612,-1.38183556618346,-0.9111248910804819
Lung13,P13,11,40,458,736,1.834061135371179,2.875,-1.040938864628821,-1.2787429395291439,-0.7759966240269606
Lung13,P13,12,40,184,739,1.9021739130434783,2.2855209742895806,-0.3833470612461023,-0.7320911410837208,0.004029571394952351
Lung13,P13,13,40,273,577,2.21978021978022,3.0779896013864816,-0.8582093816062617,-1.2985516216885369,-0.4436732245224447
Lung13,P13,14,40,568,476,2.117957746478873,3.0756302521008405,-0.9576725056219675,-1.3736584950881763,-0.5718646437448215
