sample,patient,fov,radius_um,n_cldn4hi,n_cldn4lo,n_cd8nk,keren_tumor_high,keren_immune_high,homog_high,n_aa_high,n_bb_high,n_ab_high,keren_tumor_low,keren_immune_low,homog_low,n_aa_low,n_bb_low,n_ab_low
Lung5_Rep1,P5,1,20,193,819,330,0.25339366515837103,0.3111111111111111,0.12253829321663019,442,360,112,0.6044692737430167,3.0055555555555555,0.3347772277227723,1790,360,1082
Lung5_Rep1,P5,1,40,193,819,330,0.46991869918699186,0.4768976897689769,0.1913907284768212,1230,1212,578,0.6798639034952056,3.627062706270627,0.3640881232400199,6466,1212,4396
Lung5_Rep1,P5,1,60,193,819,330,0.6730418943533698,0.632164242942686,0.2458416500332668,2196,2338,1478,0.7114225437010248,4.038494439692045,0.3768960562030976,13272,2338,9442
Lung5_Rep1,P5,1,80,193,819,330,0.8931572629051621,0.8060671722643553,0.2976,3332,3692,2976,0.7072031614873361,4.265438786565547,0.37757744317636904,22268,3692,15748
Lung5_Rep1,P5,2,20,355,734,483,0.3245382585751979,0.30295566502463056,0.1354625550660793,758,812,246,0.5451541850220264,1.2192118226600985,0.2736318407960199,1816,812,990
Lung5_Rep1,P5,2,40,355,734,483,0.5230352303523035,0.37258687258687256,0.1787037037037037,2214,3108,1158,0.699344262295082,1.3725868725868726,0.3166097669585869,6100,3108,4266
Lung5_Rep1,P5,2,60,355,734,483,0.7497522299306244,0.4583459557709785,0.22145784543325528,4036,6602,3026,0.8168824617454179,1.4716752499242653,0.34439245711044947,11894,6602,9716
Lung5_Rep1,P5,2,80,355,734,483,0.9153289266603715,0.5213338114019361,0.24933550544456828,6354,11156,5816,0.8834164588528678,1.5242022230190033,0.35867364157948023,19248,11156,17004
Lung5_Rep1,P5,3,20,526,1144,202,0.1800595238095238,1.3444444444444446,0.13703284258210646,1344,180,242,0.2929663608562691,5.322222222222222,0.21733212341197822,3270,180,958
Lung5_Rep1,P5,3,40,526,1144,202,0.29470034670629025,2.0517241379310347,0.20488980716253444,4038,580,1190,0.3395910157559504,6.9862068965517246,0.2446269017145617,11932,580,4052
Lung5_Rep1,P5,3,60,526,1144,202,0.3634247284014485,2.6115241635687734,0.2418660698915476,7732,1076,2810,0.352889527458493,8.217472118959108,0.2528163778807114,25056,1076,8842
Lung5_Rep1,P5,3,80,526,1144,202,0.3993415637860082,2.98034398034398,0.26044015029522277,12150,1628,4852,0.3582582870281663,9.187960687960688,0.2564023449552607,41752,1628,14958
Lung5_Rep1,P5,4,20,649,1070,394,0.15964125560538117,0.6402877697841727,0.11330362826225335,2230,556,356,0.6017378711078928,2.9892086330935252,0.3337349397590361,2762,556,1662
Lung5_Rep1,P5,4,40,649,1070,394,0.2758525090102578,0.9861248761149654,0.17733024416325074,7214,2018,1990,0.6406187223784653,3.1605550049554014,0.34753705318221445,9956,2018,6378
Lung5_Rep1,P5,4,60,649,1070,394,0.35700197238658776,1.1941564561734213,0.2155861834269185,14196,4244,5068,0.6796553374820489,3.3454288407163055,0.3609783382487542,20890,4244,14198
Lung5_Rep1,P5,4,80,649,1070,394,0.41795444394819115,1.3376214979988565,0.24153417303324387,22390,6996,9358,0.6941913439635535,3.484848484848485,0.3666385948026949,35120,6996,24380
Lung5_Rep1,P5,5,20,553,994,422,0.2845786963434022,0.4441687344913151,0.14781172584640792,1258,806,358,0.5843373493975904,1.684863523573201,0.3025846702317291,2324,806,1358
Lung5_Rep1,P5,5,40,553,994,422,0.4434654919236417,0.6555716353111433,0.20918956361117524,4086,2764,1812,0.6554680259499537,2.0470332850940665,0.33176967280403424,8632,2764,5658
Lung5_Rep1,P5,5,60,553,994,422,0.5746861388675378,0.775856105153926,0.24820183689277414,7806,5782,4486,0.6891620111731843,2.133517813905223,0.34249541895718805,17900,5782,12336
Lung5_Rep1,P5,5,80,553,994,422,0.6275927089880579,0.8233353947639662,0.26260766651324874,12728,9702,7988,0.7062719385389761,2.1983096268810556,0.3483373619912458,30198,9702,21328
Lung5_Rep1,P5,6,20,247,690,1036,0.9444444444444444,0.17651757188498401,0.12946690099589925,468,2504,442,1.7473363774733637,0.9169329073482428,0.3755315668956493,1314,2504,2296
Lung5_Rep1,P5,6,40,247,690,1036,1.814327485380117,0.2530587275693312,0.18172499633914188,1368,9808,2482,2.1459435626102294,0.9924551386623165,0.40426945759614585,4536,9808,9734
Lung5_Rep1,P5,6,60,247,690,1036,2.5032626427406197,0.2903225806451613,0.2064442351674963,2452,21142,6138,2.3439655172413794,1.0288525210481505,0.4169126384789359,9280,21142,21752
Lung5_Rep1,P5,6,80,247,690,1036,3.0226415094339623,0.30931759254151264,0.21911758958927663,3710,36254,11214,2.537337230932766,1.053456170353616,0.426735792978614,15052,36254,38192
Lung5_Rep1,P5,7,20,540,1042,324,0.07641196013289037,0.15384615384615385,0.048574445617740235,1204,598,92,0.26657552973342447,1.3043478260869565,0.1812267657992565,2926,598,780
Lung5_Rep1,P5,7,40,540,1042,324,0.1840458811261731,0.3040482342807924,0.10285547785547786,3836,2322,706,0.3184390243902439,1.4056847545219637,0.20611265471078555,10250,2322,3264
Lung5_Rep1,P5,7,60,540,1042,324,0.25228215767634854,0.36611802488960254,0.1299515531490453,7230,4982,1824,0.3604985618408437,1.509433962264151,0.22540615071038905,20860,4982,7520
Lung5_Rep1,P5,7,80,540,1042,324,0.3108038029386344,0.43609022556390975,0.1535964462668717,11570,8246,3596,0.38261772853185594,1.608052389037109,0.23610270289519605,34656,8246,13260
