sample,patient,n_qc,n_fov,n_tumor,n_tumor_cd8a_pos,n_cldn4_high,n_cldn4_low,n_cd8,n_nk,n_cd8nk,frac_tumor_cldn4_pos,used_author_labels,nk_genes,cldn4_in_panel
Lung5_Rep1,P5,98046,30,40546,2786,10142,23959,7013,7222,13315,0.4090909090909091,False,"NKG7,GNLY",True
Lung5_Rep2,P5,100437,29,40601,3702,10209,23488,9772,8806,17181,0.42149208147582573,False,"NKG7,GNLY",True
Lung5_Rep3,P5,97876,30,39182,2088,9811,25573,6132,7255,12572,0.3473278546271247,False,"NKG7,GNLY",True
Lung6,P6,90126,30,73849,4831,17592,56257,1299,1390,2541,0.23821581876531842,False,"NKG7,GNLY",True
Lung9_Rep1,P9,87617,20,46604,3878,12735,19996,4050,4408,7838,0.570938116899837,False,"NKG7,GNLY",True
Lung9_Rep2,P9,139544,45,92858,7202,23343,39248,4987,4628,8841,0.5773331323095479,False,"NKG7,GNLY",True
Lung12,P12,71440,28,30124,3731,7575,21278,7097,5844,11860,0.2936529013411234,False,"NKG7,GNLY",True
Lung13,P13,81248,20,33221,2457,8827,13346,4981,4737,9098,0.5982661569489178,False,"NKG7,GNLY",True
