origin	Cell_type	n
PE	B lymphocytes	3285
PE	Epithelial cells	396
PE	Myeloid cells	3063
PE	NK cells	1297
PE	T lymphocytes	11974
PE	Undetermined	289
mBrain	B lymphocytes	1311
mBrain	Epithelial cells	15463
mBrain	Fibroblasts	636
mBrain	MAST cells	508
mBrain	Myeloid cells	5657
mBrain	NK cells	859
mBrain	Oligodendrocytes	716
mBrain	T lymphocytes	3910
mLN	B lymphocytes	6062
mLN	Epithelial cells	3053
mLN	Fibroblasts	37
mLN	Myeloid cells	5442
mLN	NK cells	984
mLN	T lymphocytes	5882
mLN	Undetermined	19
nLN	B lymphocytes	10584
nLN	Myeloid cells	1288
nLN	T lymphocytes	25319
nLN	Undetermined	255
nLung	B lymphocytes	634
nLung	Endothelial cells	1341
nLung	Epithelial cells	3703
nLung	Fibroblasts	1670
nLung	MAST cells	1079
nLung	Myeloid cells	16672
nLung	NK cells	6824
nLung	T lymphocytes	11072
tL/B	B lymphocytes	469
tL/B	Epithelial cells	6582
tL/B	Fibroblasts	111
tL/B	Myeloid cells	1329
tL/B	NK cells	583
tL/B	T lymphocytes	2932
tL/B	Undetermined	67
tLung	B lymphocytes	5312
tLung	Endothelial cells	655
tLung	Epithelial cells	7270
tLung	Fibroblasts	1718
tLung	MAST cells	1809
tLung	Myeloid cells	8794
tLung	NK cells	1004
tLung	T lymphocytes	18587
