dataset	n	CLDN4_CD8A_rho	CLDN4_CD8A_p	CLDN4_CD8A_partial_rho	CLDN4_CD8A_partial_p	CLDN4_CD274_rho	CLDN4_CD274_p	CLDN4_CD274_partial_rho	CLDN4_CD274_partial_p
GSE30219 NSCLC	188	-0.07432631337512438	0.3107177342450628	-0.016216163615160685	0.8256528585680722	-0.055395723731143	0.4502116493266	-0.011364743522589045	0.8773152748056324
GSE30219 ADC	85	-0.3450850107484854	0.0012190455256313286	-0.1413327682777103	0.19971115518352103	-0.10293140512018761	0.34854116888149966	0.10679800178900765	0.33358286583184293
GSE30219 SQC	61	-0.15748281332628236	0.22546831034975354	0.05391024882172007	0.6824660155570271	-0.13410893707033314	0.30281330882831864	0.01476991843109641	0.9108181049591888
GSE30219 NSCLC_plus_LCNE	244	-0.11342907533383723	0.07698869923674505	-0.10668251962672105	0.09707968467549359	-0.03926826346810734	0.5415467977816133	-0.005620600693317356	0.9305400341088418
