	value
n_matrix	307
n_tumor	293
n_nsclc	188
n_adc	85
n_sqc	61
n_lcc	3
n_bas	39
n_lcne	56
n_scc	21
n_carci	24
n_nt	14
n_other	4
n_named_complete	188
histo_column	histology
estimate_immune_present	138
estimate_stromal_present	136
n_purity_in_0_1	53
n_purity_outside_0_1	135
est_min	-1829.900514883362
est_max	13698.776309407838
probe_CLDN4	201428_at
probe_CD8A	205758_at
probe_CD274	227458_at
