gsm	histo	histo_raw	CLDN4	CD8A	CD274	CLDN4_log2p1	CD8A_log2p1	CD274_log2p1	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_TumorPurity	in_primary_nsclc
GSM748053	ADC	ADC	9.187705	6.8713007	6.2716427	3.348757184857605	2.9766020548417944	2.8622813128980664	4004.4668571117663	5375.464365573226	9379.931222684992	-0.39957755882591567	True
GSM748054	ADC	ADC	9.734879	6.0205755	8.5352	3.4242340245951084	2.811589297903776	3.2532631992598056	3849.7245933898116	4403.404615615899	8253.12920900571	-0.24319123406100412	True
GSM748055	ADC	ADC	8.076475	6.396633	6.653089	3.182132111678022	2.886868695115698	2.936042177279735	2587.18271807468	4137.03805868575	6724.22077676043	-0.021226889677571848	True
GSM748056	SQC	SQC	8.006737	8.186691	6.716611	3.1710045348351725	3.1995453035653956	2.9479673802676643	4371.5791238033125	6580.408363331219	10951.987487134531	-0.5986507373663567	True
GSM748057	ADC	ADC	8.681612	7.0155425	5.0831223	3.2752472779529214	3.0028001667395743	2.604812009606897	338.6490755099319	3089.456594771368	3428.1056702813003	0.4462790058442925	True
GSM748058	ADC	ADC	8.616937	7.2362843	6.586425	3.2655774679497274	3.0419936297663215	2.9234201952832857	3968.9317566818445	5926.629865418222	9895.561622100067	-0.46775099354016575	True
GSM748059	SQC	SQC	8.038274	6.912153	5.8172297	3.1760472937260333	2.984070324252617	2.769185594084385	-259.8294205987397	3196.846441996895	2937.0170213981555	0.509573553533934	True
GSM748061	SQC	SQC	6.9990096	5.957718	4.876417	2.999821383297336	2.7986142069477227	2.5549367754867998	1151.1220861262389	2301.104788562659	3452.2268746888976	0.443107652665595	True
GSM748062	SQC	SQC	7.9221807	5.558863	4.792145	3.157396367160351	2.7134457406920247	2.534097719161877	1628.34111491819	1720.0791565417549	3348.420271459945	0.45671571535633326	True
GSM748063	SQC	SQC	6.4940977	6.871637	9.650959	2.9057547860986657	2.97666369242832	3.412911429775656	2173.39557963252	4012.96363650988	6186.3592161424	0.05769130360836612	True
GSM748064	ADC	ADC	8.11519	7.566817	7.0893884	3.1882727285848604	3.0987592706964278	3.01603063150057	3121.2965938394764	5837.030136027894	8958.32672986737	-0.3421173733325139	True
GSM748065	SQC	SQC	7.5982776	7.063961	6.630591	3.1040476892556446	3.0114886615011907	2.931794800146242	3202.8915271772894	5490.985509490385	8693.877036667674	-0.3053930533810767	True
GSM748066	SQC	SQC	8.851427	6.871798	8.395641	3.3003327171284815	2.9766931998263675	3.2319915901685055	2783.4782836263357	4954.729310274814	7738.20759390115	-0.16925132636141635	True
GSM748067	SQC	SQC	5.9486446	6.086947	10.897942	2.7967315937269897	2.8251642598278917	3.572640145465903	2864.388377331068	4359.765595605749	7224.153972936817	-0.0944717851569224	True
GSM748068	ADC	ADC	8.680974	8.557217	7.3293576	3.2751522039337364	3.2565905758612455	3.0582052323216167	3454.9201983004987	6258.963996334098	9713.884194634596	-0.4440165584543344	True
GSM748069	LCC	LCC	8.3431225	9.4543495	9.512808	3.2239047835987287	3.3860313909305164	3.3940761634832004	4342.777758044607	7148.013049653417	11490.790807698024	-0.6600652911511443	True
GSM748071	ADC	ADC	8.386189	7.5813136	7.1080613	3.230539510719626	3.101198507765443	3.019356996164419	4831.866374325855	6073.130608293624	10904.99698261948	-0.5931114434159392	True
GSM748072	SQC	SQC	8.274097	7.160102	6.071304	3.2132068162840497	3.0285871857720723	2.8219762830491444	2480.861862757895	5115.239844788832	7596.101707546726	-0.1486574422098512	True
GSM748074	SQC	SQC	9.150007	6.6918864	5.8000135	3.343408817259568	2.9433374559478476	2.7655376105341123	3249.5465509835103	5778.696421476929	9028.242972460439	-0.3517427890388444	True
GSM748075	ADC	ADC	8.847229	8.27976	7.0539317	3.299717808794295	3.2140874937917245	3.0096932378052585	5039.8937464521805	6771.456056994312	11811.349803446494	-0.6946692637849272	True
GSM748076	SQC	SQC	7.103504	6.3898735	5.2623243	3.0185458722338963	2.8855496685006967	2.646698221649231	2611.5984400688767	3404.8247756003184	6016.423215669195	0.08257386082813829	True
GSM748077	ADC	ADC	7.9781995	7.054493	5.7903433	3.1664261540016096	3.009793779570436	2.7634845147774354	3942.4221879691013	5543.192067136943	9485.614255106044	-0.4137497066387917	True
GSM748078	ADC	ADC	8.438209	8.082842	7.2086554	3.2385131189133074	3.18314378405554	3.037145923998273	3564.808534921617	6642.220486129725	10207.029021051341	-0.507658048607683	True
GSM748079	ADC	ADC	8.493654	9.049347	7.532026	3.246963471130279	3.3290298539563516	3.092888362070176	5718.313541801464	7813.379573317368	13531.693115118833	-0.8523625159727787	True
GSM748080	ADC	ADC	9.175356	7.8911743	6.6876707	3.3470073650987797	3.1523739752872033	2.9425465398510244	4240.975819836948	6048.228324154525	10289.204143991472	-0.5180132909340875	True
GSM748081	ADC	ADC	9.381229	6.8573494	4.6124945	3.375905344676314	2.9740427154866005	2.4886421260762144	276.03856390664816	2672.118041270628	2948.156605177276	0.5081659355027812	True
GSM748083	ADC	ADC	8.639335	7.2271786	6.5591884	3.26893362100972	3.040397762644909	2.918231346331281	4320.455236651854	5997.897456196528	10318.35269284838	-0.5216683940998301	True
GSM748084	SQC	SQC	6.942822	7.647507	7.05234	2.9896516726172964	3.1122842764341327	3.009408089541672	5493.978311904814	6480.076521488449	11974.054833393264	-0.7116494106194383	True
GSM748085	ADC	ADC	8.506144	5.9814034	4.8327737	3.248860255891499	2.803517075791172	2.5441821015439126	3074.413922631091	4192.1735772565835	7266.587499887674	-0.1006708041314772	True
GSM748086	ADC	ADC	8.761534	6.940866	6.6196623	3.287107881424696	2.9892963506650845	2.929727059541255	1900.6060454251567	4814.42398882483	6715.030034249987	-0.019878080354029735	True
GSM748087	ADC	ADC	9.284477	6.937051	6.4162474	3.362396524754951	2.988603075635759	2.8906893719029965	2870.891532293038	5745.343156777988	8616.234689071025	-0.29452093430635823	True
GSM748088	SQC	SQC	9.629876	6.9655943	6.867968	3.410052862478065	2.9937820028902755	2.975991090009022	3483.363496031825	5256.401368901654	8739.764864933479	-0.3118000842227649	True
GSM748089	ADC	ADC	8.326896	9.803705	9.314998	3.221397030649756	3.433454246950958	3.366671636384144	4933.898347675482	8122.674450375345	13056.572798050827	-0.8138482293682807	True
GSM748090	ADC	ADC	8.418422	7.439297	5.8738575	3.235485365201443	3.0771228263193082	2.781119943916456	2256.142018539115	5279.50538954209	7535.647408081204	-0.13987631541192797	True
GSM748091	ADC	ADC	9.610352	6.656079	6.5439076	3.4074006135557475	2.9366057164906323	2.915312005567867	2300.869836543598	4953.731506997312	7254.6013435409095	-0.0989201587713755	True
GSM748092	ADC	ADC	7.0508733	7.628526	7.019831	3.009145284748255	3.109114126714041	3.003571835429469	2526.3031771177716	5882.229681206345	8408.532858324117	-0.26525265995552366	True
GSM748093	SQC	SQC	8.892501	7.50202	7.131074	3.306335306035223	3.087805652751127	3.023445924519108	4377.740109305429	5533.449927104804	9911.190036410233	-0.4697773982414988	True
GSM748094	ADC	ADC	8.924513	7.835764	7.5075574	3.31099631034397	3.1433548853549573	3.0887449800035056	3290.5811285094387	5863.897831629622	9154.47896013906	-0.3690272625741201	True
