subset	cldn4	partner	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict
NSCLC_all	201428_at	CD8A_named_205758_at	196	-0.18500107579150368	0.009434480597285173	-0.3252360793453869	-0.03738537906037148	-0.06903216767879215	0.3375947217824475	NO_EVIDENCE
NSCLC_all	201428_at	CD8A_collapse	196	-0.18500107579150368	0.009434480597285173	-0.3252360793453869	-0.03738537906037148	-0.06903216767879215	0.3375947217824475	NO_EVIDENCE
NSCLC_all	201428_at	CD274_named_223834_at	196	-0.28487437145885297	5.189933978821382e-05	-0.41076462046645257	-0.13987412037645397	-0.18057016828847902	0.011533228199850238	HOLDS
NSCLC_all	201428_at	CD274_collapse	196	-0.16446222378057046	0.02125348243259073	-0.2993132193368429	-0.0028350838801453333	-0.0457578945553949	0.5252986794695783	NO_EVIDENCE
NSCLC_all	201428_at	CD274_probe_227458_at	196	-0.16446222378057046	0.02125348243259073	-0.2993132193368429	-0.0028350838801453333	-0.0457578945553949	0.5252986794695783	NO_EVIDENCE
LUAD	201428_at	CD8A_named_205758_at	106	-0.11866387888253521	0.22569640408558242	-0.3096024209452576	0.08586630015115981	0.0643365544816431	0.5143766990500328	NO_EVIDENCE
LUAD	201428_at	CD8A_collapse	106	-0.11866387888253521	0.22569640408558242	-0.3096024209452576	0.08586630015115981	0.0643365544816431	0.5143766990500328	NO_EVIDENCE
LUAD	201428_at	CD274_named_223834_at	106	0.02045998438169131	0.8350942264017835	-0.17286550665026423	0.21916938236927339	0.12571904549995888	0.20128720655768018	NO_EVIDENCE
LUAD	201428_at	CD274_collapse	106	0.22677280399022598	0.019406593559179893	0.032097952946955256	0.4028660264601977	0.2959605114270856	0.002173995769440441	OPPOSITE
LUAD	201428_at	CD274_probe_227458_at	106	0.22677280399022598	0.019406593559179893	0.032097952946955256	0.4028660264601977	0.2959605114270856	0.002173995769440441	OPPOSITE
LUSC	201428_at	CD8A_named_205758_at	66	-0.33280450892391195	0.006326513656056457	-0.5428372397456699	-0.08500625355099904	-0.2923216589718576	0.01813210479666406	HOLDS
LUSC	201428_at	CD8A_collapse	66	-0.33280450892391195	0.006326513656056457	-0.5428372397456699	-0.08500625355099904	-0.2923216589718576	0.01813210479666406	HOLDS
LUSC	201428_at	CD274_named_223834_at	66	-0.4328358208955224	0.000283658521233028	-0.6129848332571544	-0.21847930763710158	-0.4114296890387648	0.0006620814125611372	HOLDS
LUSC	201428_at	CD274_collapse	66	-0.3844901367289428	0.0014354973140420506	-0.581205896356769	-0.15241792810539642	-0.3498062116530385	0.0042854903235168265	HOLDS
LUSC	201428_at	CD274_probe_227458_at	66	-0.3844901367289428	0.0014354973140420506	-0.581205896356769	-0.15241792810539642	-0.3498062116530385	0.0042854903235168265	HOLDS
LCC	201428_at	CD8A_named_205758_at	24	-0.2026086956521739	0.34237332678092114	-0.5949454945536707	0.22732986842628264	-0.2119889871636364	0.33151611575697837	UNDERPOWERED
LCC	201428_at	CD8A_collapse	24	-0.2026086956521739	0.34237332678092114	-0.5949454945536707	0.22732986842628264	-0.2119889871636364	0.33151611575697837	UNDERPOWERED
LCC	201428_at	CD274_named_223834_at	24	-0.288695652173913	0.17126415242206844	-0.6306389612955907	0.16666849015317287	-0.30040191370283814	0.16369526406565918	UNDERPOWERED
LCC	201428_at	CD274_collapse	24	-0.02	0.9260958020254711	-0.4641696305268599	0.4309804002086757	-0.006788834367215349	0.9754747571042693	UNDERPOWERED
LCC	201428_at	CD274_probe_227458_at	24	-0.02	0.9260958020254711	-0.4641696305268599	0.4309804002086757	-0.006788834367215349	0.9754747571042693	UNDERPOWERED
