subset	endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
NSCLC_all	CD8A	49	49	7.522661728	7.980829616	891.0	0.028127032343911795	-0.2578092461474386
NSCLC_all	CD274	49	49	7.745258088	8.582193424	905.0	0.036078901590763816	-0.24614743856726362
LUAD	CD8A	27	27	7.491770265	7.964563107	305.0	0.30739725059553924	-0.1632373113854595
LUAD	CD274	27	27	7.852727767	7.237548315	485.0	0.037894211400162754	0.33058984910836764
LUSC	CD8A	17	17	7.229388331	8.028537553	67.0	0.007998053620626356	-0.5363321799307958
LUSC	CD274	17	17	7.234270988	9.295373499	58.0	0.0030550511519627723	-0.5986159169550174
LCC	CD8A	6	6	7.7468290804999995	8.179464547	12.0	0.3939393939393939	-0.33333333333333337
LCC	CD274	6	6	7.947194483500001	8.145854323	20.0	0.8181818181818182	0.11111111111111116
