subset	gene_x	gene_y	n	n_arrays	present	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict
NSCLC_all	CLDN4	CD8A	196	196	True	-0.18500107579150368	0.009434480597285173	-0.3252360793453869	-0.03738537906037148	-0.06903216767879215	0.3375947217824475	NO_EVIDENCE
NSCLC_all	CLDN4	CD274	196	196	True	-0.16446222378057046	0.02125348243259073	-0.2993132193368429	-0.0028350838801453333	-0.0457578945553949	0.5252986794695783	NO_EVIDENCE
NSCLC_all	CLDN4	TACSTD2	196	196	True	0.26911840878483373	0.00013664306227669258	0.1298769921165429	0.39276290400457997	0.22860643015415597	0.0013068752300649709	OPPOSITE
NSCLC_all	CLDN4	epithelial_meanz	196	196	True	0.480893146012798	9.75120571963052e-13	0.36154257021114106	0.5907568567186335			COMPANION
LUAD	CLDN4	CD8A	106	106	True	-0.11866387888253521	0.22569640408558242	-0.3096024209452576	0.08586630015115981	0.0643365544816431	0.5143766990500328	NO_EVIDENCE
LUAD	CLDN4	CD274	106	106	True	0.22677280399022598	0.019406593559179893	0.032097952946955256	0.4028660264601977	0.2959605114270856	0.002173995769440441	OPPOSITE
LUAD	CLDN4	TACSTD2	106	106	True	0.5343728745245233	3.6409603692929777e-09	0.3718430086758907	0.6653530539940657	0.4238249783996153	6.6319803422975655e-06	OPPOSITE
LUAD	CLDN4	epithelial_meanz	106	106	True	0.4316850139809053	3.83309138170169e-06	0.25747626765407716	0.5760131707562602			COMPANION
LUSC	CLDN4	CD8A	66	66	True	-0.33280450892391195	0.006326513656056457	-0.5428372397456699	-0.08500625355099904	-0.2923216589718576	0.01813210479666406	HOLDS
LUSC	CLDN4	CD274	66	66	True	-0.3844901367289428	0.0014354973140420506	-0.581205896356769	-0.15241792810539642	-0.3498062116530385	0.0042854903235168265	HOLDS
LUSC	CLDN4	TACSTD2	66	66	True	0.3745538044045507	0.001945816218009654	0.13489159231401127	0.5674627231400905	0.3918897163570922	0.001244869284348491	OPPOSITE
LUSC	CLDN4	epithelial_meanz	66	66	True	0.20392443377518008	0.10051867283480939	-0.05893262556955965	0.42526810623609784			COMPANION
LCC	CLDN4	CD8A	24	24	True	-0.2026086956521739	0.34237332678092114	-0.5949454945536707	0.22732986842628264	-0.2119889871636364	0.33151611575697837	UNDERPOWERED
LCC	CLDN4	CD274	24	24	True	-0.02	0.9260958020254711	-0.4641696305268599	0.4309804002086757	-0.006788834367215349	0.9754747571042693	UNDERPOWERED
LCC	CLDN4	TACSTD2	24	24	True	0.17913043478260868	0.40230343183605977	-0.23436396992226194	0.5397557664375989	0.11289312264596231	0.6080435594199713	UNDERPOWERED
LCC	CLDN4	epithelial_meanz	24	24	True	0.2078260869565217	0.32981861780551774	-0.2661298138723027	0.6174165285820684			COMPANION
