unit_id	value	n_mice	line	cancer	GSE_ID	Granulocytes_mMCPcounter
ERP114266	0.1392216014029535	10	CT26	Colorectal	ERP114266	0.141335
GSE103725	0.0	3	YUMM1.7	Melanoma	GSE103725	0.0
GSE107801	0.1547561469093225	20	EMT6	Mammary	GSE107801	0.0656197351
GSE109485	0.0	6	B16	Melanoma	GSE109485	0.0
GSE124821	1.32273116393245	91	mixed	Mammary	GSE124821	0.140490742
GSE130472	5.581951108969095	14	4T1	Mammary	GSE130472	0.6986207015000001
GSE132529	6.69924746219443	3	4T1	Mammary	GSE132529	1.07589
GSE137818	7.8147736809611	10	4T1	Mammary	GSE137818	0.904197397
GSE139475	1.14179216114684	5	CT26	Colorectal	GSE139475	0.156711
GSE146027	1.57553210708361	21	YTN16	Gastric	GSE146027	0.346836
GSE148856	0.0872581827239942	8	402230	Sarcoma	GSE148856	0.1569875
GSE148947	0.2858040387836655	6	BNL-MEA	Liver	GSE148947	0.150766
GSE149825	0.0	6	B16	Melanoma	GSE149825	0.0
GSE150401	0.0	8	B16	Melanoma	GSE150401	0.0
GSE151829	0.0431415874112766	8	B16	Melanoma	GSE151829	0.123220269
GSE152925	0.0	12	B16	Melanoma	GSE152925	0.0
GSE153239	0.292762347492967	20	CT26	Colorectal	GSE153239	0.052016663
GSE155972	0.12427456882726451	20	LLC	Lung	GSE155972	0.0
GSE159344	0.1424204595580775	6	mixed	Melanoma	GSE159344	0.12059800000000001
GSE172162	0.0	8	MC38	Colorectal	GSE172162	0.026708500000000003
GSE174053	0.1828571742151165	8	E0771	Mammary	GSE174053	0.6243075
GSE93017	0.0	3	MC38	Colorectal	GSE93017	0.0
RU31562203	7.04869258028266	3	MOC22	HeadNeck	RU31562203	0.889042811
