gene	feature	study_rho	study_n	mouse_rho	mouse_n
Tacstd2	T CD8_TIMER	0.38958253540560783	22	-0.005094242603189908	294
Tacstd2	T CD8_CIBERSORT_abs	0.7383948054780707	22	0.2531269674086853	294
Tacstd2	T CD8_EPIC	0.3357884353132637	22	0.00601478325680516	294
Tacstd2	T CD8_quanTIseq	0.6387210638256761	22	0.24637383343299432	294
Tacstd2	T CD8_xCell	0.11951327408671411	22	-0.005994880280719384	294
Tacstd2	CD8 T_mMCPcounter	0.6664805874598843	22	0.3149128398226168	287
Cldn4	T CD8_TIMER	0.43290832878541907	23	-0.04821613137097426	299
Cldn4	T CD8_CIBERSORT_abs	0.651366698403987	23	0.19641867565046883	299
Cldn4	T CD8_EPIC	0.4068536608492596	23	0.05303110735133039	299
Cldn4	T CD8_quanTIseq	0.6534552845528456	23	0.15152041244830122	299
Cldn4	T CD8_xCell	0.17290541979698085	23	-0.09240715439956476	299
Cldn4	CD8 T_mMCPcounter	0.5982552599187387	23	0.22780447926734587	292
