unit_id	value	n_mice	line	cancer	GSE_ID	Granulocytes_mMCPcounter
ERP114266	0.2943737134911225	10	CT26	Colorectal	ERP114266	0.141335
GSE103725	0.0655941453224401	3	YUMM1.7	Melanoma	GSE103725	0.0
GSE107801	0.0916950817336004	20	EMT6	Mammary	GSE107801	0.0656197351
GSE109485	0.00100081914048605	6	B16	Melanoma	GSE109485	0.0
GSE124821	0.39891288983982	91	mixed	Mammary	GSE124821	0.140490742
GSE130472	2.31552788021324	14	4T1	Mammary	GSE130472	0.6986207015000001
GSE132529	4.71476550712754	3	4T1	Mammary	GSE132529	1.07589
GSE137818	4.1134038544796745	10	4T1	Mammary	GSE137818	0.904197397
GSE139475	1.84328675299402	5	CT26	Colorectal	GSE139475	0.156711
GSE146027	1.49210134675631	19	YTN16	Gastric	GSE146027	0.346836
GSE148856	0.408206250130572	8	402230	Sarcoma	GSE148856	0.1569875
GSE148947	0.0809324942520909	6	BNL-MEA	Liver	GSE148947	0.150766
GSE149825	0.03849008291815945	6	B16	Melanoma	GSE149825	0.0
GSE150401	0.0	8	B16	Melanoma	GSE150401	0.0
GSE151829	0.339469972102782	8	B16	Melanoma	GSE151829	0.123220269
GSE152925	0.0	12	B16	Melanoma	GSE152925	0.0
GSE153239	0.2257328605164755	20	CT26	Colorectal	GSE153239	0.052016663
GSE155972	0.1247070618537805	20	LLC	Lung	GSE155972	0.0
GSE159344	0.1194710916967352	6	mixed	Melanoma	GSE159344	0.12059800000000001
GSE172162	0.0	8	MC38	Colorectal	GSE172162	0.026708500000000003
GSE174053	0.20331010716772252	8	E0771	Mammary	GSE174053	0.6243075
GSE93017	0.0	3	MC38	Colorectal	GSE93017	0.0
