sample	CLDN4_log2p1	quartile
Case1	5.818671644166626	Q2Q3
Case2	7.80238711453514	Q4
Case3	0.0	Q1
Case4	0.0	Q1
Case5	6.436245141085422	Q4
Case6	4.976592762238586	Q1
Case7	5.9580074331647825	Q2Q3
Case8	5.67702895563211	Q2Q3
Case9	6.617210310224668	Q4
Case10	6.947163510212348	Q4
Case11	5.595891493782196	Q2Q3
Case12	5.847646208889055	Q2Q3
Case13	0.0	Q1
Case14	6.8862574817303	Q4
Case15	6.1956035122433475	Q4
Case16	5.7623222366402524	Q2Q3
Case17	5.155344470157856	Q1
Case18	5.984338702477854	Q2Q3
Case19	5.908476687962545	Q2Q3
Case20	6.306991278624	Q4
Case21	0.0	Q1
Case22	6.087781047708466	Q2Q3
Case23	3.7349805234358895	Q1
Case24	6.22901103701185	Q4
Case25	6.078310950007127	Q2Q3
Case26	6.420044420354169	Q4
Case27	6.544176239505765	Q4
Case28	5.601577673444448	Q2Q3
Case29	7.809073538959897	Q4
Case30	0.0	Q1
Case31	0.0	Q1
Case32	6.005916426834203	Q2Q3
Case33	5.45450493755737	Q1
Case34	5.831623936820749	Q2Q3
Case35	5.53586633278418	Q2Q3
Case36	0.0	Q1
Case37	5.614739286570712	Q2Q3
Case38	7.621597701837493	Q4
Case39	5.735007610959306	Q2Q3
Case40	5.823545575430345	Q2Q3
Case41	5.805602013598014	Q2Q3
Case42	5.479392260250552	Q1
Case43	5.266336799420134	Q1
Case44	5.491692787974502	Q1
Case45	0.0	Q1
Case46	6.9220907842706865	Q4
Case47	7.624685810525398	Q4
Case48	3.7457751494857963	Q1
Case49	6.66773604238286	Q4
Case50	0.0	Q1
Case51	5.236683944559009	Q1
Case52	5.998759650910368	Q2Q3
Case53	6.497803945864427	Q4
Case54	4.7846610166587515	Q1
Case55	0.0	Q1
Case56	5.79737620064405	Q2Q3
Case57	5.493711372639175	Q1
Case58	7.922061042825665	Q4
Case59	5.708959704413067	Q2Q3
Case60	6.4386920661850855	Q4
Case61	7.539026945857672	Q4
Case62	6.029982866215715	Q2Q3
Case63	3.4900566244643114	Q1
Case64	7.061884179701249	Q4
Case65	4.153075699055925	Q1
Case66	5.894648024494772	Q2Q3
Case67	0.0	Q1
Case68	0.0	Q1
Case69	0.0	Q1
Case70	6.268490537216221	Q4
Case71	7.461020986237196	Q4
Case72	5.49981400396757	Q1
Case73	6.136847604192881	Q2Q3
Case74	5.7940778981985686	Q2Q3
Case75	5.969749128288659	Q2Q3
Case76	3.5872449613976514	Q1
Case77	5.49981400396757	Q1
Case78	9.156763170067073	Q4
Case79	6.402790381315107	Q4
Case80	8.491660724165794	Q4
Case81	6.463753224587391	Q4
Case82	7.801132782564687	Q4
Case83	5.637030547965031	Q2Q3
Case84	5.372708378840232	Q1
Case85	5.137831371732459	Q1
Case86	6.526475764585599	Q4
Case87	5.464929601129852	Q1
Case88	5.45450493755737	Q1
Case89	4.16976469308714	Q1
Case90	6.046731140154192	Q2Q3
Case91	5.950608384239739	Q2Q3
Case92	6.154980086770396	Q2Q3
