chemokine,n_paired,mean_logcpm_high,mean_logcpm_low,delta_high_minus_low,pval,padj
CXCL10,13,3.356982001891503,3.9976382072155294,-0.6406562053240262,0.30126953125,0.5433872767857143
CCL3,13,3.677296546789316,4.198454251656165,-0.5211577048668494,0.305419921875,0.5433872767857143
CXCL13,13,2.297500491142273,2.7581115869375377,-0.4606110957952646,0.38037109375,0.5433872767857143
CXCL9,13,3.223620350544269,3.5814285645118127,-0.35780821396754336,0.684814453125,0.7609049479166666
CCL21,13,0.4097509750953087,0.6874742874732385,-0.2777233123779297,0.578125,0.72265625
CCL4,13,4.622729796629685,4.860922189859243,-0.23819239322955793,0.243896484375,0.5433872767857143
CCL19,13,0.033557616747342624,0.27113341368161714,-0.23757579693427452,0.25,0.5433872767857143
CXCL11,13,2.57919324361361,2.6306345829596887,-0.051441339346078724,1.0,1.0
CCL5,13,4.987754289920513,4.844528950177706,0.14322533974280724,0.375732421875,0.5433872767857143
CXCL16,13,7.096793358142559,6.896949768066406,0.1998435900761531,0.127197265625,0.5433872767857143
