predictor	endpoint	n	rho	rho_ci_lo	rho_ci_hi	p	n_partial	partial_rho	partial_ci_lo	partial_ci_hi	partial_p	purity
CLDN4	CD8A	443	-0.17746591979761547	-0.2681459642477667	-0.07768247598797613	0.00017367716261653277	443	-0.09170580386572204	-0.18123372003213803	0.005362601813252279	0.05402875985460347	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)
CLDN4	ESTIMATE_ImmuneScore	443	-0.20878194108840772	-0.301168545959106	-0.11592509686371873	9.385843804390122e-06	443	-0.09095081017135251	-0.1855233166442956	0.004789154899657504	0.05604594112396889	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)
CLDN4	ESTIMATE_StromalScore	443	-0.1408201609370113	-0.22933748479085891	-0.04955468845431302	0.002974488961429944	443	0.09655279080359837	6.553740571227007e-05	0.19131772081971649	0.042468435271972166	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)
CLDN4	ESTIMATE_TumorPurity	443	0.19006346877811495	0.09594474702795151	0.27905838227468455	5.677571342755631e-05	443					
CD8A	ESTIMATE_TumorPurity	443	-0.5328710629467502	-0.5950024682931943	-0.46019490941902297	7.331837934737996e-34	443					
CD8A	ESTIMATE_ImmuneScore	443	0.5982287763591709	0.5291921153438166	0.6558626717881402	2.4020649436743764e-44	443					
CLDN4	CD8A	443	-0.17746591979761547	-0.2681459642477667	-0.07768247598797613	0.00017367716261653277	443	-0.06707775967820528	-0.15851809134524253	0.030994861918831475	0.15918386876227197	ESTIMATE ImmuneScore (sensitivity residual)
CLDN4	CD8A	443	-0.17746591979761547	-0.2681459642477667	-0.07768247598797613	0.00017367716261653277	443	-0.09170580386572204	-0.181233720032138	0.005362601813252265	0.05402875985460347	ESTIMATE Score (sensitivity residual)
