cohort	n	TJ	n_TJ_genes	immune	spearman_rho	spearman_p
GSE126044	16	CLDN4	1	CD8	-0.5529411764705882	0.026314499870666506
GSE126044	16	CLDN4	1	GEP	-0.33529411764705885	0.20425458084551504
GSE126044	16	OCLN	1	CD8	-0.7088235294117646	0.0021116812392545335
GSE126044	16	OCLN	1	GEP	-0.5323529411764706	0.03376862296023464
GSE126044	16	CLDN147_F11R_PARD3	5	CD8	-0.15	0.5792486306642535
GSE126044	16	CLDN147_F11R_PARD3	5	GEP	-0.11470588235294117	0.6722910465997233
GSE126044	16	TJ_7gene	7	CD8	-0.5441176470588236	0.029336337481376512
GSE126044	16	TJ_7gene	7	GEP	-0.4588235294117647	0.07383553449548094
GSE135222	27	CLDN4	1	CD8	0.2625152625152625	0.18588023795490832
GSE135222	27	CLDN4	1	GEP	0.2802197802197802	0.15685923428536028
GSE135222	27	OCLN	1	CD8	0.016534064030820535	0.9347631576773284
GSE135222	27	OCLN	1	GEP	0.012859827579527082	0.9492392344877946
GSE135222	27	CLDN147_F11R_PARD3	5	CD8	0.010989010989010988	0.9566163710975802
GSE135222	27	CLDN147_F11R_PARD3	5	GEP	0.03174603174603174	0.8750943711561908
GSE135222	27	TJ_7gene	7	CD8	-0.029914529914529916	0.8822496211455558
GSE135222	27	TJ_7gene	7	GEP	0.051892551892551896	0.7971359120987014
GSE207422	24	CLDN4	1	CD8	-0.36173913043478256	0.08240024160942258
GSE207422	24	CLDN4	1	GEP	-0.4591304347826086	0.024015134743792032
GSE207422	24	OCLN	1	CD8	-0.16	0.455169720215426
GSE207422	24	OCLN	1	GEP	-0.15652173913043477	0.46515629787569085
GSE207422	24	CLDN147_F11R_PARD3	5	CD8	-0.48	0.017606488092010337
GSE207422	24	CLDN147_F11R_PARD3	5	GEP	-0.5269565217391303	0.008150736777295301
GSE207422	24	TJ_7gene	7	CD8	-0.5756521739130435	0.0032464428872563613
GSE207422	24	TJ_7gene	7	GEP	-0.5347826086956522	0.007093267681508553
GSE190265	43	CLDN4	1	CD8	0.030958583478099103	0.8437695869294144
GSE190265	43	CLDN4	1	GEP	0.3542736333434008	0.019762106466625164
GSE190265	43	OCLN	1	CD8	-0.08441877153296293	0.590424397718901
GSE190265	43	OCLN	1	GEP	0.24207188160676532	0.11782733179833503
GSE190265	43	CLDN147_F11R_PARD3	5	CD8	0.036168686551242606	0.8178894549238678
GSE190265	43	CLDN147_F11R_PARD3	5	GEP	0.23452129266082755	0.13009108937351624
GSE190265	43	TJ_7gene	7	CD8	0.03986861482057641	0.799624502863038
GSE190265	43	TJ_7gene	7	GEP	0.2842041679250982	0.06474318241652953
GSE166449	22	CLDN4	1	CD8	-0.18125352907961606	0.41952329103344255
GSE166449	22	CLDN4	1	GEP	-0.12140033879164315	0.5904546067875798
GSE166449	22	OCLN	1	CD8	-0.09316770186335405	0.6800565574585159
GSE166449	22	OCLN	1	GEP	0.11575381140598533	0.6079713857022657
GSE166449	22	CLDN147_F11R_PARD3	5	CD8	-0.14737436476566912	0.5127986614526048
GSE166449	22	CLDN147_F11R_PARD3	5	GEP	0.09316770186335405	0.6800565574585159
GSE166449	22	TJ_7gene	7	CD8	-0.101072840203275	0.6544778869223147
GSE166449	22	TJ_7gene	7	GEP	0.1552795031055901	0.4901846897803074
GSE190266	70	CLDN4	1	CD8	0.23513529383371815	0.05006272587109419
GSE190266	70	CLDN4	1	GEP	0.4946805585800292	1.3434360738267864e-05
GSE190266	70	CLDN147_F11R_PARD3	4	CD8	0.11615632351717946	0.33827384963232443
GSE190266	70	CLDN147_F11R_PARD3	4	GEP	0.4295167424738373	0.00020685993001037743
GSE190266	70	TJ_7gene	4	CD8	0.11615632351717946	0.33827384963232443
GSE190266	70	TJ_7gene	4	GEP	0.4295167424738373	0.00020685993001037743
GSE161537	82	OCLN	1	CD8	-0.15401526983646727	0.16712063717699444
GSE161537	82	OCLN	1	GEP	-0.04300150739339144	0.7012788213672426
GSE161537	82	CLDN147_F11R_PARD3	1	CD8	-0.3654183128176664	0.0007361468650037441
GSE161537	82	CLDN147_F11R_PARD3	1	GEP	-0.33572773478738804	0.002045843408573549
GSE161537	82	TJ_7gene	2	CD8	-0.2529032117630413	0.021883728522243986
GSE161537	82	TJ_7gene	2	GEP	-0.17012222331058652	0.12650401947783868
