cohort	feature	n_genes	n	n_event	time_unit	cox_hr_per_sd	cox_p	logrank_median_p	note
GSE135222	CLDN4	1	27	21	days	1.1229145972406216	0.609561978661902	0.9093360571274169	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE135222	OCLN	1	27	21	days	1.1362319359799795	0.545870793623106	0.19014309911767058	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE135222	CLDN147_F11R_PARD3	5	27	21	days	1.407036567015147	0.17398133204731758	0.7578012711804517	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE135222	TJ_7gene	7	27	21	days	1.6680206157342394	0.042948281734133745	0.11210842254502497	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE135222	CD8	2	27	21	days	0.7235984784505475	0.11050060881916737	0.07695119539473394	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE135222	GEP	18	27	21	days	0.7419135913609862	0.13832238682127024	0.22052444653598735	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.
GSE190265	CLDN4	1	43	35	months	1.0951710982428593	0.5815170502593905	0.9391338109908028	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190265	OCLN	1	43	35	months	1.0663444124096488	0.6889403316665242	0.7786653117798661	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190265	CLDN147_F11R_PARD3	5	43	35	months	1.0049943589264732	0.9770293512833049	0.9082613324010086	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190265	TJ_7gene	7	43	35	months	1.042380671251722	0.8108865672185417	0.24229871138436598	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190265	CD8	2	43	35	months	0.6966862374734246	0.021550670204627698	0.07050791665322584	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190265	GEP	15	43	35	months	0.7695337254414857	0.07979873676464365	0.04494150054229759	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.
GSE190266	CLDN4	1	70	52	months	0.818813875719454	0.12347410979873281	0.210456037133943	France4 / Leduc 2022-linked. NSCLC ICI biopsies. Public TPM; PFS truncated at 6 months in GEO. Public matrix lacks TJP1/TJP2/OCLN/PARD3.
GSE190266	CLDN147_F11R_PARD3	4	70	52	months	0.8722144030927573	0.3284924084601364	0.6822560020769524	France4 / Leduc 2022-linked. NSCLC ICI biopsies. Public TPM; PFS truncated at 6 months in GEO. Public matrix lacks TJP1/TJP2/OCLN/PARD3.
GSE190266	TJ_7gene	4	70	52	months	0.8722144030927573	0.3284924084601364	0.6822560020769524	France4 / Leduc 2022-linked. NSCLC ICI biopsies. Public TPM; PFS truncated at 6 months in GEO. Public matrix lacks TJP1/TJP2/OCLN/PARD3.
GSE190266	CD8	2	70	52	months	0.9273618606448636	0.6333807062090688	0.19963048823912055	France4 / Leduc 2022-linked. NSCLC ICI biopsies. Public TPM; PFS truncated at 6 months in GEO. Public matrix lacks TJP1/TJP2/OCLN/PARD3.
GSE190266	GEP	13	70	52	months	0.7677715978081965	0.06302604280777636	0.28311359842528006	France4 / Leduc 2022-linked. NSCLC ICI biopsies. Public TPM; PFS truncated at 6 months in GEO. Public matrix lacks TJP1/TJP2/OCLN/PARD3.
