cohort	n_tumors	TJ	immune	n	spearman_rho	spearman_p	n_TJ_genes	n_immune_genes
TCGA-LUAD	515	CLDN4	CD8	515	-0.11553030086723301	0.008684732506112541	1	2
TCGA-LUAD	515	CLDN4	CYT	515	-0.16450114030019225	0.00017709709994800026	1	2
TCGA-LUAD	515	CLDN4	GEP	515	-0.0909960782880504	0.03898964765026384	1	18
TCGA-LUAD	515	CLDN147_F11R_PARD3	CD8	515	-0.2853483364418982	4.1813103937221235e-11	5	2
TCGA-LUAD	515	CLDN147_F11R_PARD3	CYT	515	-0.33092721916832196	1.2584268650626712e-14	5	2
TCGA-LUAD	515	CLDN147_F11R_PARD3	GEP	515	-0.3069530236248005	1.06695708015422e-12	5	18
TCGA-LUAD	515	TJ_7gene	CD8	515	-0.31350789323638945	3.296122115953027e-13	7	2
TCGA-LUAD	515	TJ_7gene	CYT	515	-0.3438486874183508	9.7190084317806e-16	7	2
TCGA-LUAD	515	TJ_7gene	GEP	515	-0.3035211855360803	1.9507579585844987e-12	7	18
TCGA-LUSC	502	CLDN4	CD8	502	-0.03337871160397678	0.455543264463885	1	2
TCGA-LUSC	502	CLDN4	CYT	502	-0.056288612061887774	0.20802281049675023	1	2
TCGA-LUSC	502	CLDN4	GEP	502	-0.023598329122211898	0.5978572674931049	1	18
TCGA-LUSC	502	CLDN147_F11R_PARD3	CD8	502	-0.3206244793803678	1.8251639437093774e-13	5	2
TCGA-LUSC	502	CLDN147_F11R_PARD3	CYT	502	-0.2681608656622424	1.0252004994413424e-09	5	2
TCGA-LUSC	502	CLDN147_F11R_PARD3	GEP	502	-0.2859364081749928	6.69633808007521e-11	5	18
TCGA-LUSC	502	TJ_7gene	CD8	502	-0.18023353070497977	4.87717152987115e-05	7	2
TCGA-LUSC	502	TJ_7gene	CYT	502	-0.15105611292523505	0.000684952500038867	7	2
TCGA-LUSC	502	TJ_7gene	GEP	502	-0.14365902777385833	0.001248927788454698	7	18
