cohort	role	feature	endpoint	group_A	group_B	n_A	n_B	median_A	median_B	p_two	direction	note	spearman_pfs_rho	spearman_pfs_p	spearman_pfs_n	pfs_unit
GSE126044	index	CLDN4	ORR (GEO responder vs non-responder)	R	NR	5	11	2.542294564145926	3.7711716113053324	0.11492673992673993	B>A	Index B4 cohort (Cho 2020). Pre-treatment NSCLC anti-PD-1. GEO responder/non-responder.				
GSE126044	index	CLDN147_F11R_PARD3	ORR (GEO responder vs non-responder)	R	NR	5	11	-0.018384247311353	0.18838908126628168	0.3195970695970696	B>A	Index B4 cohort (Cho 2020). Pre-treatment NSCLC anti-PD-1. GEO responder/non-responder.				
GSE126044	index	TJ_7gene	ORR (GEO responder vs non-responder)	R	NR	5	11	-0.13347758768204185	0.12858577924714534	0.019230769230769232	B>A	Index B4 cohort (Cho 2020). Pre-treatment NSCLC anti-PD-1. GEO responder/non-responder.				
GSE126044	index	CD8	ORR (GEO responder vs non-responder)	R	NR	5	11	1.2134969607191608	-0.47047923698717115	0.0004578754578754579	A>B	Index B4 cohort (Cho 2020). Pre-treatment NSCLC anti-PD-1. GEO responder/non-responder.				
GSE126044	index	GEP	ORR (GEO responder vs non-responder)	R	NR	5	11	0.6051392385403701	-0.18266487130622258	0.005494505494505494	A>B	Index B4 cohort (Cho 2020). Pre-treatment NSCLC anti-PD-1. GEO responder/non-responder.				
GSE135222	extra	CLDN4	DCB (PFS≥183d) / continuous PFS	DCB	NDB	7	20	7.689369056858228	7.12644010475594	0.6850106415323807	A>B	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.	-0.14318424834810362	0.4761639125522927	27.0	days
GSE135222	extra	CLDN147_F11R_PARD3	DCB (PFS≥183d) / continuous PFS	DCB	NDB	7	20	0.21028892328623822	0.10346898035134604	0.6455862977602108	A>B	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.	-0.36482980122811054	0.061332725038388214	27.0	days
GSE135222	extra	TJ_7gene	DCB (PFS≥183d) / continuous PFS	DCB	NDB	7	20	0.028408715487082587	0.17460350067490893	0.36977129151042193	B>A	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.	-0.48084262504960174	0.011119175178428671	27.0	days
GSE135222	extra	CD8	DCB (PFS≥183d) / continuous PFS	DCB	NDB	7	20	0.7917635894913888	-0.13922864693973921	0.09193157888810063	A>B	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.	0.3477331745596802	0.0755164957974587	27.0	days
GSE135222	extra	GEP	DCB (PFS≥183d) / continuous PFS	DCB	NDB	7	20	0.5329485183315217	-0.10303806191355346	0.11642624686102948	A>B	Jung/Kim 2020. Advanced NSCLC anti-PD-1/PD-L1. DCB = PFS ≥ 183 days from GEO pfs.time.	0.3251412036049688	0.09795409022416819	27.0	days
GSE207422	extra	CLDN4	pathologic MPR vs NMPR	MPR	NMPR	9	15	5.8539397241997	6.27200773153137	0.2572389851810263	B>A	Hu 2023. Neoadjuvant PD-1 + chemo. Pre-treatment bulk. MPR vs NMPR.				
GSE207422	extra	CLDN147_F11R_PARD3	pathologic MPR vs NMPR	MPR	NMPR	9	15	-0.30815768043803854	0.5179747438956832	0.1895786656534515	B>A	Hu 2023. Neoadjuvant PD-1 + chemo. Pre-treatment bulk. MPR vs NMPR.				
GSE207422	extra	TJ_7gene	pathologic MPR vs NMPR	MPR	NMPR	9	15	-0.14274604008045869	0.3230422077850574	0.2104977000553373	B>A	Hu 2023. Neoadjuvant PD-1 + chemo. Pre-treatment bulk. MPR vs NMPR.				
GSE207422	extra	CD8	pathologic MPR vs NMPR	MPR	NMPR	9	15	0.4877005341301633	-0.3064583945689676	0.023458595679923085	A>B	Hu 2023. Neoadjuvant PD-1 + chemo. Pre-treatment bulk. MPR vs NMPR.				
GSE207422	extra	GEP	pathologic MPR vs NMPR	MPR	NMPR	9	15	0.17554599846439659	-0.22318574879529038	0.01707266109378839	A>B	Hu 2023. Neoadjuvant PD-1 + chemo. Pre-treatment bulk. MPR vs NMPR.				
GSE190265	extra	CLDN4	DCB (PFS≥6 mo) / continuous PFS	DCB	NDB	14	29	4.541996485328456	4.17912086474734	0.927720676821868	A>B	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.	0.04538760795313945	0.7725773932917775	43.0	months
GSE190265	extra	CLDN147_F11R_PARD3	DCB (PFS≥6 mo) / continuous PFS	DCB	NDB	14	29	0.046858628900050235	0.13371081613576008	0.7656597737195843	B>A	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.	0.038062153757707634	0.8085296822182195	43.0	months
GSE190265	extra	TJ_7gene	DCB (PFS≥6 mo) / continuous PFS	DCB	NDB	14	29	0.07136940492768651	0.2085764763430907	0.5597891579620387	B>A	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.	-0.07144205844204646	0.6489259698728638	43.0	months
GSE190265	extra	CD8	DCB (PFS≥6 mo) / continuous PFS	DCB	NDB	14	29	0.6317258552295215	-0.3684493617820421	0.02758685053850341	A>B	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.	0.2833245255490548	0.06561223465784831	43.0	months
GSE190265	extra	GEP	DCB (PFS≥6 mo) / continuous PFS	DCB	NDB	14	29	0.47296845893156436	-0.004614871653890066	0.007893451900980956	A>B	France3 / Leduc 2022-linked. NSCLC chemo±ICI biopsies. DCB = PFS ≥ 6 months.	0.25359665142536153	0.10082016103142084	43.0	months
GSE166449	extra	CLDN4	GEO immunotherapy responder vs non-responder	R	NR	7	15	1.2081052560568217	1.3282401491644622	0.9452106201332205	B>A	Lee/SMC immunotherapy lung RNA. GEO titles Responder vs nonResponder (7 vs 15).				
GSE166449	extra	CLDN147_F11R_PARD3	GEO immunotherapy responder vs non-responder	R	NR	7	15	-0.055749273818334076	0.23879221517672883	0.8906557838446382	B>A	Lee/SMC immunotherapy lung RNA. GEO titles Responder vs nonResponder (7 vs 15).				
GSE166449	extra	TJ_7gene	GEO immunotherapy responder vs non-responder	R	NR	7	15	-0.0348084757104462	0.14280122678921583	0.5814921662444881	B>A	Lee/SMC immunotherapy lung RNA. GEO titles Responder vs nonResponder (7 vs 15).				
GSE166449	extra	CD8	GEO immunotherapy responder vs non-responder	R	NR	7	15	0.7269866329078261	-0.12116522291294003	0.07771601463551926	A>B	Lee/SMC immunotherapy lung RNA. GEO titles Responder vs nonResponder (7 vs 15).				
GSE166449	extra	GEP	GEO immunotherapy responder vs non-responder	R	NR	7	15	0.4017491923788933	0.014906743269394833	0.2665939581574256	A>B	Lee/SMC immunotherapy lung RNA. GEO titles Responder vs nonResponder (7 vs 15).				
