gene,mean_high,mean_low,log2FC_high_vs_low,spearman_rho,spearman_p,welch_t,welch_p,mwu_p,spearman_fdr,welch_fdr,up_in_trop2_high,n_high,n_low,n_total
TACSTD2,10.818091755002019,7.737590442212767,3.080501312789252,1.0,0.0,26.149775836952955,1.7798350989115139e-68,2.9672800986412975e-56,0.0,7.960134496371854e-64,True,167,167,501
FUT3,4.834625014466449,2.5726901722254163,2.261934842241033,0.6189518481511523,2.618010758265074e-54,15.473558861918466,6.352171767399176e-41,4.266788693147269e-33,5.8543956576323585e-50,1.4204726506258038e-36,True,167,167,501
PRSS22,6.063372997478345,4.068444227314345,1.994928770164,0.6028777966666936,6.686072361016777e-51,14.362605586079642,1.5482621190278163e-36,1.0384138427972887e-31,9.967596675803812e-47,2.3081491670466687e-32,True,167,167,501
AL451042.2,1.5759455065259422,0.8461883289638338,0.7297571775621084,0.5743302311072126,2.6353796101943992e-45,12.811985006424246,8.680286268403168e-31,2.4290715621969225e-28,2.9466179421583576e-41,3.52924657334603e-27,True,167,167,501
PLEKHN1,3.359777856444787,1.9914470797651165,1.3683307766796704,0.5730213517188729,4.6171016843841663e-45,13.86513250041858,8.734019190675726e-35,1.6071379356326273e-29,4.1299051146479495e-41,9.76550685709453e-31,True,167,167,501
MPZL2,7.330392189949075,6.034622089807,1.2957701001420752,0.5680312999499012,3.826899356344366e-44,12.726381880524523,1.7838964001043434e-29,9.653415398251982e-28,2.85257078021909e-40,4.986436412391666e-26,True,167,167,501
IL1RN,6.7924465839035495,4.703027974533366,2.089418609370184,0.559018822911945,1.5943225000326317e-42,13.56806149501964,1.1803080441146517e-33,2.940714891075696e-29,1.0186354213065631e-38,1.0557619392996736e-29,True,167,167,501
ADGRF4,3.912260331932003,2.0888588158434778,1.8234015160885253,0.5583724026051484,2.074220488209282e-42,12.846216960487725,7.608701897727336e-31,2.1231044231811475e-26,1.0823960700229729e-38,3.52924657334603e-27,True,167,167,501
RAET1G,2.3179498670102023,0.9487201089680598,1.3692297580421426,0.5580061849388441,2.4070570305415035e-42,12.51951030353364,4.8458117226602925e-29,7.474178061200211e-29,1.0823960700229729e-38,1.2040226860236607e-25,True,167,167,501
CRYBG2,3.7710258592855794,2.1998320950505135,1.571193764235066,0.5579928085977722,2.4201682989512856e-42,13.185263696418382,3.606886985702381e-32,4.974937157392125e-28,1.0823960700229729e-38,2.688573559142555e-28,True,167,167,501
