cohort,program,gene,role,n,rho,p,q_bh_descriptive
GSE103584,NHEJ,XRCC6,descriptive_gene,128,0.5094133400476103,8.215393436109152e-10,1.889540490305105e-08
GSE103584,NHEJ,XRCC5,descriptive_gene,128,0.33985304889214424,8.681697387644135e-05,0.000827604609629819
GSE103584,NHEJ,PRKDC,descriptive_gene,128,0.16895371726789965,0.056589123854880324,0.11832271351474977
GSE103584,NHEJ,LIG4,descriptive_gene,124,0.1122077104642014,0.21469435039691442,0.3527121470806451
GSE103584,NHEJ,XRCC4,descriptive_gene,125,0.050279569892473105,0.5776315505744857,0.6326440792006272
GSE103584,NHEJ,NHEJ1,descriptive_gene,122,0.29662515159225566,0.0009079511633928496,0.0029832681082907916
GSE103584,NHEJ,DCLRE1C,descriptive_gene,128,-0.08409059696026368,0.3453145337900845,0.4671902515983496
GSE103584,NHEJ,PAXX,descriptive_gene,0,,,
GSE103584,IFN,IFNG,descriptive_gene,49,-0.022653061224489793,0.8772173992051251,
GSE103584,IFN,STAT1,descriptive_gene,128,0.31864013001281816,0.0002467000321074423,0.0009456834564118621
GSE103584,IFN,IRF1,descriptive_gene,128,0.08749542208386742,0.32606439515211144,0.4671902515983496
GSE103584,IFN,CXCL9,descriptive_gene,125,-0.09646082949308754,0.28456170740296227,0.43632795135120883
GSE103584,IFN,CXCL10,descriptive_gene,120,-0.007646364330856308,0.933942025615165,0.933942025615165
GSE103584,IFN,CXCL11,descriptive_gene,78,0.17950404026353395,0.11582452030036995,
GSE103584,IFN,IDO1,descriptive_gene,115,0.07177463899629134,0.44589726001899055,0.5127818490218392
GSE103584,IFN,GBP1,descriptive_gene,95,-0.05967245240761478,0.5656783378017359,
GSE103584,IFN,GBP4,descriptive_gene,127,-0.07268232095988,0.4167547249584388,0.5127818490218392
GSE103584,IFN,GBP5,descriptive_gene,122,-0.26541779982221986,0.003130341627243908,0.008999732178326236
GSE103584,IFN,CXCR6,descriptive_gene,121,0.07270017612789594,0.4280981015230094,0.5127818490218392
GSE103584,IFN,IL2RG,descriptive_gene,122,-0.13425704098525879,0.14039139818701418,0.2690835131917772
GSE103584,APM,HLA-A,descriptive_gene,109,0.2219349457881568,0.020375543486426926,0.04686375001878193
GSE103584,APM,HLA-B,descriptive_gene,105,0.3556292763839934,0.00019689402728297203,0.0009057125255016714
GSE103584,APM,HLA-C,descriptive_gene,125,0.33327803379416276,0.00014592755759108278,0.000839083456148726
GSE103584,APM,B2M,descriptive_gene,128,0.20713353781358726,0.018978053859205216,0.04686375001878193
GSE103584,APM,TAP1,descriptive_gene,9,0.18333333333333335,0.6368198117628943,
GSE103584,APM,TAP2,descriptive_gene,47,0.05353839037927845,0.7207821284210403,
GSE103584,APM,TAPBP,descriptive_gene,41,0.41620209059233454,0.006797703306370112,
GSE103584,APM,PSMB8,descriptive_gene,41,0.1501742160278746,0.34866786391313837,
GSE103584,APM,PSMB9,descriptive_gene,47,-0.11806197964847363,0.4293134105892814,
GSE103584,APM,PSMB10,descriptive_gene,127,0.3368192257217848,0.00010794842734301988,0.000827604609629819
GSE103584,APM,NLRC5,descriptive_gene,128,-0.12356367881340412,0.16465614714643526,0.2913147218744624
GSE103584,APM,ERAP1,descriptive_gene,128,0.021922495879875478,0.8059754943276546,0.8426107440698207
GSE103584,KRT,KRT8,covariate,128,0.629074345357993,1.8386704044555916e-15,
GSE103584,KRT,KRT18,covariate,128,0.49038065372642364,4.211555066553889e-09,
GSE103584,KRT,KRT19,covariate,121,0.5307410919929547,3.804949036373179e-10,
