cohort,program,gene,present,n_finite,n_samples,frac,eligible_ge_80pct,n_exact_probes,probe
GSE103584,NHEJ,XRCC6,True,130,130,1.000,True,1,symbol
GSE103584,NHEJ,XRCC5,True,130,130,1.000,True,1,symbol
GSE103584,NHEJ,PRKDC,True,130,130,1.000,True,1,symbol
GSE103584,NHEJ,LIG4,True,126,130,0.969,True,1,symbol
GSE103584,NHEJ,XRCC4,True,127,130,0.977,True,1,symbol
GSE103584,NHEJ,NHEJ1,True,124,130,0.954,True,1,symbol
GSE103584,NHEJ,DCLRE1C,True,130,130,1.000,True,1,symbol
GSE103584,NHEJ,PAXX,False,0,130,0.000,False,0,
GSE103584,IFN,IFNG,True,51,130,0.392,False,1,symbol
GSE103584,IFN,STAT1,True,130,130,1.000,True,1,symbol
GSE103584,IFN,IRF1,True,130,130,1.000,True,1,symbol
GSE103584,IFN,CXCL9,True,127,130,0.977,True,1,symbol
GSE103584,IFN,CXCL10,True,122,130,0.938,True,1,symbol
GSE103584,IFN,CXCL11,True,79,130,0.608,False,1,symbol
GSE103584,IFN,IDO1,True,117,130,0.900,True,1,symbol
GSE103584,IFN,GBP1,True,97,130,0.746,False,1,symbol
GSE103584,IFN,GBP4,True,129,130,0.992,True,1,symbol
GSE103584,IFN,GBP5,True,124,130,0.954,True,1,symbol
GSE103584,IFN,CXCR6,True,123,130,0.946,True,1,symbol
GSE103584,IFN,IL2RG,True,124,130,0.954,True,1,symbol
GSE103584,APM,HLA-A,True,110,130,0.846,True,1,symbol
GSE103584,APM,HLA-B,True,107,130,0.823,True,1,symbol
GSE103584,APM,HLA-C,True,127,130,0.977,True,1,symbol
GSE103584,APM,B2M,True,130,130,1.000,True,1,symbol
GSE103584,APM,TAP1,True,9,130,0.069,False,1,symbol
GSE103584,APM,TAP2,True,48,130,0.369,False,1,symbol
GSE103584,APM,TAPBP,True,42,130,0.323,False,1,symbol
GSE103584,APM,PSMB8,True,42,130,0.323,False,1,symbol
GSE103584,APM,PSMB9,True,48,130,0.369,False,1,symbol
GSE103584,APM,PSMB10,True,129,130,0.992,True,1,symbol
GSE103584,APM,NLRC5,True,130,130,1.000,True,1,symbol
GSE103584,APM,ERAP1,True,130,130,1.000,True,1,symbol
GSE103584,KRT,KRT8,True,130,130,1.000,True,1,symbol
GSE103584,KRT,KRT18,True,130,130,1.000,True,1,symbol
GSE103584,KRT,KRT19,True,123,130,0.946,True,1,symbol
GSE58661,NHEJ,XRCC6,False,0,89,0.000,False,0,
GSE58661,NHEJ,XRCC5,False,0,89,0.000,False,3,
GSE58661,NHEJ,PRKDC,False,0,89,0.000,False,2,
GSE58661,NHEJ,LIG4,False,0,89,0.000,False,1,
GSE58661,NHEJ,XRCC4,False,0,89,0.000,False,1,
GSE58661,NHEJ,NHEJ1,False,0,89,0.000,False,0,
GSE58661,NHEJ,DCLRE1C,False,0,89,0.000,False,3,
GSE58661,NHEJ,PAXX,False,0,89,0.000,False,1,
GSE58661,IFN,IFNG,False,0,89,0.000,False,1,
GSE58661,IFN,STAT1,False,0,89,0.000,False,2,
GSE58661,IFN,IRF1,False,0,89,0.000,False,2,
GSE58661,IFN,CXCL9,False,0,89,0.000,False,1,
GSE58661,IFN,CXCL10,False,0,89,0.000,False,1,
GSE58661,IFN,CXCL11,False,0,89,0.000,False,1,
GSE58661,IFN,IDO1,False,0,89,0.000,False,1,
GSE58661,IFN,GBP1,False,0,89,0.000,False,1,
GSE58661,IFN,GBP4,False,0,89,0.000,False,2,
GSE58661,IFN,GBP5,False,0,89,0.000,False,2,
GSE58661,IFN,CXCR6,False,0,89,0.000,False,1,
GSE58661,IFN,IL2RG,False,0,89,0.000,False,1,
GSE58661,APM,HLA-A,False,0,89,0.000,False,2,
GSE58661,APM,HLA-B,False,0,89,0.000,False,1,
GSE58661,APM,HLA-C,False,0,89,0.000,False,3,
GSE58661,APM,B2M,False,0,89,0.000,False,4,
GSE58661,APM,TAP1,False,0,89,0.000,False,2,
GSE58661,APM,TAP2,False,0,89,0.000,False,3,
GSE58661,APM,TAPBP,False,0,89,0.000,False,4,
GSE58661,APM,PSMB8,False,0,89,0.000,False,1,
GSE58661,APM,PSMB9,False,0,89,0.000,False,1,
GSE58661,APM,PSMB10,False,0,89,0.000,False,1,
GSE58661,APM,NLRC5,False,0,89,0.000,False,4,
GSE58661,APM,ERAP1,False,0,89,0.000,False,3,
GSE58661,KRT,KRT8,False,0,89,0.000,False,0,
GSE58661,KRT,KRT18,False,0,89,0.000,False,2,
GSE58661,KRT,KRT19,False,0,89,0.000,False,1,
