cohort,ici,verdict,n_samples,cldn4_finite,program,genes_eligible,n_eligible,n_in_set,score_reason,n,rho,p,partial_krt_n,partial_krt_rho,partial_krt_p,q_bh_primary
GSE103584,no,NOT_ICI_SURGERY,130,128,NHEJ,"XRCC6,XRCC5,PRKDC,LIG4,XRCC4,NHEJ1,DCLRE1C",7,8,,128,0.3274411737776963,0.0001614340545505515,128,0.0531372705241846,0.552963530815941,0.00048430216365165455
GSE103584,no,NOT_ICI_SURGERY,130,128,IFN,"STAT1,IRF1,CXCL9,CXCL10,IDO1,GBP4,GBP5,CXCR6,IL2RG",9,12,,128,-0.0020314502838308,0.9818434718453263,128,-0.07733359381906964,0.38748705932382677,0.9818434718453263
GSE103584,no,NOT_ICI_SURGERY,130,128,APM,"HLA-A,HLA-B,HLA-C,B2M,PSMB10,NLRC5,ERAP1",7,12,,128,0.27933299761948355,0.00140754573053615,128,0.16083093248565591,0.07086681336234374,0.002111318595804225
GSE58661,no,NOT_ICI_CLDN4_ABSENT,89,0,NHEJ,,0,8,eligible 0 < 4,0,,,0,,,
GSE58661,no,NOT_ICI_CLDN4_ABSENT,89,0,IFN,,0,12,eligible 0 < 4,0,,,0,,,
GSE58661,no,NOT_ICI_CLDN4_ABSENT,89,0,APM,,0,12,eligible 0 < 4,0,,,0,,,
