cohort,gene,immune_feature,median_Q4_high,median_Q1_low,n_Q4,n_Q1,p_mannwhitney
OV,TACSTD2,T cells,1.6539311649055555,1.5305918317771792,106,106,0.11622765080047417
OV,TACSTD2,CD8 T cells,0.6970540691076532,0.6925996380982985,106,106,0.587123417981009
OV,TACSTD2,Cytotoxic lymphocytes,1.0044682366634983,0.8623578978724777,106,106,0.012495274978771669
OV,TACSTD2,GEP18,0.12191008862370858,-0.1310205868586775,106,106,0.0287725246465132
OV,TACSTD2,CYT,2.7343461766345714,2.4597516616977266,106,106,0.02828527794532699
OV,TACSTD2,CD274,1.5181571813000412,1.3659754927816248,106,106,0.06136441650849055
OV,CLDN4,T cells,1.5296226575038003,1.5465657913136237,106,106,0.9473326720194686
OV,CLDN4,CD8 T cells,0.59984127267062,0.7995818918671067,106,106,0.0037209131414682526
OV,CLDN4,Cytotoxic lymphocytes,0.8132084914921336,0.9549650764137436,106,106,0.39172233245897714
OV,CLDN4,GEP18,0.004345244914486556,-0.03476611196343121,106,106,0.9117424890848949
OV,CLDN4,CYT,2.283471391517183,2.567218251933045,106,106,0.40296073891812856
OV,CLDN4,CD274,1.3867782656926102,1.4286953085314122,106,106,0.7209764435604659
