nhood_id	index_row	k_distance	n_cells	n_patients	majority_class	majority_frac	class_group	n_malignant	n_T/NK	n_other	frac_malignant	frac_T/NK	frac_other	tested
nh0	834	2.2417290210723877	73	17	other	0.726027397260274	other	12	8	53	0.1643835616438356	0.1095890410958904	0.726027397260274	True
nh1	27479	2.2415106296539307	39	23	T/NK	0.9487179487179487	T/NK	1	37	1	0.02564102564102564	0.9487179487179487	0.02564102564102564	True
nh2	12383	1.9124245643615723	102	14	T/NK	0.9705882352941176	T/NK	1	99	2	0.00980392156862745	0.9705882352941176	0.0196078431372549	True
nh3	18535	2.1904046535491943	44	21	T/NK	0.8863636363636364	T/NK	1	39	4	0.022727272727272728	0.8863636363636364	0.09090909090909091	True
nh4	22285	1.8966513872146606	80	19	T/NK	0.95	T/NK	1	76	3	0.0125	0.95	0.0375	True
nh5	18534	1.8776732683181763	66	29	T/NK	0.9393939393939394	T/NK	0	62	4	0.0	0.9393939393939394	0.06060606060606061	True
nh6	27525	1.8328956365585327	121	22	T/NK	0.7851239669421488	T/NK	3	95	23	0.024793388429752067	0.7851239669421488	0.19008264462809918	True
nh7	27978	2.002514123916626	75	15	malignant	0.8933333333333333	malignant	67	1	7	0.8933333333333333	0.013333333333333334	0.09333333333333334	True
nh8	3294	2.243579387664795	87	16	malignant	0.9885057471264368	malignant	86	0	1	0.9885057471264368	0.0	0.011494252873563218	True
nh9	25428	1.6400927305221558	74	13	other	0.6216216216216216	other	13	15	46	0.17567567567567569	0.20270270270270271	0.6216216216216216	True
nh10	27564	1.8065260648727417	132	39	T/NK	0.946969696969697	T/NK	2	125	5	0.015151515151515152	0.946969696969697	0.03787878787878788	True
nh11	7138	2.6438703536987305	36	16	other	0.9166666666666666	other	0	3	33	0.0	0.08333333333333333	0.9166666666666666	True
nh12	7992	1.7986854314804077	88	13	malignant	0.9431818181818182	malignant	83	4	1	0.9431818181818182	0.045454545454545456	0.011363636363636364	True
nh13	456	2.25079083442688	90	27	other	0.6888888888888889	other	2	26	62	0.022222222222222223	0.28888888888888886	0.6888888888888889	True
nh14	25069	1.956666350364685	103	9	other	0.7087378640776699	other	0	30	73	0.0	0.2912621359223301	0.7087378640776699	True
nh15	14236	1.7840214967727661	55	17	T/NK	0.9818181818181818	T/NK	0	54	1	0.0	0.9818181818181818	0.01818181818181818	True
nh16	4706	3.5031425952911377	35	14	T/NK	0.4857142857142857	mixed	3	17	15	0.08571428571428572	0.4857142857142857	0.42857142857142855	True
nh17	6276	2.0413498878479004	96	22	malignant	0.9791666666666666	malignant	94	1	1	0.9791666666666666	0.010416666666666666	0.010416666666666666	True
