model	class_group	n_tested	n_down	n_up	median_logFC	median_logFC_down
TACSTD2 high	T/NK	977	1	2	0.260793203032795	-1.41479841368319
TACSTD2 high	malignant	494	4	22	0.5317950781173645	-2.2473845240879298
TACSTD2 high	mixed	29	0	1	-0.125094216956815	
TACSTD2 high	other	658	0	0	0.035443622528054	
CLDN4 high	T/NK	977	56	1	-0.470231163066407	-1.58470958930895
CLDN4 high	malignant	494	2	269	1.5677560917121198	-1.62924183159649
CLDN4 high	mixed	29	5	3	-0.528737159439726	-1.80441305770553
CLDN4 high	other	658	67	7	-0.5004919458926105	-1.70972847524859
TACSTD2 | CLDN4	T/NK	977	0	20	0.631507571082072	
TACSTD2 | CLDN4	malignant	494	6	11	-0.0044580393305134	-2.400368690286995
TACSTD2 | CLDN4	mixed	29	0	1	0.0612140806386968	
TACSTD2 | CLDN4	other	658	0	6	0.3520699725303435	
CLDN4 | TACSTD2	T/NK	977	97	0	-0.799926350721808	-1.79760816719416
CLDN4 | TACSTD2	malignant	494	2	238	1.56022485403718	-1.67257538820972
CLDN4 | TACSTD2	mixed	29	3	2	-0.355070938771529	-2.04476309640217
CLDN4 | TACSTD2	other	658	66	3	-0.689849788496426	-1.889899944561395
