score	dataset	n	rho	p	level	I2	ci_lo	ci_hi
mal_CLDN4_pct_new	GSE123902	13	-0.6593406593406593	0.0142255785114567	cohort			
mal_CLDN4_pct_new	GSE131907	21	-0.5220779220779221	0.015195754492505785	cohort			
mal_CLDN4_pct_new	GSE189357	9	-0.6	0.08762282904140249	cohort			
mal_CLDN4_pct_new	GSE205335	22	-0.43534726143421804	0.042861326301676765	cohort			
mal_CLDN4_pct_new	DL_meta	65	-0.531167804568999	1.6462232944573955e-05	meta	0.0	-0.6967711225150762	-0.3118052568209761
mal_TACSTD2_pct	GSE123902	13	-0.32417582417582413	0.27988186889314004	cohort			
mal_TACSTD2_pct	GSE131907	21	-0.15064935064935067	0.5145138644694079	cohort			
mal_TACSTD2_pct	GSE189357	9	-0.48333333333333334	0.18746985521554216	cohort			
mal_TACSTD2_pct	GSE205335	22	0.20835686053077357	0.3521105235596147	cohort			
mal_TACSTD2_pct	DL_meta	65	-0.1115981379180405	0.46033442477857567	meta	0.15381992904963515	-0.3881079036942132	0.18334380720553678
TACSTD2_partial_CLDN4	GSE123902	13	-0.19230769230769232	0.5290679872349874	cohort			
CLDN4_partial_TACSTD2	GSE123902	13	-0.6978021978021978	0.008000717411226549	cohort			
TACSTD2_partial_CLDN4	GSE131907	21	0.2961038961038961	0.19247618519439216	cohort			
CLDN4_partial_TACSTD2	GSE131907	21	-0.5831168831168831	0.005529078966453104	cohort			
TACSTD2_partial_CLDN4	GSE189357	9	0.08333333333333334	0.831214097710308	cohort			
CLDN4_partial_TACSTD2	GSE189357	9	-0.3666666666666667	0.3317398014330152	cohort			
TACSTD2_partial_CLDN4	GSE205335	22	0.32580463015245625	0.1389589056739585	cohort			
CLDN4_partial_TACSTD2	GSE205335	22	-0.453416149068323	0.03406146890449717	cohort			
TACSTD2_partial_CLDN4	DL_meta	65	0.1950649209576587	0.15028416627022553	meta	0.0	-0.0715073688913168	0.43562942565024454
CLDN4_partial_TACSTD2	DL_meta	65	-0.542895993973554	9.504618566486824e-06	meta	0.0	-0.7051543479859681	-0.32660760879138356
TACSTD2_vs_CLDN4	GSE123902	13	0.3021978021978022	0.3156083662499548	cohort			
TACSTD2_vs_CLDN4	GSE131907	21	0.6714285714285714	0.0008603119868966404	cohort			
TACSTD2_vs_CLDN4	GSE189357	9	0.8499999999999999	0.0037047773275858125	cohort			
TACSTD2_vs_CLDN4	GSE205335	22	0.2173913043478261	0.3311374194883425	cohort			
TACSTD2_vs_CLDN4	DL_meta	65	0.5345059199554321	0.005829909525383323	meta	0.5628293689797423	0.17075904984767584	0.77003589875585
