logFC	logCPM	F	PValue	FDR	nhood_id	model	SpatialFDR	n_samples	rank	n_coef
0.243785385774745	10.9150280305623	2.17561985313455	0.186534804203283	0.608989572572895	nh0	tac_cont	0.6454649856188689	65	5	5
-0.0043838009909709	10.6280811890383	0.0003308801302097	0.985502077104877	0.997508690186138	nh1	tac_cont	0.9980517219077903	65	5	5
0.176061770099042	11.1815655510626	1.30884595086145	0.25372630884725	0.721398385365435	nh2	tac_cont	0.7600599519765993	65	5	5
0.0236813672049247	10.6392210212236	0.0544118983005432	0.850465686327966	0.995390852516074	nh3	tac_cont	0.9969166946665428	65	5	5
0.106396104017112	10.8124386186653	0.696114619380307	0.930435971227068	0.995390852516074	nh4	tac_cont	0.9969166946665428	65	5	5
-0.0148085537317603	10.7880608091452	0.0193709415345288	0.889421685651836	0.995390852516074	nh5	tac_cont	0.9969166946665428	65	5	5
0.0863517529510023	11.0866439954003	0.350454361811894	0.554397466211613	0.923265449632448	nh6	tac_cont	0.9407300914306982	65	5	5
0.360286832762664	10.8383218726403	7.08185145419242	0.0083044342089538	0.107311191754026	nh7	tac_cont	0.11890597842851736	65	5	5
0.511346048767504	10.9545102006536	11.9187748427356	0.0006585835428093	0.0201067403539112	nh8	tac_cont	0.022259048442141063	65	5	5
-0.0002422464170575	10.7607374939512	0.0080707462306952	0.928495688433344	0.995390852516074	nh9	tac_cont	0.9969166946665428	65	5	5
0.0927767356390393	11.1780503079982	0.505292809114447	0.477854310424851	0.886286388479582	nh10	tac_cont	0.9070852464511421	65	5	5
-0.0654304752732659	10.5913371636787	0.414924104861165	0.805766942268979	0.995390852516074	nh11	tac_cont	0.9969166946665428	65	5	5
0.474874476676733	10.9785646522068	9.0954184747247	0.0028587212816768	0.0550784164635691	nh12	tac_cont	0.06064099131707282	65	5	5
0.278310676431105	10.9741119936197	4.4804896893896	0.0352840538533114	0.25898975583485	nh13	tac_cont	0.2808615135920532	65	5	5
0.280579749919585	11.0346012458188	4.49509539604996	0.0350823743713096	0.25898975583485	nh14	tac_cont	0.2808615135920532	65	5	5
-0.297781205063304	10.7813384494085	6.73678382546871	0.0100098171381189	0.119343565657793	nh15	tac_cont	0.13103313259030988	65	5	5
-0.217747971116353	10.6327789764419	3.06794972838968	0.0811733964886339	0.419885362133046	nh16	tac_cont	0.4526832218716707	65	5	5
0.195644009586855	11.0682587429445	2.63260031244343	0.105983187496807	0.484558725885824	nh17	tac_cont	0.5206296987527927	65	5	5
0.0748712026081903	10.6074745449674	0.870827762517954	0.35171766796507	0.797641314271472	nh18	tac_cont	0.826636728420404	65	5	5
-0.120239445199463	10.6033357790927	1.49677729998282	0.263520676714123	0.735676093595183	nh19	tac_cont	0.7747162908616553	65	5	5
-0.0235400552561754	11.400887821733	0.0507016585972694	0.822035525069176	0.995390852516074	nh20	tac_cont	0.9969166946665428	65	5	5
0.0516263109176782	10.7807785282193	0.201481033779983	0.653922550024669	0.961108691667793	nh21	tac_cont	0.9723448185664453	65	5	5
0.318232640193032	10.9571998515208	5.82048448727957	0.0166504065832551	0.156906451557487	nh22	tac_cont	0.17056277096893874	65	5	5
0.223701720723963	10.946061077207	2.56815175325414	0.110312957092719	0.486652415456623	nh23	tac_cont	0.5213818154064465	65	5	5
-0.0435095765152576	10.9030029381181	0.102365075750461	0.749280144648098	0.983544131478465	nh24	tac_cont	0.9912004422863373	65	5	5
0.0145420029224057	10.7285699557337	0.0110469728160883	0.916378117967514	0.995390852516074	nh25	tac_cont	0.9969166946665428	65	5	5
-0.0265699563019781	11.1167648006006	0.0543046403280582	0.815928322379487	0.995390852516074	nh26	tac_cont	0.9969166946665428	65	5	5
0.0711689468437536	11.0272059693427	0.240161664679651	0.624524338824056	0.948816334828617	nh27	tac_cont	0.9618164027043894	65	5	5
-0.054642276694957	10.8164430734551	0.187190515328161	0.665644968048002	0.962619380099195	nh28	tac_cont	0.9730075539353878	65	5	5
-0.0186046445623449	10.7302747118265	0.0367891088743663	0.848054791979241	0.995390852516074	nh29	tac_cont	0.9969166946665428	65	5	5
0.0191981402177944	10.9277317842431	0.0105294037060154	0.918353467903094	0.995390852516074	nh30	tac_cont	0.9969166946665428	65	5	5
0.314383094521973	10.8556606885787	5.86026087830385	0.0209852897960704	0.183345163481457	nh31	tac_cont	0.19828277995960217	65	5	5
-0.126870344251771	10.8088128769612	1.86523430629986	0.495239649552679	0.892092791097396	nh32	tac_cont	0.9107707469076122	65	5	5
0.0529178740396105	10.9436408627478	0.195648453216189	0.658643483187814	0.962003284380895	nh33	tac_cont	0.9730075539353878	65	5	5
0.226271271063665	10.9067290460236	3.03761530608976	0.0826168163363793	0.421058806239034	nh34	tac_cont	0.4541409704682091	65	5	5
0.139551255726872	11.0731544482237	1.13092560483061	0.288616461670324	0.758109197090572	nh35	tac_cont	0.7947510828419566	65	5	5
-0.0464850433309762	11.3552167312009	0.0704145995452839	0.790958430753127	0.994230165963606	nh37	tac_cont	0.9969166946665428	65	5	5
0.0705767085118922	10.7992378302234	0.28516293244634	0.593823866955678	0.936844868355669	nh38	tac_cont	0.9516966446781879	65	5	5
0.687461062926027	10.8841370033168	25.6362397627653	8.0641233914277e-07	0.0004350594569675	nh39	tac_cont	0.00044475809022800536	65	5	5
-0.0265782362868605	10.623021311524	0.0774046183764976	0.781129529149193	0.992654935195292	nh40	tac_cont	0.9969166946665428	65	5	5
0.0643970908087401	10.7041630257665	0.276243770434113	0.599645292295386	0.937048305184424	nh41	tac_cont	0.9516966446781879	65	5	5
0.409589304338179	10.7793823932313	10.459228653555	0.0608464356114276	0.357783673159293	nh42	tac_cont	0.385754306797709	65	5	5
0.324932379772086	10.6934839115109	5.78676881072162	0.0632176837995245	0.366730542041328	nh43	tac_cont	0.39519149163852635	65	5	5
0.023680456793424	10.6910060168504	0.0302910573316304	0.861975968185927	0.995390852516074	nh44	tac_cont	0.9969166946665428	65	5	5
-0.129686428867963	11.0566411903835	0.836950393671526	0.361174823085501	0.801001853876154	nh45	tac_cont	0.8297850511870175	65	5	5
-0.0349877448913722	11.0309674677184	0.151734850265317	0.697218569060152	0.970082315945718	nh46	tac_cont	0.9800236858966603	65	5	5
-0.0125165119980662	11.1047495709128	0.0168546384739328	0.896810206532411	0.995390852516074	nh47	tac_cont	0.9969166946665428	65	5	5
0.201308747999415	11.0853301876617	2.30680173532122	0.130105231170127	0.516115972178555	nh48	tac_cont	0.5520577059197346	65	5	5
0.035810947533066	10.71455418103	0.120843599674858	0.728417348967966	0.977565074050292	nh49	tac_cont	0.9858068848859398	65	5	5
-0.0525638496381214	10.9359742919751	0.234169601872017	0.628916896751366	0.949804469888358	nh50	tac_cont	0.962666524674753	65	5	5
0.017310420419748	10.7593453081572	0.0090598505298728	0.924247503993226	0.995390852516074	nh51	tac_cont	0.9969166946665428	65	5	5
0.0340030239401453	10.8655698819717	0.0837429665217757	0.772530443153087	0.988754720641825	nh52	tac_cont	0.9949560557068374	65	5	5
-0.0126224615386163	10.7459993283781	0.0020333057687159	0.964070255415757	0.996638126737304	nh53	tac_cont	0.9979209046003432	65	5	5
0.129579181309181	11.4960170422791	1.20726761370157	0.27294368608107	0.744590766970144	nh54	tac_cont	0.782242481507219	65	5	5
0.219828094177978	10.6263905870707	3.65861200196121	0.0569364419279259	0.343952927846423	nh56	tac_cont	0.37071307060756775	65	5	5
0.0814684505981811	10.6845258816428	0.408388587566859	0.792100785996437	0.994230165963606	nh57	tac_cont	0.9969166946665428	65	5	5
0.253967288685727	10.7328925900469	4.10289080321699	0.103410547958086	0.477858592063277	nh58	tac_cont	0.5137099338385654	65	5	5
-0.0254355458635802	10.9785785639792	0.021601199328474	0.883272845286075	0.995390852516074	nh59	tac_cont	0.9969166946665428	65	5	5
0.181987547429764	10.8053988826764	2.00696256898916	0.182218197369065	0.602185099421811	nh60	tac_cont	0.6388679162996818	65	5	5
0.263021780630749	10.8980356683261	3.76701876204759	0.0534103037992303	0.33325802147487	nh61	tac_cont	0.3590568447559986	65	5	5
