feature	kind	subset	test	covariate	n_R	n_NR	median_R	median_NR	mean_R	mean_NR	p_two	p_one_NR_gt_R	U_NR_gt_R	direction	hit_0.019_two	hit_0.019_one	matches_claimed_two	matches_claimed_one	source	which_p	p	n_high	n_low	n_high_NR	n_high_R	n_low_NR	n_low_R	n_mid
userPPT_7gene	user_ppt	all	MW_score_R_vs_NR		5	11	-0.13347758768204152	0.1285857792471457	-0.6639050977548175	0.3017750444340081	0.019230769230769232	0.009615384615384616	48.0	NR>R	False	True	True	True	user PPT / claim-page 7-gene (CLDN1/4/7, F11R, TJP1/2, OCLN); not Cho 2020	two	0.019230769230769232							
userPPT_7gene	user_ppt	all	MW_score_R_vs_NR		5	11	-0.13347758768204152	0.1285857792471457	-0.6639050977548175	0.3017750444340081	0.019230769230769232	0.009615384615384616	48.0	NR>R	False	True	True	True	user PPT / claim-page 7-gene (CLDN1/4/7, F11R, TJP1/2, OCLN); not Cho 2020	one_NR_gt_R	0.009615384615384616							
userPPT_7gene	user_ppt	fresh	MW_score_R_vs_NR		5	6	-0.13347758768204152	0.3646677317170236	-0.6639050977548175	0.3875125928780132	0.030303030303030304	0.015151515151515152	27.0	NR>R	False	True	False	True	user PPT / claim-page 7-gene (CLDN1/4/7, F11R, TJP1/2, OCLN); not Cho 2020	one_NR_gt_R	0.015151515151515152							
CD8A	control	all	MW_score_R_vs_NR		5	11	5.807218416368659	3.2593403512155152	5.629874729946751	3.096570754624079	0.0009157509157509158	0.9997710622710623	1.0	R>NR	True	False	True	False	positive-control immune gene (expect R > NR)	two	0.0009157509157509158							
CD8A	control	all	Fisher_tertile_top_vs_bottom		5	11	5.807218416368659	3.2593403512155152			0.015151515151515154	1.0		R_enriched_top	True	False	True	False	positive-control immune gene (expect R > NR)	two	0.015151515151515154	6.0	6.0	1.0	5.0	6.0	0.0	4.0
CD8A	control	fresh	MW_score_R_vs_NR		5	6	5.807218416368659	2.746869084338956	5.629874729946751	2.9642540405665234	0.004329004329004329	1.0	0.0	R>NR	True	False	True	False	positive-control immune gene (expect R > NR)	two	0.004329004329004329							
CD8	control	all	MW_score_R_vs_NR		5	11	1.2134969607191608	-0.4704792369871714	1.1346579642253805	-0.5157536201024455	0.0004578754578754579	1.0	0.0	R>NR	True	False	True	False	CD8A+CD8B mean-z control	two	0.0004578754578754579							
CD8	control	all	Fisher_tertile_top_vs_bottom		5	11	1.2134969607191608	-0.4704792369871714			0.015151515151515154	1.0		R_enriched_top	True	False	True	False	CD8A+CD8B mean-z control	two	0.015151515151515154	6.0	6.0	1.0	5.0	6.0	0.0	4.0
CD8	control	fresh	MW_score_R_vs_NR		5	6	1.2134969607191608	-0.5211940083223572	1.1346579642253805	-0.5897574293667993	0.004329004329004329	1.0	0.0	R>NR	True	False	True	False	CD8A+CD8B mean-z control	two	0.004329004329004329							
gene_OCLN	single_gene	all	MW_score_R_vs_NR		5	11	3.947534896754727	5.827701859101286	3.591755200037474	5.726208582157207	0.005494505494505494	0.002747252747252747	51.0	NR>R	True	True	True	True	single-gene log2CPM OCLN	two	0.005494505494505494							
gene_OCLN	single_gene	all	MW_score_R_vs_NR		5	11	3.947534896754727	5.827701859101286	3.591755200037474	5.726208582157207	0.005494505494505494	0.002747252747252747	51.0	NR>R	True	True	True	True	single-gene log2CPM OCLN	one_NR_gt_R	0.002747252747252747							
gene_OCLN	single_gene	all	Fisher_median_high_vs_low		5	11	3.947534896754727	5.827701859101286			0.025641025641025644	0.012820512820512818		NR_enriched_high	False	True	False	True	single-gene log2CPM OCLN	one_NR_in_high	0.012820512820512818	8.0	8.0	8.0	0.0	3.0	5.0	
gene_OCLN	single_gene	fresh	MW_score_R_vs_NR		5	6	3.947534896754727	6.084708642134986	3.591755200037474	5.871530120401485	0.017316017316017316	0.008658008658008658	28.0	NR>R	True	True	True	True	single-gene log2CPM OCLN	two	0.017316017316017316							
gene_OCLN	single_gene	fresh	MW_score_R_vs_NR		5	6	3.947534896754727	6.084708642134986	3.591755200037474	5.871530120401485	0.017316017316017316	0.008658008658008658	28.0	NR>R	True	True	True	True	single-gene log2CPM OCLN	one_NR_gt_R	0.008658008658008658							
gene_CD8A	single_gene	all	MW_score_R_vs_NR		5	11	5.807218416368659	3.2593403512155152	5.629874729946751	3.096570754624079	0.0009157509157509158	0.9997710622710623	1.0	R>NR	True	False	True	False	single-gene log2CPM CD8A	two	0.0009157509157509158							
gene_CD8A	single_gene	all	Fisher_tertile_top_vs_bottom		5	11	5.807218416368659	3.2593403512155152			0.015151515151515154	1.0		R_enriched_top	True	False	True	False	single-gene log2CPM CD8A	two	0.015151515151515154	6.0	6.0	1.0	5.0	6.0	0.0	4.0
gene_CD8A	single_gene	fresh	MW_score_R_vs_NR		5	6	5.807218416368659	2.746869084338956	5.629874729946751	2.9642540405665234	0.004329004329004329	1.0	0.0	R>NR	True	False	True	False	single-gene log2CPM CD8A	two	0.004329004329004329							
