feature	kind	source	n_requested	n_used	n_missing	used	missing
CLDN4	single_gene	single gene (item 6)	1	1	0	CLDN4	
CLDN147_F11R_PARD3	user_wave2_5gene	wave-2 request: CLDN1/4/7/F11R/PARD3 mean-z	5	5	0	CLDN1,CLDN4,CLDN7,F11R,PARD3	
KRT_basal_squamous	keratin	compact lung basal/squamous KRTs (item 6 contrast; not Cho 2020)	9	9	0	KRT5,KRT6A,KRT6B,KRT6C,KRT14,KRT15,KRT16,KRT17,KRT19	
REACTOME_KERATINIZATION	keratin	MSigDB REACTOME_KERATINIZATION (R-HSA-6805567)	217	214	3	CAPN1,CAPNS1,CASP14,CDSN,CELA2A,CSTA,DSC1,DSC2,DSC3,DSG1,DSG2,DSG3,DSG4,DSP,EVPL,FLG,FURIN,IVL,JUP,KAZN,KLK12,KLK13,KLK14,KLK5,KLK8,KRT1,KRT10,KRT12,KRT13,KRT14,KRT15,KRT16,KRT17,KRT18,KRT19,KRT2,KRT20,KRT23,KRT24,KRT25,KRT26,KRT27,KRT28,KRT3,KRT31,KRT32,KRT33A,KRT33B,KRT34,KRT35,KRT36,KRT37,KRT38,KRT39,KRT4,KRT40,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT71,KRT72,KRT73,KRT74,KRT75,KRT76,KRT77,KRT78,KRT79,KRT8,KRT80,KRT81,KRT82,KRT83,KRT84,KRT85,KRT86,KRT9,KRTAP1-1,KRTAP1-3,KRTAP1-4,KRTAP1-5,KRTAP10-1,KRTAP10-10,KRTAP10-11,KRTAP10-12,KRTAP10-2,KRTAP10-3,KRTAP10-4,KRTAP10-5,KRTAP10-6,KRTAP10-7,KRTAP10-8,KRTAP10-9,KRTAP11-1,KRTAP12-1,KRTAP12-2,KRTAP12-3,KRTAP12-4,KRTAP13-1,KRTAP13-2,KRTAP13-3,KRTAP13-4,KRTAP15-1,KRTAP16-1,KRTAP17-1,KRTAP19-1,KRTAP19-2,KRTAP19-3,KRTAP19-4,KRTAP19-5,KRTAP19-6,KRTAP19-7,KRTAP19-8,KRTAP2-1,KRTAP2-2,KRTAP2-3,KRTAP2-4,KRTAP20-1,KRTAP20-2,KRTAP21-1,KRTAP21-2,KRTAP21-3,KRTAP22-1,KRTAP23-1,KRTAP24-1,KRTAP25-1,KRTAP26-1,KRTAP27-1,KRTAP29-1,KRTAP3-1,KRTAP3-2,KRTAP3-3,KRTAP4-11,KRTAP4-2,KRTAP4-3,KRTAP4-4,KRTAP4-5,KRTAP4-6,KRTAP4-7,KRTAP4-8,KRTAP4-9,KRTAP5-1,KRTAP5-10,KRTAP5-11,KRTAP5-2,KRTAP5-3,KRTAP5-5,KRTAP5-6,KRTAP5-7,KRTAP5-8,KRTAP5-9,KRTAP6-1,KRTAP6-2,KRTAP6-3,KRTAP8-1,KRTAP9-1,KRTAP9-2,KRTAP9-3,KRTAP9-4,KRTAP9-6,KRTAP9-7,KRTAP9-8,KRTAP9-9,LCE1A,LCE1B,LCE1C,LCE1D,LCE1E,LCE1F,LCE2A,LCE2B,LCE2C,LCE2D,LCE3A,LCE3B,LCE3C,LCE3D,LCE3E,LCE4A,LCE5A,LCE6A,LELP1,LIPJ,LIPK,LIPM,LIPN,PCSK6,PERP,PI3,PKP1,PKP2,PKP3,PKP4,PPL,PRSS8,RPTN,SPINK5,SPINK6,SPINK9,SPRR1A,SPRR1B,SPRR2A,SPRR2B,SPRR2D,SPRR2E,SPRR2F,SPRR2G,SPRR3,ST14,TCHH,TGM1,TGM5	KRTAP4-1,KRTAP5-4,LORICRIN
Chae2018_CBM_TJ	paper_TJ	Chae 2018 Sci Rep Table 2 CBM tight-junction genes (NSCLC immune paper)	7	7	0	CLDN1,CLDN5,CLDN7,F11R,JAM2,TJP1,TJP2	
userPPT_7gene	user_ppt	user PPT / claim-page 7-gene (CLDN1/4/7, F11R, TJP1/2, OCLN); not Cho 2020	7	7	0	CLDN1,CLDN4,CLDN7,F11R,TJP1,TJP2,OCLN	
Reactome_R-HSA-420029	database_TJ	Reactome tight junction interactions / MSigDB REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	28	1	CLDN1,CLDN2,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN19,CLDN20,CLDN23,CRB3,F11R,MPP5,PARD3,PARD6A,PARD6B,PARD6G,PRKCI	PATJ
GOCC_TIGHT_JUNCTION	database_TJ	MSigDB GOCC_TIGHT_JUNCTION (GO:0070160)	138	130	6	ACTB,ADCYAP1R1,AMOT,AMOTL1,AMOTL2,ANK3,AOC1,APC,ARHGAP17,ARHGEF2,ASH1L,CCDC85C,CCND1,CDH5,CDK4,CGN,CGNL1,CLDN1,CLDN10,CLDN11,CLDN12,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN19,CLDN2,CLDN20,CLDN23,CLDN24,CLDN25,CLDN3,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,CLDND1,CLMP,CRB3,CTNNB1,CXADR,CYTH1,CYTH2,CYTH3,DLG1,DLG3,DSG3,ECT2,EPB41L4B,EPCAM,EPHA2,EPPK1,ESAM,F11R,FRMD4A,FRMD4B,FRMPD2,FZD5,GJA1,IGSF5,ILDR1,ILDR2,JAM2,JAM3,LIN7A,LIN7B,LIN7C,LSR,LUZP1,MAGI1,MAGI2,MAGI3,MAP3K1,MAPK15,MARVELD2,MARVELD3,MICALL2,MPDZ,MPP7,MTDH,MXRA8,NHS,NPHP1,NPHP4,OCEL1,OCLN,MPP5,PARD3,PARD3B,PARD6A,PARD6B,PARD6G,PDCD6IP,PLXDC1,PMP22,POF1B,PRKCI,PRKCZ,RAB13,RAP2B,RAP2C,RAPGEF2,RPGRIP1L,SAPCD2,SH3BP1,SHROOM2,SIPA1L3,STRN,SYMPK,SYNPO,TBCD,TGFBR1,TJAP1,TJP1,TJP2,TJP3,TMEM114,TRAF4,UBN1,USP53,VAPA,VASP,WNK3,WNK4,WWTR1,YAP1,YBX3	AFDN,CLDN34,JAML,PATJ,POPDC1,RIGI
KEGG_hsa04530	database_TJ	KEGG hsa04530 Tight junction (actin/myosin-heavy comparator)	171	164	6	CLDN24,OCLN,ARPC5,ARPC4,ARPC3,ARPC1B,ACTR3,ACTR2,ARPC2,CDK4,TUBA1B,MYL12B,MYL9,ARPC1A,MYL12A,CLDN16,CFTR,TUBA3E,TUBA3D,SYNPO,WHAMM,CLDN4,CLDN3,CLDN7,CLDN23,MYL6B,CLDN19,IGSF5,MARVELD2,AMOT,AMOTL1,DLG1,DLG2,DLG3,CTTN,ERBB2,NEDD4L,ARHGEF18,SCRIB,CLDN14,CLDN15,GATA4,CLDN17,TJP3,HCLS1,HSPA4,ITGB1,JUN,RHOA,LLGL2,LLGL1,MAP3K1,MAP3K5,RAB8A,MSN,MYH9,MYH10,MYH11,MYL2,MYL6,NEDD4,NF2,CLDN20,CLDN11,F11R,PARD6A,PCNA,CLDN18,AMOTL2,PRKAG2,RAPGEF6,RAB8B,TUBA8,PRKAG3,EPB41L4B,ARHGAP17,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKCE,PRKCI,PPP2R2D,PRKCZ,MAPK8,MAPK9,MAPK10,MAP2K7,PARD3,ACTR3B,CGN,RAP2C,JAM2,MPP4,RAB13,RAC1,RAP1A,CCND1,RDX,ACTB,ROCK1,MPP5,CLDN25,ACTR3C,SRC,STK11,TIAM1,TJP1,ACTG1,CLDN5,TUBA4A,TUBA3C,VASP,EZR,WAS,CACNA1D,TUBA1A,MICALL2,MYH14,TUBAL3,ACTN4,ARPC5L,SYMPK,JAM3,PARD6G,PARD6B,TUBA1C,CGNL1,YBX3,RUNX1,ACTN1,MPDZ,CLDN12,CLDN10,CLDN8,CLDN6,CLDN2,CLDN1,CLDN9,CD1A,CD1B,CD1C,CD1D,CD1E,ARHGEF2,MARVELD3,MAGI1,CRB3,TJAP1,TJP2,ROCK2,RAPGEF2,CDC42	CLDN34,PATJ,POPDC1,AFDN,TUBA4B,NHERF1
TJ_15_structural	repo_comparator	repo 15-gene structural TJ (PR #69)	15	15	0	CLDN1,CLDN3,CLDN4,CLDN7,OCLN,TJP1,TJP2,TJP3,F11R,JAM2,JAM3,MARVELD2,MARVELD3,CGN,CGNL1	
