feature	kind	subset	test	covariate	n_R	n_NR	median_R	median_NR	mean_R	mean_NR	p_two	p_one_NR_gt_R	U_NR_gt_R	direction	hit_0.019_two	hit_0.019_one	matches_claimed_two	matches_claimed_one	source	n_high	n_low	n_high_NR	n_high_R	n_low_NR	n_low_R	n_mid	resid_R2
CLDN4	single_gene	all	MW_score_R_vs_NR		5	11	2.542294564145926	3.7711716113053324	2.231615462887736	3.4971479267993018	0.11492673992673993	0.05746336996336997	42.0	NR>R	False	False	False	False	single gene (item 6)								
CLDN4	single_gene	fresh	MW_score_R_vs_NR		5	6	2.542294564145926	3.7682251036981462	2.231615462887736	3.1853387501146906	0.32900432900432897	0.16450216450216448	21.0	NR>R	False	False	False	False	single gene (item 6)								
CLDN147_F11R_PARD3	user_wave2_5gene	all	MW_score_R_vs_NR		5	11	-0.018384247311352776	0.1883890812662819	-0.5152769322987069	0.23421678740850382	0.3195970695970696	0.1597985347985348	37.0	NR>R	False	False	False	False	wave-2 request: CLDN1/4/7/F11R/PARD3 mean-z								
CLDN147_F11R_PARD3	user_wave2_5gene	fresh	MW_score_R_vs_NR		5	6	-0.018384247311352776	0.22481096592320932	-0.5152769322987069	0.20444247861921727	0.42857142857142855	0.21428571428571427	20.0	NR>R	False	False	False	False	wave-2 request: CLDN1/4/7/F11R/PARD3 mean-z								
KRT_basal_squamous	keratin	all	MW_score_R_vs_NR		5	11	0.034109136017142695	-0.0030262602830373434	-0.09812690131059444	0.044603136959361064	0.6611721611721613	0.33058608058608063	32.0	R>NR	False	False	False	False	compact lung basal/squamous KRTs (item 6 contrast; not Cho 2020)								
KRT_basal_squamous	keratin	fresh	MW_score_R_vs_NR		5	6	0.034109136017142695	-0.3135154818967374	-0.09812690131059444	-0.05398892215346818	0.9307359307359306	0.4653679653679653	16.0	R>NR	False	False	False	False	compact lung basal/squamous KRTs (item 6 contrast; not Cho 2020)								
REACTOME_KERATINIZATION	keratin	all	MW_score_R_vs_NR		5	11	-0.20568803472340924	-0.11762101971587513	-0.17933906593694784	0.08151775724406726	0.440934065934066	0.220467032967033	35.0	NR>R	False	False	False	False	MSigDB REACTOME_KERATINIZATION (R-HSA-6805567)								
REACTOME_KERATINIZATION	keratin	fresh	MW_score_R_vs_NR		5	6	-0.20568803472340924	-0.04451242934977453	-0.17933906593694784	0.1589936693928694	0.5367965367965368	0.2683982683982684	19.0	NR>R	False	False	False	False	MSigDB REACTOME_KERATINIZATION (R-HSA-6805567)								
Chae2018_CBM_TJ	paper_TJ	all	MW_score_R_vs_NR		5	11	-0.18542573050600872	0.17634215489017221	-0.3887505004111864	0.17670477291417558	0.14514652014652016	0.07257326007326008	41.0	NR>R	False	False	False	False	Chae 2018 Sci Rep Table 2 CBM tight-junction genes (NSCLC immune paper)								
Chae2018_CBM_TJ	paper_TJ	fresh	MW_score_R_vs_NR		5	6	-0.18542573050600872	0.18259876269228614	-0.3887505004111864	0.2539271767501018	0.12554112554112554	0.06277056277056277	24.0	NR>R	False	False	False	False	Chae 2018 Sci Rep Table 2 CBM tight-junction genes (NSCLC immune paper)								
