cohort,subset,gene,n_pairs,n_up,n_down,median_pre,median_post,median_delta,wilcoxon_p,n_mpr,n_nmpr,median_mpr,median_nmpr,mwu_p,n,spearman_rho,spearman_p,n_pre,n_post,n_R,n_NR,median_R,median_NR
GSE253564_pre__GSE248378_post,all_joinable_pairs,TACSTD2,20,14.0,6.0,47.7905,45.415,16.2422,0.11398696899414062,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,NMPR_pairs,TACSTD2,20,14.0,6.0,47.7905,45.415,16.2422,0.11398696899414062,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,MPR_pairs,TACSTD2,0,0.0,0.0,,,,,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,Arm1_durva_alone,TACSTD2,14,8.0,6.0,63.045,44.345,1.955799999999999,0.71484375,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,Arm2_durva_SBRT,TACSTD2,6,6.0,0.0,27.57,101.32,40.278749999999995,0.03125,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,all_joinable_pairs,CLDN4,20,14.0,6.0,50.7155,63.67999999999999,7.472900000000003,0.1230926513671875,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,NMPR_pairs,CLDN4,20,14.0,6.0,50.7155,63.67999999999999,7.472900000000003,0.1230926513671875,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,MPR_pairs,CLDN4,0,0.0,0.0,,,,,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,Arm1_durva_alone,CLDN4,14,8.0,6.0,50.7155,48.49,2.5060000000000024,0.8077392578125,,,,,,,,,,,,,,
GSE253564_pre__GSE248378_post,Arm2_durva_SBRT,CLDN4,6,6.0,0.0,42.3565,121.905,37.268499999999996,0.03125,,,,,,,,,,,,,,
GSE253564_pretreatment,MPR_vs_NMPR,TACSTD2,,,,,,,,11.0,21.0,156.855,58.209,0.015510489089653818,,,,,,,,,
GSE248378_post_resection,MPR_vs_NMPR,TACSTD2,,,,,,,,0.0,29.0,,45.92,,,,,,,,,,
GSE253564_pretreatment,MPR_vs_NMPR,CLDN4,,,,,,,,11.0,21.0,61.8809,49.532,0.34098363467259285,,,,,,,,,
GSE248378_post_resection,MPR_vs_NMPR,CLDN4,,,,,,,,0.0,29.0,,52.6,,,,,,,,,,
GSE207422_bulk_pretreatment,MPR_vs_NMPR,TACSTD2,,,,,,,,9.0,15.0,4.9991896090022,6.22219707106702,0.3400554635028641,,,,,,,,,
GSE207422_bulk_pretreatment,MPR_vs_NMPR,CLDN4,,,,,,,,9.0,15.0,5.8539397241997,6.27200773153137,0.2572389851810263,,,,,,,,,
GSE207422_bulk_pretreatment,TACSTD2_vs_CLDN4,both,,,,,,,,,,,,,24.0,0.8582608695652173,8.1747163102769e-08,,,,,,
GSE207422_scRNA_epithelial_unpaired,post_vs_pre,TACSTD2,,,,1.871334195137024,1.329357385635376,,,,,,,0.36483516483516487,,,,3.0,12.0,,,,
GSE207422_scRNA_epithelial_unpaired,post_MPR_vs_NMPR,TACSTD2,,,,,,,,4.0,8.0,1.2747855186462402,1.4130824208259583,0.5696969696969697,,,,,,,,,
GSE207422_scRNA_epithelial_unpaired,post_vs_pre,CLDN4,,,,1.250162959098816,1.268858790397644,,,,,,,0.734065934065934,,,,3.0,12.0,,,,
GSE207422_scRNA_epithelial_unpaired,post_MPR_vs_NMPR,CLDN4,,,,,,,,4.0,8.0,1.442495584487915,1.1537773609161377,0.46060606060606063,,,,,,,,,
GSE166449_pembro_pretreatment,RECIST_R_vs_NR,TACSTD2,,,,,,,,,,,,0.4068627450980391,,,,,,7.0,15.0,2.1197704230813343,1.7805740834843327
GSE166449_pembro_pretreatment,RECIST_R_vs_NR,CLDN4,,,,,,,,,,,,0.9452106201332205,,,,,,7.0,15.0,1.2081052560568217,1.3282401491644622
GSE248249,all_pairs,TACSTD2,13,6.0,7.0,4.83684,4.74803,-0.16129999999999978,0.946044921875,,,,,,,,,,,,,,
GSE248249,same_site,TACSTD2,4,2.0,2.0,4.426475,4.08118,-0.02014999999999989,1.0,,,,,,,,,,,,,,
GSE248249,lung_to_lung,TACSTD2,1,1.0,0.0,5.80795,6.40599,0.5980400000000001,,,,,,,,,,,,,,,
GSE248249,all_pairs,CLDN4,13,2.0,11.0,5.65674,4.82793,-0.8851800000000001,0.01708984375,,,,,,,,,,,,,,
GSE248249,same_site,CLDN4,4,0.0,4.0,5.200835,4.739595,-0.7442700000000002,0.125,,,,,,,,,,,,,,
GSE248249,lung_to_lung,CLDN4,1,0.0,1.0,5.56787,4.66109,-0.9067800000000004,,,,,,,,,,,,,,,
