sample_id	TACSTD2	CD8A	CD8B	CCL5	GZMK	LCK	TRAC	NKG7	KLRD1	GNLY	PRF1	CTSW	NCR1	PTPRC	CD3D	CD3E	LST1	CD74	HLA-DRA	EPCAM	KRT7	KRT8	KRT18	KRT19	MUC1
A006	-0.5094	-0.0639	-0.296		-0.0952	0.404		1.3672	1.738	1.405	1.317	1.0472	2.0639	0.9977	-0.1396	0.3924	0.4663	-0.0502	0.5197	-1.0307	-0.5223	-1.6229	-1.3936	-1.0063	-0.754
A015	3.1112	1.1685	1.1659		1.5812	0.5738		-0.3491	-1.3624	-0.6728	-0.9168	-0.1703	-0.6504	0.0667	0.8243	-0.2351	0.8396	1.4594	1.0949	0.7157	1.3478	0.4472	1.161	1.0423	0.6314
A021	1.0766	-1.79	-2.1049		-2.5294	-1.9772		-2.584	-0.388	-1.5032	-4.0715	-2.1906	-1.3466	-2.9749	-2.9772	-3.3823	-1.9045	-1.236	-1.8195	0.6442	0.9047	0.7325	1.1143	1.4218	0.9185
A027	0.215	0.0671	0.0541		0.6106	0.4023		-0.7468	-0.2472	-0.636	-1.141	-0.1134	-1.3466	0.254	0.4763	0.4128	0.0488	0.4801	0.0961	0.1866	0.8122	0.4441	0.5417	0.5684	0.2104
A028	1.166	-0.0789	-0.1392		-0.5304	-1.2168		-0.8086	-1.3738	0.1737	-1.4987	-1.1356	-1.3466	-1.1415	-0.3774	-0.968	-1.1013	-0.4466	-0.9932	0.7606	0.9753	-0.1529	0.4567	0.2182	1.6215
A033	0.6605	0.3418	0.0915		0.2803	0.1489		0.7765	0.6182	2.5695	0.4773	0.231	0.056	-0.1002	0.0086	-0.439	1.9856	0.5349	-0.1651	0.7293	1.1405	0.9928	1.1202	2.2557	-0.0657
A037	0.4002	-1.2179	-1.1132		-1.6621	-0.8555		-0.9056	-0.9838	-0.665	0.0087	-1.2807	0.0224	0.0796	-0.6695	-1.2192	2.35	1.2651	1.9062	0.0592	-0.6044	-0.4475	0.4003	-0.2309	1.0958
A062	1.1666	0.2847	-0.4152		-0.2933	-0.6025		-0.3699	-0.63	1.0397	-1.4471	0.2458	-1.3466	-1.5809	-0.4746	-0.9405	-0.1073	0.461	0.1481	1.812	0.9337	0.4267	1.1092	0.3484	0.3613
A063	1.9759	-1.4395	-1.8615		-4.1748	-2.4305		-1.4128	-0.9972	-1.492	-1.573	-0.9727	-0.8475	-3.6919	-1.8546	-2.2405	-3.959	-4.9096	-5.3416	0.0772	1.3462	1.1102	0.7815	2.451	-0.5501
A066	1.044	-0.7831	-0.4883		0.5221	0.1559		-0.8246	-1.1762	-0.9838	-1.0635	-0.0353	-0.2374	0.2964	0.2772	0.125	0.5962	0.7061	1.2208	0.4923	0.81	0.7311	0.6206	0.0098	-0.4168
A068	1.3913	1.8997	1.7281		0.8523	0.5614		1.3726	1.2123	2.0282	1.0341	-0.6636	-0.1158	0.528	1.4328	0.6802	0.8327	0.892	1.1189	0.5688	0.6976	1.7544	2.4153	1.05	-0.3499
A072	0.7849	-0.0296	-0.0506		0.6765	-0.1212		-0.514	-0.3984	-0.9964	-0.9012	-0.5142	-1.3466	-0.123	0.247	0.2676	-1.117	-0.471	-0.5068	0.0027	0.0649	0.0535	-0.1651	0.5269	0.5238
A074	1.9827	-1.4035	-3.0119		-1.8761	-1.6782		-2.06	-1.8751	-0.74	-1.0329	-0.782	0.3164	-1.7307	-1.7678	-1.8761	2.1444	0.9847	-1.2162	0.1922	1.7034	0.8121	1.4433	1.8999	0.8424
A100	0.7979	-0.9834	-0.9046		-0.1929	-0.2965		-1.1983	-0.2984	-0.8089	0.225	-1.7605	-1.3466	-0.4507	-0.1458	-0.7631	0.1945	0.5498	1.5508	0.8397	-0.2694	-0.7691	-0.4087	-1.5036	0.5862
A101	0.1866	-0.2375	-0.378		-0.1763	-0.4401		0.5656	0.741	1.002	0.144	0.0104	1.0042	-0.5779	-0.0625	-0.6246	0.0369	-0.7934	-1.1728	-0.4304	0.8217	-0.1841	0.73	0.818	0.4748
A102	0.1511	0.0316	0.5342		0.5844	0.0924		-0.5109	-1.761	-0.8238	-0.8096	-0.02	-1.3466	-0.7006	0.159	-0.0968	-0.2154	0.8742	0.2058	-0.1436	-0.5295	-0.1909	0.2065	0.1216	0.6665
A103	0.7617	0.1005	0.0336		0.2704	-0.236		-0.7118	-0.0531	-0.5462	-1.2203	-0.4624	-0.7356	0.0263	0.1699	-0.1285	-0.7273	1.6915	1.1446	1.7267	1.0056	0.6155	0.0839	0.37	-0.2222
A104	1.3228	-1.5081	-1.4314		-1.3459	-1.2767		-0.0151	-0.2037	0.0052	-0.0104	0.1301	-0.7131	-0.2649	-0.684	-0.8305	0.8775	0.5433	0.6911	0.8546	-0.0378	-0.375	-0.7688	-0.1276	1.1267
A110	-2.2174	0.2588	-0.4298		-0.0699	-1.1971		-0.1512	0.5863	0.1326	-0.926	-1.3533	-1.3466	-1.3212	-1.6977	-1.8625	-0.7014	-3.3862	-3.8791	1.4793	0.4466	-0.4797	0.8942	-1.6247	-0.6663
A111	-1.0098	-0.2143	-0.2579		-0.7469	-0.6879		-0.9382	-2.0914	-1.0899	1.0915	-0.2103	-0.5432	-1.0794	-0.254	-0.3791	-1.6707	-0.5153	0.3718	1.9744	-3.3069	-0.7056	-0.2054	-1.5393	-0.4636
A112	1.1181	-1.5273	-1.3877		-0.7623	-2.3495		-1.1621	-2.2317	-0.9847	0.8826	-2.7545	-1.3466	-1.6506	-1.7801	-1.6928	-0.8666	-0.0402	-1.1246	1.3304	0.0595	-1.1991	0.3694	-0.1226	0.2771
A117	1.1293	-1.6714	-1.2108		-1.066	-1.4221		-1.3325	-0.7207	-1.2617	-1.441	0.1466	-1.3466	-0.8221	-1.3739	-1.2493	0.7744	0.1952	0.3765	0.7491	0.8036	0.3846	-0.45	1.7902	1.183
A120	1.2981	-1.2186	-1.6611		-1.3937	-1.8773		-1.9509	-0.7511	-1.4198	-0.5203	-0.1062	-1.3466	-2.91	-1.6126	-1.282	-0.6439	0.4982	-0.6471	0.079	0.4998	0.2977	0.2702	1.151	1.6239
A124	0.2433	-0.0678	-0.8004		0.2079	-0.1371		-0.5331	-0.7936	-0.749	-0.8234	-0.2598	-1.3466	-0.2091	-0.2754	-0.0881	-0.5297	-0.4583	-0.4966	0.2793	-0.8819	0.0591	-0.6226	0.4539	-0.1523
A126	0.9445	-0.7919	-0.9012		-0.8044	-0.9905		-0.7874	-1.1627	-0.4678	-1.0707	0.0146	-1.3466	-0.984	-0.7439	-0.6702	0.2166	0.61	-0.3638	1.1436	0.0699	0.146	0.5054	0.1349	-0.045
A131	1.4071	-2.7707	-2.6502		-4.027	-3.9228		-2.7887	0.4569	-2.3563	-3.169	-1.9216	-1.3466	-2.7724	-3.0129	-3.6139	-2.2264	-4.4518	-4.1088	-2.3234	-5.2326	-0.7372	-2.1296	0.4357	-3.7267
A134	2.2563	-1.5246	-1.9581		-1.5846	-1.7147		-1.0005	-0.6295	-0.8132	-0.4675	0.7443	-0.3551	-1.7516	-1.7346	-1.7057	-0.1234	-0.9282	-0.3428	0.7991	1.2086	1.2073	1.0527	0.2671	0.9017
A138	-0.9407	-0.4222	-0.4809		-0.1516	-0.7581		0.6748	0.8485	0.0548	0.2369	0.7657	1.4383	0.3887	-0.9376	-0.4439	-0.6585	-0.7327	-0.1835	-1.1257	-1.0375	-1.9064	-2.0055	-1.3589	-1.3008
A143	0.2522	1.2888	0.066		-0.4737	-0.0887		1.1286	1.5719	1.4005	0.9944	0.5643	1.1886	-0.5105	-0.0394	-0.1657	-0.5782	-1.3178	-1.3406	0.7739	1.4622	2.3391	2.5064	-1.2804	0.2904
