contrast	n1	n2	n	U	p	r_rb	delta_median	median_1	median_2
DPT vs RECIST (PR vs PD/SD)	6	10	16	44.0	0.14710289710289712	0.46666666666666656	0.17173507557452675	0.2550638185702264	0.08332874299569967
CLDN4 vs RECIST (PR vs PD/SD)	6	10	16	37.0	0.49225774225774227	0.2333333333333334	0.44700374848375257	1.3191724153679347	0.8721686668841822
AT2 vs RECIST (PR vs PD/SD)	6	10	16	26.0	0.7127872127872128	-0.1333333333333333	-0.08044155220118633	0.05097321023263908	0.1314147624338254
barrier/keratin vs RECIST (PR vs PD/SD)	6	10	16	28.0	0.8748751248751249	-0.06666666666666665	0.018558026001624706	1.0815422679723492	1.0629842419707245
malignant-only DPT vs RECIST	6	10	16	44.0	0.14710289710289712	0.46666666666666656	0.17603827063327313	0.25790465249768546	0.08186638186441234
ADC+SQ DPT vs RECIST	4	8	12	21.0	0.46060606060606063	0.3125	0.03724731540323255	0.12057605839893222	0.08332874299569967
drop-SCLC DPT vs RECIST	4	9	13	23.0	0.5034965034965035	0.2777777777777777	0.03762963415309788	0.12057605839893222	0.08294642424583434
malignant-only CLDN4 vs RECIST	6	10	16	36.0	0.5621878121878122	0.19999999999999996	0.4125997762517817	1.3538673163364985	0.9412675400847168
ADC+SQ CLDN4 vs RECIST	4	8	12	19.0	0.6828282828282828	0.1875	0.24790893493806654	1.1060043635032195	0.858095428565153
