contrast	n	rho	p
RECIST-evaluable only CLDN4 vs DPT	16	0.15294117647058825	0.5717446192454617
malignant-only CLDN4 vs DPT	22	0.07622811970638058	0.7359946162262682
ADC+SQ CLDN4 vs DPT	17	-0.09313725490196079	0.7221860910253712
drop-SCLC CLDN4 vs DPT	18	-0.06914344685242517	0.785147870866694
