contrast	n	rho	p	q
CLDN4 vs DPT	22	0.09768492377188029	0.6653964075322029	0.7485709584737282
CLDN4 vs AT2 score	22	0.1326933935629588	0.5560825858858706	0.714963324710405
CLDN4 vs club score	22	0.2523997741389046	0.25712024747259327	0.4700375561560908
CLDN4 vs basal score	22	0.0220214568040655	0.9225104517760873	0.9225104517760871
CLDN4 vs barrier/keratin (no CLDN4)	22	0.233201581027668	0.2962759077686691	0.4700375561560908
CLDN4 vs malignant-like score	22	0.48164878599661215	0.023225680643664367	0.10451556289648965
CLDN4 vs TACSTD2 (comparator)	22	0.2885375494071147	0.19282461005168622	0.4700375561560908
SFTPC vs DPT (control)	22	-0.2253209354249709	0.3133583707707272	0.4700375561560908
AT2 score vs DPT (control)	22	-0.52343308865048	0.012420502546177659	0.10451556289648965
