Supplemental Table 1: Flow cytometric Abs and Reagents 							
Species	Target	Flurochrome	Clone	source	Cat. #	RRID			Reagent	source	Cat. #
anti-human	CD45	BUV395	HI30	BD Bioscience	563792	RRID:AB_2869519			Zombie Green	Biolegend	423111
anti-human	PVR	BUV737	SKII.4	BD Bioscience	748586	RRID:AB_2872993			Live/Dead Blue	ThermoFisher	L23105
anti-human	CD4	Fitc	RPA-T4	Biolegend	300505	RRID:AB_314073			Rec Hu IL6	R&D systems	206-IL
anti-human	CD5	Fitc	UCHT2	Biolegend	300605	RRID:AB_314091			Rec Hu SCF	R&D systems	255-SC		 
anti-human	CD3	PE	HIT3a	Biolegend	300307	RRID:AB_314043			Rec Hu FLT3L	R&D systems	308-FK
anti-human	CD11b	PE	ICRF44	Biolegend	301305	RRID:AB_314157	 	 	FCS 	Gibco	
anti-human	CD14	PE	63D3	Biolegend	367103	RRID:AB_2565887			FCS CD34+ media	Stemcell	 
anti-human	CD33	PE	P67.6	Biolegend	366607	RRID:AB_2566106			HBSS	Gibco	
anti-human	CD247/TCRz	PE	6B10.2	Biolegend	644105	RRID:AB_2565720			IMDM	Gibco	
anti-human	PD-1	PE	EH12.2H7	Biolegend	329905	RRID:AB_940481	 		Golgi Plug	BD Bioscience	
anti-human	HLA-ABC	PERCP	W6/32	Biolegend	311421	RRID:AB_1501265			Cell Stim Cocktail	Invitrogen	
anti-human	CD3	PeCy7	HIT3a	Biolegend	300316	RRID:AB_314052			Saponin	Sigma	
anti-human	CD45	PeCy7	HI30	Biolegend	304015	RRID:AB_314403			BSA (Bovine serum Albumin)	Sigma	
anti-human	IFNg	PeCy7	4S.B3	Biolegend	502527	RRID:AB_1626154		 	Formaldehyde	Fisher	
anti-human	FoxP3	PacB	259D	Biolegend	320215	RRID:AB_940354	
anti-human	CD11c	BV421	s-hcl-3	Biolegend	371511	RRID:AB_2650794	
anti-human	PD-L1	BV421	29E.2A3	Biolegend	329713	RRID:AB_10901164	
anti-human	CD45	BV421	HI30	Biolegend	304031	RRID:AB_10900423	
anti-human	HLA-DR	BV480	L243	BD Bioscience	752499	RRID:AB_2917492	
anti-human/mouse	Granzyme B	BV510	GB11	Biolegend	396431	RRID:AB_3106139	
anti-human	CD56	BV605	5.1H11	Biolegend	362537	RRID:AB_2565855	
anti-human	TIM-3	BV650	F38-2E2	Biolegend	345027	RRID:AB_2565828	
anti-human	CD8	BV711	RPA-T8	Biolegend	301043	RRID:AB_11218793	
anti-human	CD4	BV785	RPA-T4	Biolegend	300553	RRID:AB_2564381	
anti-human	CD19	APC	HIB19	Biolegend	302211	RRID:AB_314241	
anti-human	FoxP3	AF647	259D	Biolegend	320113	RRID:AB_439753	
anti-human	PD-1	APC	EH12.2H7	Biolegend	329907	RRID:AB_940473	
anti-human	TNFa	APC	MAb11	Biolegend	502913	RRID:AB_315265	
anti-human	CD25	SparkNIR685	M-A251	Biolegend	356151	RRID:AB_2888804	
anti-human	EpCAM	AF700	9C4	Biolegend	324243	RRID:AB_2750488	
anti-human	CD8	APCFire	RPA-T8	Biolegend	301065	RRID:AB_2629694	
anti-mouse	mCD45	APCCY7	30-F11	Biolegend	103115	RRID:AB_312980	
human	FCR Block			Miltenyi	130-059-901	RRID:AB_2892112	
anti-mouse	CD32		2.4G2	Biolegend	101301	RRID:AB_312800
