Gene 1 (level of expression)	Gene 2 (level of expression)	Log2 Odds Ratio	p-Value	q-Value	Tendency
IRF7 (high)	CLDN4(high)	1.991	0.004	0.007	Co-ocurrence
CLDN4 (high)	CLDN4 (low)	<-3	0.010	0.016	Mutual exclusivity
BST2 (high)	CLDN4(low)	<-3	0.029	0.042	Mutual exclusivity
OAS1 (high)	CLDN4 (high)	1.194	0.035	0.049	Co-occurrence
IFI44(high)	CLDN4(low)	1.571	0.036	0.050	Co-ocurrence
