probe,gene,is_target,mean_log2,median_log2,percentile_rank
212587_s_at,PTPRC,False,11.9693,11.9822,99.28
207238_s_at,PTPRC,False,11.3093,11.3807,98.73
214617_at,PRF1,False,10.4362,10.4333,97.59
213915_at,NKG7,False,10.1177,10.0921,96.98
210164_at,GZMB,False,9.1924,9.2059,94.2
213539_at,CD3D,False,8.8154,8.822,92.73
209604_s_at,GATA3,False,8.6176,8.7331,91.71
205758_at,CD8A,False,8.2904,8.3055,89.84
1569421_at,CLDN4,True,6.1593,6.1503,70.72
207634_at,PDCD1,False,5.8972,5.8845,67.31
209602_s_at,GATA3,False,4.89,4.8971,52.7
209603_at,GATA3,False,4.8497,4.8301,52.09
202286_s_at,TACSTD2,True,4.2474,3.7895,41.97
202285_s_at,TACSTD2,True,3.8464,3.8327,34.76
201428_at,CLDN4,True,3.4169,3.3984,26.37
202287_s_at,TACSTD2,True,3.1379,3.1221,20.13
201839_s_at,EPCAM,False,3.0509,2.9262,18.12
