gene,class,n_cells,n_detected,pct_cells_detected,mean_raw_count,mean_cp10k
PTPRC,immune,222144,217196,97.7726,11.79782,22.4622
CD3D,immune,222144,102728,46.2439,1.76924,4.989
NKG7,immune,222144,81674,36.7662,6.67295,18.5976
PRF1,effector,222144,64189,28.8952,0.99338,2.7264
GZMB,effector,222144,60513,27.2404,1.55511,4.2997
CD14,immune,222144,58019,26.1177,2.16405,2.63
CD8A,immune,222144,34946,15.7312,0.36823,1.0015
CXCL8,effector,222144,28312,12.7449,1.14628,1.4062
IL1B,effector,222144,27960,12.5864,0.71795,0.8436
MS4A1,immune,222144,10981,4.9432,0.2094,0.5555
KRT18,epithelial,222144,2031,0.9143,0.00962,0.0263
KRT8,epithelial,222144,843,0.3795,0.00411,0.0083
CLDN4,target,222144,404,0.1819,0.00192,0.0039
EPCAM,epithelial,222144,180,0.081,0.00085,0.0015
TACSTD2,target,222144,179,0.0806,0.00094,0.0012
