gene,contrast,test,baseline_mean,other_mean,n_baseline,n_other,stat,p_value
CD3D,baseline_vs_control,MannWhitneyU,8.5909,9.5804,76,21,200.0,1.662560017087598e-07
CD3D,baseline_vs_followup_paired,WilcoxonSignedRank,8.5909,8.8286,76,76,959.0,0.009070493413672713
CD8A,baseline_vs_control,MannWhitneyU,7.986,9.2815,76,21,122.0,3.2827617230175906e-09
CD8A,baseline_vs_followup_paired,WilcoxonSignedRank,7.986,8.3209,76,76,579.0,4.721881709657721e-06
CLDN4,baseline_vs_control,MannWhitneyU,4.7676,4.6626,76,21,1160.0,0.0015432421756156902
CLDN4,baseline_vs_followup_paired,WilcoxonSignedRank,4.7676,4.8433,76,76,922.0,0.0050952763635447335
EPCAM,baseline_vs_control,MannWhitneyU,3.1921,2.8154,76,21,1275.0,2.996567022728995e-05
EPCAM,baseline_vs_followup_paired,WilcoxonSignedRank,3.1921,2.9749,76,76,713.0,0.00010316942156673503
GATA3,baseline_vs_control,MannWhitneyU,5.9235,6.9713,76,21,64.0,1.320218606521856e-10
GATA3,baseline_vs_followup_paired,WilcoxonSignedRank,5.9235,6.0792,76,76,969.0,0.010539355086564412
GZMB,baseline_vs_control,MannWhitneyU,8.9509,9.9093,76,21,278.0,5.355171246103221e-06
GZMB,baseline_vs_followup_paired,WilcoxonSignedRank,8.9509,9.2359,76,76,717.0,0.00011232218080242883
NKG7,baseline_vs_control,MannWhitneyU,9.8839,10.7583,76,21,213.0,3.05972888222029e-07
NKG7,baseline_vs_followup_paired,WilcoxonSignedRank,9.8839,10.1744,76,76,771.0,0.00034002457643391706
PDCD1,baseline_vs_control,MannWhitneyU,5.894,5.8738,76,21,820.0,0.8506247353472075
PDCD1,baseline_vs_followup_paired,WilcoxonSignedRank,5.894,5.9068,76,76,1415.0,0.8037375696312485
PRF1,baseline_vs_control,MannWhitneyU,10.1014,11.5101,76,21,89.0,5.440342352287587e-10
PRF1,baseline_vs_followup_paired,WilcoxonSignedRank,10.1014,10.4742,76,76,720.0,0.00011968375463747638
PTPRC,baseline_vs_control,MannWhitneyU,11.6667,11.9864,76,21,329.0,4.066755174567373e-05
PTPRC,baseline_vs_followup_paired,WilcoxonSignedRank,11.6667,11.5159,76,76,1000.0,0.016524769295858326
TACSTD2,baseline_vs_control,MannWhitneyU,3.7679,3.5391,76,21,1040.0,0.03440176985943527
TACSTD2,baseline_vs_followup_paired,WilcoxonSignedRank,3.7679,3.7765,76,76,1341.0,0.5276240889556372
