gene,contrast,metric,group_a_mean,group_b_mean,n_a,n_b,U,p_value
TACSTD2,CR_vs_PD,detrate,0.000685,0.000259,7,13,46.5,0.9610399550819744
TACSTD2,CR_vs_PD,cp10k,0.00096,0.00044,7,13,44.5,0.9610399550819744
TACSTD2,responder(CR+DR)_vs_PD,detrate,0.000711,0.000259,15,13,98.5,0.9769595889587477
TACSTD2,responder(CR+DR)_vs_PD,cp10k,0.001014,0.00044,15,13,96.5,0.9769595889587477
CLDN4,CR_vs_PD,detrate,0.001554,0.001866,7,13,39.0,0.6426470588235295
CLDN4,CR_vs_PD,cp10k,0.003381,0.004035,7,13,37.0,0.5355521155830754
CLDN4,responder(CR+DR)_vs_PD,detrate,0.001843,0.001866,15,13,105.0,0.7471061995484956
CLDN4,responder(CR+DR)_vs_PD,cp10k,0.003863,0.004035,15,13,91.0,0.7822469515625688
EPCAM,CR_vs_PD,detrate,0.000681,0.000586,7,13,52.5,0.6051379195833028
EPCAM,CR_vs_PD,cp10k,0.001081,0.001017,7,13,50.5,0.7203873431310193
EPCAM,responder(CR+DR)_vs_PD,detrate,0.001217,0.000586,15,13,130.0,0.13936982033895517
EPCAM,responder(CR+DR)_vs_PD,cp10k,0.002248,0.001017,15,13,133.0,0.1059392477524771
KRT8,CR_vs_PD,detrate,0.003185,0.004485,7,13,35.0,0.437796697626419
KRT8,CR_vs_PD,cp10k,0.006879,0.009853,7,13,25.0,0.11462848297213622
KRT8,responder(CR+DR)_vs_PD,detrate,0.003503,0.004485,15,13,81.0,0.4610946780253201
KRT8,responder(CR+DR)_vs_PD,cp10k,0.006907,0.009853,15,13,55.0,0.05302166324036328
KRT18,CR_vs_PD,detrate,0.009738,0.009662,7,13,54.0,0.5355521155830754
KRT18,CR_vs_PD,cp10k,0.024787,0.028574,7,13,43.0,0.877296181630547
KRT18,responder(CR+DR)_vs_PD,detrate,0.006907,0.009662,15,13,73.0,0.2689134362198483
KRT18,responder(CR+DR)_vs_PD,cp10k,0.018688,0.028574,15,13,57.0,0.06538542362105745
PTPRC,CR_vs_PD,detrate,0.982997,0.96869,7,13,52.0,0.6426470588235295
PTPRC,CR_vs_PD,cp10k,21.599937,23.018851,7,13,26.0,0.13480392156862744
PTPRC,responder(CR+DR)_vs_PD,detrate,0.984599,0.96869,15,13,123.0,0.2494716685110525
PTPRC,responder(CR+DR)_vs_PD,cp10k,22.972077,23.018851,15,13,97.0,1.0
CD3D,CR_vs_PD,detrate,0.452738,0.452144,7,13,45.0,1.0
CD3D,CR_vs_PD,cp10k,4.964364,4.905073,7,13,46.0,1.0
CD3D,responder(CR+DR)_vs_PD,detrate,0.451537,0.452144,15,13,95.0,0.9265942066816732
CD3D,responder(CR+DR)_vs_PD,cp10k,4.839423,4.905073,15,13,95.0,0.9265942066816732
CD8A,CR_vs_PD,detrate,0.132847,0.154328,7,13,33.0,0.3506965944272446
CD8A,CR_vs_PD,cp10k,0.87694,0.975339,7,13,34.0,0.3928792569659443
CD8A,responder(CR+DR)_vs_PD,detrate,0.168684,0.154328,15,13,102.0,0.8538084126585609
CD8A,responder(CR+DR)_vs_PD,cp10k,1.101202,0.975339,15,13,106.0,0.7124834835577809
MS4A1,CR_vs_PD,detrate,0.046464,0.037851,7,13,54.0,0.5355521155830754
MS4A1,CR_vs_PD,cp10k,0.581825,0.386258,7,13,65.0,0.13480392156862744
MS4A1,responder(CR+DR)_vs_PD,detrate,0.044543,0.037851,15,13,116.0,0.40700471513028535
MS4A1,responder(CR+DR)_vs_PD,cp10k,0.518517,0.386258,15,13,122.0,0.2689134362198483
CD14,CR_vs_PD,detrate,0.284923,0.267548,7,13,48.0,0.877296181630547
CD14,CR_vs_PD,cp10k,3.121352,2.742852,7,13,53.0,0.5880288957688339
CD14,responder(CR+DR)_vs_PD,detrate,0.272967,0.267548,15,13,102.0,0.8538084126585609
CD14,responder(CR+DR)_vs_PD,cp10k,2.581997,2.742852,15,13,95.0,0.9265942066816732
NKG7,CR_vs_PD,detrate,0.324967,0.376669,7,13,34.0,0.3928792569659443
NKG7,CR_vs_PD,cp10k,19.263309,17.582486,7,13,54.0,0.5355521155830754
NKG7,responder(CR+DR)_vs_PD,detrate,0.401254,0.376669,15,13,106.0,0.7124834835577809
NKG7,responder(CR+DR)_vs_PD,cp10k,20.363253,17.582486,15,13,124.0,0.23103424088753644
GZMB,CR_vs_PD,detrate,0.259081,0.266022,7,13,45.0,1.0
GZMB,CR_vs_PD,cp10k,4.95886,4.015669,7,13,55.0,0.4854231166150671
GZMB,responder(CR+DR)_vs_PD,detrate,0.307765,0.266022,15,13,122.0,0.2689134362198483
GZMB,responder(CR+DR)_vs_PD,cp10k,4.810008,4.015669,15,13,124.0,0.23103424088753644
PRF1,CR_vs_PD,detrate,0.286914,0.281516,7,13,48.0,0.877296181630547
