gene,contrast,metric,severe_mean,non_mean,n_severe,n_non,U,p_value
TACSTD2,severe_irAE_vs_non,detrate,0.001485,0.000168,7,20,77.0,0.6212812087910571
TACSTD2,severe_irAE_vs_non,cp10k,0.002074,0.000286,7,20,76.0,0.6759252430376856
CLDN4,severe_irAE_vs_non,detrate,0.002059,0.00175,7,20,85.0,0.43125570082091824
CLDN4,severe_irAE_vs_non,cp10k,0.004365,0.003689,7,20,84.0,0.4640000900870466
EPCAM,severe_irAE_vs_non,detrate,0.001562,0.000658,7,20,86.5,0.3734548860226693
EPCAM,severe_irAE_vs_non,cp10k,0.002685,0.001184,7,20,82.5,0.5044429987805779
KRT8,severe_irAE_vs_non,detrate,0.004504,0.003504,7,20,67.0,0.8925621882143621
KRT8,severe_irAE_vs_non,cp10k,0.009118,0.007934,7,20,76.0,0.7662488879880184
KRT18,severe_irAE_vs_non,detrate,0.012142,0.006909,7,20,100.0,0.10364064277107757
KRT18,severe_irAE_vs_non,cp10k,0.036348,0.02084,7,20,98.0,0.13036496514757384
PTPRC,severe_irAE_vs_non,detrate,0.979792,0.974626,7,20,49.0,0.2634550634550634
PTPRC,severe_irAE_vs_non,cp10k,21.637216,23.267163,7,20,41.0,0.11642624686102948
CD3D,severe_irAE_vs_non,detrate,0.409392,0.471131,7,20,47.0,0.21872234046147088
CD3D,severe_irAE_vs_non,cp10k,4.599852,5.158147,7,20,53.0,0.36977129151042193
CD8A,severe_irAE_vs_non,detrate,0.13218,0.167438,7,20,51.0,0.31380020945238335
CD8A,severe_irAE_vs_non,cp10k,0.842105,1.076728,7,20,52.0,0.3410943323986802
MS4A1,severe_irAE_vs_non,detrate,0.063472,0.040434,7,20,89.0,0.31380020945238335
MS4A1,severe_irAE_vs_non,cp10k,0.778569,0.437466,7,20,95.0,0.17947591860635337
CD14,severe_irAE_vs_non,detrate,0.324314,0.260139,7,20,86.0,0.39984459984459986
CD14,severe_irAE_vs_non,cp10k,3.077497,2.560003,7,20,85.0,0.43125570082091824
NKG7,severe_irAE_vs_non,detrate,0.320116,0.38835,7,20,49.0,0.2634550634550634
NKG7,severe_irAE_vs_non,cp10k,17.255503,18.381413,7,20,61.0,0.6455862977602108
GZMB,severe_irAE_vs_non,detrate,0.229151,0.280361,7,20,51.0,0.31380020945238335
GZMB,severe_irAE_vs_non,cp10k,3.806271,4.211216,7,20,57.0,0.4980011936533676
PRF1,severe_irAE_vs_non,detrate,0.244519,0.287829,7,20,52.0,0.3410943323986802
PRF1,severe_irAE_vs_non,cp10k,2.378894,2.527715,7,20,61.0,0.6455862977602108
IL1B,severe_irAE_vs_non,detrate,0.17825,0.122693,7,20,97.0,0.1454815715685281
IL1B,severe_irAE_vs_non,cp10k,1.585283,0.707592,7,20,110.0,0.026330191547582853
CXCL8,severe_irAE_vs_non,detrate,0.210456,0.10661,7,20,110.0,0.026330191547582853
CXCL8,severe_irAE_vs_non,cp10k,2.841707,0.949465,7,20,110.0,0.026330191547582853
