kind	relation	score	x	y	cohort	n	rho	p	ci95_lo	ci95_hi	I2	k	tau2	p_hk_t	Q	member_rhos	member_ns
cohort	tacstd2_vs_junction	junction_hallmark	tacstd2	junction_hallmark	GSE123902	13	0.4835164835164835	0.09413469259693935	-0.09198209697178647	0.8168809435336507		1					
cohort	tacstd2_vs_junction	junction_hallmark	tacstd2	junction_hallmark	GSE131907	21	0.2662337662337662	0.2433987795806379	-0.18694587848534996	0.6259823968959387		1					
cohort	tacstd2_vs_junction	junction_hallmark	tacstd2	junction_hallmark	GSE205335	21	0.6142857142857143	0.0030502365456209725	0.24848648516400443	0.8267414137202602		1					
cohort	tacstd2_vs_junction	junction_hallmark	tacstd2	junction_hallmark	GSE189357	9	0.11666666666666665	0.765007942926146	-0.5934444156387991	0.7246494324765159		1					
pooled_dl_fisher_z	tacstd2_vs_junction	junction_hallmark	tacstd2	junction_hallmark	GSE123902+GSE131907+GSE205335+GSE189357	64	0.42778214122318936	0.0009780569798335077	0.1832811512024539	0.622442143700165	0.0	4	0.0	0.03755728209771504	2.5586333817855866	GSE123902:0.483516,GSE131907:0.266234,GSE205335:0.614286,GSE189357:0.116667	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	tacstd2_vs_tnk	junction_hallmark	tacstd2	frac_tnk	GSE123902	13	0.03296703296703297	0.9148564744875124	-0.5276100321289807	0.5735420967845823		1					
cohort	tacstd2_vs_tnk	junction_hallmark	tacstd2	frac_tnk	GSE131907	21	0.2571428571428571	0.2604731897004084	-0.19634667436767622	0.6200110133130997		1					
cohort	tacstd2_vs_tnk	junction_hallmark	tacstd2	frac_tnk	GSE205335	21	0.20519480519480518	0.37223736385432643	-0.2485124364093878	0.585062861667862		1					
cohort	tacstd2_vs_tnk	junction_hallmark	tacstd2	frac_tnk	GSE189357	9	-0.11666666666666665	0.765007942926146	-0.7246494324765159	0.5934444156387991		1					
pooled_dl_fisher_z	tacstd2_vs_tnk	junction_hallmark	tacstd2	frac_tnk	GSE123902+GSE131907+GSE205335+GSE189357	64	0.1546739089658554	0.26084590482107894	-0.11536181522802956	0.4034212309399959	0.0	4	0.0	0.12573232152229175	0.8543860423034422	GSE123902:0.032967,GSE131907:0.257143,GSE205335:0.205195,GSE189357:-0.116667	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	junction_vs_tnk	junction_hallmark	junction_hallmark	frac_tnk	GSE123902	13	-0.06593406593406594	0.830542385756094	-0.5953004943409956	0.5033453122855384		1					
cohort	junction_vs_tnk	junction_hallmark	junction_hallmark	frac_tnk	GSE131907	21	-0.16623376623376623	0.471422022315551	-0.5578919714500924	0.2859826245848547		1					
cohort	junction_vs_tnk	junction_hallmark	junction_hallmark	frac_tnk	GSE205335	21	0.43766233766233764	0.047233545714129424	0.007359039129503538	0.7312050223186086		1					
cohort	junction_vs_tnk	junction_hallmark	junction_hallmark	frac_tnk	GSE189357	9	0.41666666666666663	0.26458604674749636	-0.3421407118038478	0.8465410688266577		1					
pooled_dl_fisher_z	junction_vs_tnk	junction_hallmark	junction_hallmark	frac_tnk	GSE123902+GSE131907+GSE205335+GSE189357	64	0.1461152533333327	0.4072911869269302	-0.1982592127616364	0.4583789680742307	35.27268529347884	4	0.0442766039822508	0.45153732003885716	4.63482845472926	GSE123902:-0.065934,GSE131907:-0.166234,GSE205335:0.437662,GSE189357:0.416667	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	tacstd2_vs_junction	junction_hallmark_no_cldn4	tacstd2	junction_hallmark_no_cldn4	GSE123902	13	0.4835164835164835	0.09413469259693935	-0.09198209697178647	0.8168809435336507		1					
cohort	tacstd2_vs_junction	junction_hallmark_no_cldn4	tacstd2	junction_hallmark_no_cldn4	GSE131907	21	0.23766233766233766	0.2995610974844405	-0.21621436554645265	0.607072052044661		1					
cohort	tacstd2_vs_junction	junction_hallmark_no_cldn4	tacstd2	junction_hallmark_no_cldn4	GSE205335	21	0.6142857142857143	0.0030502365456209725	0.24848648516400443	0.8267414137202602		1					
cohort	tacstd2_vs_junction	junction_hallmark_no_cldn4	tacstd2	junction_hallmark_no_cldn4	GSE189357	9	0.09999999999999999	0.797971695234851	-0.6042606866325236	0.7165422133918596		1					
pooled_dl_fisher_z	tacstd2_vs_junction	junction_hallmark_no_cldn4	tacstd2	junction_hallmark_no_cldn4	GSE123902+GSE131907+GSE205335+GSE189357	64	0.41750913331559825	0.0013432682977280465	0.17116675803590328	0.6147208280403315	0.0	4	0.0	0.045888175692639775	2.84028003977984	GSE123902:0.483516,GSE131907:0.237662,GSE205335:0.614286,GSE189357:0.100000	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	junction_vs_tnk	junction_hallmark_no_cldn4	junction_hallmark_no_cldn4	frac_tnk	GSE123902	13	-0.06593406593406594	0.830542385756094	-0.5953004943409956	0.5033453122855384		1					
cohort	junction_vs_tnk	junction_hallmark_no_cldn4	junction_hallmark_no_cldn4	frac_tnk	GSE131907	21	-0.16493506493506493	0.47494156501178986	-0.556971580497053	0.2872082591873843		1					
cohort	junction_vs_tnk	junction_hallmark_no_cldn4	junction_hallmark_no_cldn4	frac_tnk	GSE205335	21	0.43766233766233764	0.047233545714129424	0.007359039129503538	0.7312050223186086		1					
cohort	junction_vs_tnk	junction_hallmark_no_cldn4	junction_hallmark_no_cldn4	frac_tnk	GSE189357	9	0.5499999999999999	0.12497678418833194	-0.17980903458557704	0.8892956179437265		1					
pooled_dl_fisher_z	junction_vs_tnk	junction_hallmark_no_cldn4	junction_hallmark_no_cldn4	frac_tnk	GSE123902+GSE131907+GSE205335+GSE189357	64	0.17552119224642962	0.3575849505810612	-0.19785668523838779	0.5044195685775513	44.56405573984668	4	0.06531555612853791	0.4170278368033956	5.411651303207553	GSE123902:-0.065934,GSE131907:-0.164935,GSE205335:0.437662,GSE189357:0.550000	GSE123902:13,GSE131907:21,GSE205335:21,GSE189357:9
cohort	tacstd2_vs_junction	junction_kegg	tacstd2	junction_kegg	GSE123902	13	0.5824175824175823	0.0367413343586543	0.04627407728913394	0.8580542246776016		1					
cohort	tacstd2_vs_junction	junction_kegg	tacstd2	junction_kegg	GSE131907	21	0.42337662337662335	0.05582289840720049	-0.010177126453937415	0.7229393894869014		1					
