rank	setting	geneset	ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset
1	high_barrier_to_all_TNK	a_priori_cytotoxicity	HLA-DRA	0.2996943521546148	1.0375755851939215e-06	0.3931523022432113	0.2318262679633766	256	14
2	high_barrier_to_all_TNK	a_priori_cytotoxicity	TYROBP	0.2955053664142658	1.487851438349027e-06	0.4988193624557261	0.2384777340043533	256	14
3	high_barrier_to_all_TNK	a_priori_cytotoxicity	CCL4	0.2803820910793145	5.216858551736645e-06	0.4223730814639905	0.2397499191319351	256	14
4	high_barrier_to_all_TNK	a_priori_cytotoxicity	HLA-DQB1	0.2607514888611075	2.390217524053601e-05	0.404073199527745	0.246181265268958	256	14
5	high_barrier_to_all_TNK	a_priori_cytotoxicity	CD47	0.2181165331876174	0.0004394165348098	0.3509445100354191	0.1628122653977243	256	14
6	high_barrier_to_all_TNK	a_priori_cytotoxicity	CD58	0.2138634521209506	0.0005710319852033	0.345926800472255	0.1507360464923357	256	14
7	high_barrier_to_all_TNK	a_priori_cytotoxicity	CD274	0.2116402733210885	0.0006535393277504	0.6490554899645808	0.3476885844607082	256	14
8	high_barrier_to_all_TNK	a_priori_cytotoxicity	HLA-A	0.201397669614302	0.001195908179779	0.4743211334120425	0.2417620798334203	256	14
9	high_barrier_to_all_TNK	a_priori_cytotoxicity	TNC	0.1941177087872229	0.0018059403753179	0.3438606847697756	0.1350711263404552	256	14
10	high_barrier_to_all_TNK	a_priori_cytotoxicity	ULBP2	0.1757637568178544	0.0047956742043546	0.4309327036599764	0.2310321786459161	256	14
11	high_barrier_to_all_TNK	a_priori_cytotoxicity	HLA-DRB1	0.1749914996606368	0.004987192398059	0.4014167650531287	0.1655329362293953	256	14
12	high_barrier_to_all_TNK	a_priori_cytotoxicity	ITGB2	0.1713659112355915	0.0059814011204876	0.3577331759149941	0.1672574398020631	256	14
13	high_barrier_to_all_TNK	a_priori_cytotoxicity	SPP1	0.1693418960634853	0.0066105277655713	0.3403187721369539	0.1511618173851193	256	14
14	high_barrier_to_all_TNK	a_priori_cytotoxicity	CX3CL1	0.1690458578385296	0.0067073430027685	0.4008264462809918	0.1084494862491501	256	14
15	high_barrier_to_all_TNK	a_priori_cytotoxicity	S100A8	0.1666590134949849	0.0075353776711163	0.3544864226682408	0.1487272142400196	256	14
1	high_barrier_to_all_TNK	a_priori_exhaustion	CD274	0.1286640677342961	0.0396758007833795	0.5799881936245572	0.1014873672589568	256	14
2	high_barrier_to_all_TNK	a_priori_exhaustion	ALCAM	0.0532896283534488	0.3958451795226466	0.4634002361275088	0.1304235295364785	256	14
3	high_barrier_to_all_TNK	a_priori_exhaustion	TNFSF9	0.0513590966771239	0.4132063107177441	0.4811097992916174	0.0722832116241777	256	14
4	high_barrier_to_all_TNK	a_priori_exhaustion	COL6A1	0.0346188775894992	0.5813892113868646	0.3754427390791026	0.0771048256828839	256	14
5	high_barrier_to_all_TNK	a_priori_exhaustion	PDGFA	0.0252841791455247	0.6872193566863793	0.4135182998819362	0.0651009426776591	256	14
6	high_barrier_to_all_TNK	a_priori_exhaustion	CALR	0.0234723767100506	0.7085742354378405	0.3825265643447461	0.0536207170418037	256	14
7	high_barrier_to_all_TNK	a_priori_exhaustion	HLA-DRB1	0.015257906663496	0.808047276714077	0.3896103896103896	0.0660592554124586	256	14
8	high_barrier_to_all_TNK	a_priori_exhaustion	CD40	0.0148202959504242	0.8134503227127688	0.4589728453364817	0.0563984141282363	256	14
9	high_barrier_to_all_TNK	a_priori_exhaustion	CX3CL1	0.0093549295263527	0.8815933786578898	0.3704250295159386	0.0480214817482912	256	14
10	high_barrier_to_all_TNK	a_priori_exhaustion	ADAM17	0.0038774705584873	0.9507729509174674	0.4123376623376623	0.0570316463020269	256	14
11	high_barrier_to_all_TNK	a_priori_exhaustion	HMGB1	0.003622425957341	0.9540072174373788	0.3993506493506493	0.0575114319500568	256	14
12	high_barrier_to_all_TNK	a_priori_exhaustion	TGM2	-0.0022869374579487	0.970953864220466	0.4031877213695395	0.0516452968771125	256	14
13	high_barrier_to_all_TNK	a_priori_exhaustion	TGFA	-0.0029696568144561	0.962288405688408	0.3503541912632821	0.0486230424727517	256	14
14	high_barrier_to_all_TNK	a_priori_exhaustion	ANGPTL4	-0.004828760021401	0.9387170105484226	0.3639315230224321	0.0491004338702826	256	14
15	high_barrier_to_all_TNK	a_priori_exhaustion	PRNP	-0.0119567948443478	0.8490119225715924	0.365702479338843	0.0642080302965855	256	14
