setting	geneset	ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset	rank
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	CXCL10	0.3223074642458755	1.3416019135932483e-07	0.42768595041322316	0.193459614498915	256	14	1
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-DRA	0.2996943521546148	1.0375755851939217e-06	0.39315230224321135	0.23182626796337666	256	14	2
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	TYROBP	0.29550536641426584	1.487851438349027e-06	0.4988193624557261	0.23847773400435338	256	14	3
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	IL15	0.28540143042909144	3.4679037881059575e-06	0.7744982290436837	0.2332282699590955	256	14	4
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	CCL4	0.28038209107931455	5.216858551736645e-06	0.42237308146399055	0.2397499191319351	256	14	5
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-DQB1	0.26075148886110755	2.3902175240536006e-05	0.404073199527745	0.246181265268958	256	14	6
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	TNFSF15	0.25911744304534257	2.698750941701312e-05	0.4282762691853601	0.19957899784180466	256	14	7
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	SIRPA	0.22363770278157877	0.0003103828357932159	0.4025974025974026	0.18748669421054434	256	14	8
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD47	0.21811653318761742	0.00043941653480987394	0.35094451003541915	0.16281226539772437	256	14	9
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD58	0.21386345212095062	0.0005710319852033086	0.345926800472255	0.1507360464923357	256	14	10
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD274	0.21164027332108856	0.0006535393277504668	0.6490554899645808	0.34768858446070827	256	14	11
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-A	0.20139766961430206	0.001195908179779031	0.4743211334120425	0.2417620798334203	256	14	12
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	SELPLG	0.19958007820037302	0.001327306071871055	0.3264462809917355	0.14396950241758458	256	14	13
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	TNC	0.1941177087872229	0.0018059403753179098	0.3438606847697756	0.1350711263404552	256	14	14
high_barrier_MPR_to_MPR_TNK	a_priori_cytotoxicity	ULBP2	0.17576375681785444	0.004795674204354638	0.4309327036599764	0.23103217864591613	256	14	15
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	CD274	0.12866406773429612	0.03967580078337954	0.5799881936245572	0.1014873672589568	256	14	1
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	ALCAM	0.05328962835344884	0.3958451795226466	0.46340023612750886	0.13042352953647857	256	14	2
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	TNFSF9	0.05135909667712393	0.4132063107177441	0.48110979929161746	0.07228321162417778	256	14	3
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	COL6A1	0.034618877589499296	0.5813892113868646	0.37544273907910264	0.07710482568288396	256	14	4
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	PDGFA	0.025284179145524784	0.6872193566863793	0.4135182998819362	0.06510094267765912	256	14	5
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	CALR	0.02347237671005066	0.7085742354378405	0.38252656434474613	0.053620717041803725	256	14	6
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	HLA-DRB1	0.015257906663496055	0.808047276714077	0.38961038961038963	0.06605925541245869	256	14	7
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	CD40	0.014820295950424205	0.8134503227127688	0.4589728453364817	0.0563984141282363	256	14	8
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	CX3CL1	0.009354929526352779	0.8815933786578898	0.37042502951593864	0.04802148174829128	256	14	9
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	ADAM17	0.0038774705584873337	0.9507729509174674	0.41233766233766234	0.05703164630202691	256	14	10
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	HMGB1	0.0036224259573410106	0.9540072174373787	0.39935064935064934	0.05751143195005688	256	14	11
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	ITGAL	0.001770493208233609	0.9775111857848846	0.3677685950413223	0.049675385137702435	256	14	12
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	TGM2	-0.0022869374579487893	0.9709538642204661	0.4031877213695395	0.05164529687711255	256	14	13
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	TGFA	-0.002969656814456184	0.962288405688408	0.35035419126328216	0.04862304247275173	256	14	14
high_barrier_MPR_to_MPR_TNK	a_priori_exhaustion	ANGPTL4	-0.00482876002140107	0.9387170105484226	0.3639315230224321	0.049100433870282637	256	14	15
