ligand	pearson_NMPR	pearson_MPR
CD274	0.12866406773429612	0.12866406773429612
ALCAM	0.05328962835344884	0.05328962835344884
TNFSF9	0.05135909667712393	0.05135909667712393
COL6A1	0.034618877589499296	0.034618877589499296
PDGFA	0.025284179145524784	0.025284179145524784
CALR	0.02347237671005066	0.02347237671005066
HLA-DRB1	0.015257906663496055	0.015257906663496055
CX3CL1	0.009354929526352779	0.009354929526352779
ADAM17	0.0038774705584873337	0.0038774705584873337
HMGB1	0.0036224259573410106	0.0036224259573410106
TGM2	-0.0022869374579487893	-0.0022869374579487893
TGFA	-0.002969656814456184	-0.002969656814456184
ANGPTL4	-0.00482876002140107	-0.00482876002140107
PRNP	-0.01195679484434782	-0.01195679484434782
TGFB1	-0.020184944090056355	-0.020184944090056355
CXCL16	-0.04310148734743359	-0.04310148734743359
CD58	-0.04424649020195714	-0.04424649020195714
CD99	-0.045111457901453246	-0.045111457901453246
IFITM1	-0.04654011284626206	-0.04654011284626206
CCL18	-0.04961707869958954	-0.04961707869958954
TYROBP	-0.04976718841288416	-0.04976718841288416
LTF	-0.05337023643357154	-0.05337023643357154
CCL4	-0.05347128797133997	-0.05347128797133997
CD9	-0.0545795777694999	-0.0545795777694999
TNC	-0.057361211629337994	-0.057361211629337994
CCL5	-0.05780403720042525	-0.05780403720042525
HLA-DQB1	-0.06059662197048316	-0.06059662197048316
HBEGF	-0.06136719706183623	-0.06136719706183623
CD47	-0.06276573086326744	-0.06276573086326744
TIMP1	-0.06596738173822811	-0.06596738173822811
ICAM1	-0.06757057981785024	-0.06757057981785024
HLA-E	-0.06822518190244992	-0.06822518190244992
B2M	-0.0715915380869378	-0.0715915380869378
HLA-DRA	-0.07291568659757594	-0.07291568659757594
PSEN1	-0.07363374086255997	-0.07363374086255997
ITGB2	-0.07557797210263109	-0.07557797210263109
APP	-0.07670590245190093	-0.07670590245190093
ADAM9	-0.0783134125541689	-0.0783134125541689
FURIN	-0.07973328344981417	-0.07973328344981417
CEACAM1	-0.0799294393512697	-0.0799294393512697
OCLN	-0.08007664470808232	-0.08007664470808232
MICA	-0.08043071936179831	-0.08043071936179831
NAMPT	-0.08080422814502485	-0.08080422814502485
S100A8	-0.08080597467417289	-0.08080597467417289
THBS1	-0.08089795899624083	-0.08089795899624083
LGALS9	-0.08112388221495358	-0.08112388221495358
CD59	-0.08161696028815346	-0.08161696028815346
S100A4	-0.08230134251765188	-0.08230134251765188
NPNT	-0.08392860051786594	-0.08392860051786594
TIMP3	-0.08396733442295957	-0.08396733442295957
HLA-A	-0.0842265474590583	-0.0842265474590583
BACE1	-0.0847875638911632	-0.0847875638911632
HLA-DMA	-0.08516612620196481	-0.08516612620196481
JAG1	-0.08542546026849746	-0.08542546026849746
WNT7B	-0.08631266023106401	-0.08631266023106401
LYZ	-0.0867032430740895	-0.0867032430740895
TGFBI	-0.08744448639381355	-0.08744448639381355
