ligand	vs	n	rho	p
ADAM10	tnk_cyto	12	-0.16083916083916086	0.6175234895401425
ADAM10	tnk_exh	12	-0.3636363636363637	0.24526500073077723
ADAM10	tnk_exh_minus_cyto	12	-0.16083916083916086	0.6175234895401425
ADAM15	tnk_cyto	12	-0.16083916083916086	0.6175234895401425
ADAM15	tnk_exh	12	-0.1328671328671329	0.6805975082860817
ADAM15	tnk_exh_minus_cyto	12	0.2377622377622378	0.45680085263992326
ADAM17	tnk_cyto	12	0.2447552447552448	0.44326193645018325
ADAM17	tnk_exh	12	0.5874125874125874	0.04460929646336318
ADAM17	tnk_exh_minus_cyto	12	0.15384615384615385	0.6330906812462617
ADAM28	tnk_cyto	12	-0.2027972027972028	0.5273023541661079
ADAM28	tnk_exh	12	-0.5944055944055945	0.04152149441031857
ADAM28	tnk_exh_minus_cyto	12	-0.06993006993006995	0.8290236405313092
ADAM9	tnk_cyto	12	0.3426573426573427	0.2755674509567803
ADAM9	tnk_exh	12	0.1958041958041958	0.5419358857313173
ADAM9	tnk_exh_minus_cyto	12	-0.1328671328671329	0.6805975082860817
ADGRE5	tnk_cyto	12	-0.34965034965034975	0.26523878689278996
ADGRE5	tnk_exh	12	-0.3846153846153847	0.21702022575997731
ADGRE5	tnk_exh_minus_cyto	12	0.027972027972027972	0.9312343512018807
AGRN	tnk_cyto	12	-0.2377622377622378	0.45680085263992326
AGRN	tnk_exh	12	-0.5944055944055945	0.04152149441031857
AGRN	tnk_exh_minus_cyto	12	-0.1398601398601399	0.6646331617926677
ALCAM	tnk_cyto	12	0.10489510489510491	0.7456094809807079
ALCAM	tnk_exh	12	-0.5034965034965035	0.09515736659412467
ALCAM	tnk_exh_minus_cyto	12	-0.35664335664335667	0.2551377517589572
ANGPTL4	tnk_cyto	12	0.4057581892186145	0.19063953591847185
ANGPTL4	tnk_exh	12	0.6549079545282902	0.02081576687709443
ANGPTL4	tnk_exh_minus_cyto	12	0.02847425889253435	0.9300023256880593
APOE	tnk_cyto	12	0.11188811188811189	0.729194990751066
APOE	tnk_exh	12	0.16783216783216784	0.6020994277865379
APOE	tnk_exh_minus_cyto	12	-0.34965034965034975	0.26523878689278996
APP	tnk_cyto	12	0.2447552447552448	0.44326193645018325
APP	tnk_exh	12	-0.027972027972027972	0.9312343512018807
APP	tnk_exh_minus_cyto	12	-0.49650349650349657	0.10060263183225476
B2M	tnk_cyto	12	-0.08391608391608392	0.7954145018538978
B2M	tnk_exh	12	0.3356643356643357	0.28612290291498743
B2M	tnk_exh_minus_cyto	12	0.23076923076923078	0.470531995381542
BACE1	tnk_cyto	12	-0.21678321678321683	0.49855598552418845
BACE1	tnk_exh	12	-0.2937062937062937	0.3541476412329215
BACE1	tnk_exh_minus_cyto	12	0.013986013986013986	0.9655902689187796
BTNL9	tnk_cyto	12	0.5001323202730855	0.09775161863452073
BTNL9	tnk_exh	12	0.7315368266680953	0.0068517278909818
BTNL9	tnk_exh_minus_cyto	12	-0.026126315238146257	0.9357632510466771
C3	tnk_cyto	12	-0.4125874125874127	0.18256397857316675
C3	tnk_exh	12	-0.5104895104895105	0.08991373630263919
C3	tnk_exh_minus_cyto	12	0.0	1.0
CALR	tnk_cyto	12	0.22377622377622378	0.4844516614553987
CALR	tnk_exh	12	-0.06293706293706294	0.8459309212287789
CALR	tnk_exh_minus_cyto	12	-0.5594405594405596	0.05858947538856764
CCL18	tnk_cyto	12	0.1328671328671329	0.6805975082860817
CCL18	tnk_exh	12	-0.35664335664335667	0.2551377517589572
CCL18	tnk_exh_minus_cyto	12	-0.5454545454545455	0.06661188226688902
CCL20	tnk_cyto	12	-0.6153846153846154	0.033169901090105904
CCL20	tnk_exh	12	-0.2657342657342658	0.4038330883147116
CCL20	tnk_exh_minus_cyto	12	0.4755244755244756	0.118175957013032
CCL4	tnk_cyto	12	0.18181818181818185	0.5717012385276553
