signature	gene	weight
TIS18_public_mean	CCL5	1
TIS18_public_mean	CD27	1
TIS18_public_mean	CD274	1
TIS18_public_mean	CD276	1
TIS18_public_mean	CD8A	1
TIS18_public_mean	CMKLR1	1
TIS18_public_mean	CXCL9	1
TIS18_public_mean	CXCR6	1
TIS18_public_mean	HLA-DQA1	1
TIS18_public_mean	HLA-DRB1	1
TIS18_public_mean	HLA-E	1
TIS18_public_mean	IDO1	1
TIS18_public_mean	LAG3	1
TIS18_public_mean	NKG7	1
TIS18_public_mean	PDCD1LG2	1
TIS18_public_mean	PSMB10	1
TIS18_public_mean	STAT1	1
TIS18_public_mean	TIGIT	1
IFNG6_mean	IFNG	1
IFNG6_mean	STAT1	1
IFNG6_mean	IDO1	1
IFNG6_mean	CXCL9	1
IFNG6_mean	CXCL10	1
IFNG6_mean	HLA-DRA	1
Higgs_IFNG4_mean	IFNG	1
Higgs_IFNG4_mean	CD274	1
Higgs_IFNG4_mean	LAG3	1
Higgs_IFNG4_mean	CXCL9	1
CTL5_mean	CD8A	1
CTL5_mean	CD8B	1
CTL5_mean	GZMA	1
CTL5_mean	GZMB	1
CTL5_mean	PRF1	1
CAF_collagen3_mean	COL1A1	1
CAF_collagen3_mean	COL1A2	1
CAF_collagen3_mean	COL3A1	1
Bindea_cytotoxic_mean	CTSW	1
Bindea_cytotoxic_mean	GNLY	1
Bindea_cytotoxic_mean	GZMA	1
Bindea_cytotoxic_mean	GZMB	1
Bindea_cytotoxic_mean	GZMH	1
Bindea_cytotoxic_mean	GZMK	1
Bindea_cytotoxic_mean	KLRB1	1
Bindea_cytotoxic_mean	KLRD1	1
Bindea_cytotoxic_mean	KLRK1	1
Bindea_cytotoxic_mean	PRF1	1
hMENA_TGFB_CAF9_mean	C12ORF75	1
hMENA_TGFB_CAF9_mean	GJB2	1
hMENA_TGFB_CAF9_mean	ASPN	1
hMENA_TGFB_CAF9_mean	SPECC1	1
hMENA_TGFB_CAF9_mean	PMEPA1	1
hMENA_TGFB_CAF9_mean	CEMIP	1
hMENA_TGFB_CAF9_mean	MMP1	1
hMENA_TGFB_CAF9_mean	IGF2	1
hMENA_TGFB_CAF9_mean	GPC1	1
Pan_F_TBRS19_mean	ACTA2	1
Pan_F_TBRS19_mean	ACTG2	1
Pan_F_TBRS19_mean	ADAM12	1
Pan_F_TBRS19_mean	ADAM19	1
Pan_F_TBRS19_mean	CNN1	1
Pan_F_TBRS19_mean	COL4A1	1
Pan_F_TBRS19_mean	CCN2	1
Pan_F_TBRS19_mean	CTPS1	1
Pan_F_TBRS19_mean	RFLNB	1
Pan_F_TBRS19_mean	FSTL3	1
Pan_F_TBRS19_mean	HSPB1	1
Pan_F_TBRS19_mean	IGFBP3	1
Pan_F_TBRS19_mean	PXDC1	1
