tma,fov,n_tumor,n_cd8,n_high,n_low,split_rule,median_dist_high,median_dist_low,median_cd8_25_high,median_cd8_25_low,median_cd8_50_high,median_cd8_50_low,median_cd8_100_high,median_cd8_100_low
MESO_TMA1,1,944,115,160,784,pos_vs_zero,21.565016672054867,22.390340749638703,1.0,1.0,3.0,3.0,13.0,12.0
MESO_TMA1,2,463,32,20,443,pos_vs_zero,33.603702970220596,41.97927085960439,0.0,0.0,1.0,1.0,4.0,3.0
MESO_TMA1,3,675,42,39,636,pos_vs_zero,35.21801686337126,33.908822904265165,0.0,0.0,1.0,1.0,5.0,4.0
MESO_TMA1,4,1163,128,82,1081,pos_vs_zero,23.017311536935296,22.541511749762584,1.0,1.0,3.0,3.0,11.5,12.0
MESO_TMA1,5,893,31,53,840,pos_vs_zero,47.28656413473933,42.25354580413881,0.0,0.0,1.0,1.0,3.0,4.0
MESO_TMA1,6,1052,327,98,954,pos_vs_zero,15.42912794178567,15.372776191057994,2.0,2.0,8.0,8.0,34.0,33.0
MESO_TMA1,7,807,62,69,738,pos_vs_zero,23.23926639703073,26.415323433722783,1.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,8,355,30,23,332,pos_vs_zero,37.51212915280013,35.582856192894326,0.0,0.0,1.0,1.0,4.0,3.0
MESO_TMA1,10,1377,91,110,1267,pos_vs_zero,23.577790919782203,25.687595602237487,1.0,0.0,3.0,2.0,11.0,9.0
MESO_TMA1,11,1098,54,55,1043,pos_vs_zero,33.681836396112054,31.87851163291008,0.0,0.0,2.0,1.0,5.0,6.0
MESO_TMA1,12,1316,56,74,1242,pos_vs_zero,30.11254540108189,31.734550401994632,0.0,0.0,1.0,1.0,6.0,6.0
MESO_TMA1,13,1401,116,94,1307,pos_vs_zero,19.918237247197162,22.285907373764356,1.0,1.0,3.5,3.0,13.0,12.0
MESO_TMA1,14,1832,142,153,1679,pos_vs_zero,21.289899771301975,19.749375323391206,1.0,1.0,4.0,4.0,15.0,15.0
MESO_TMA1,15,747,49,51,696,pos_vs_zero,33.50267642122956,28.349232950110114,0.0,0.0,2.0,2.0,7.0,6.0
MESO_TMA1,16,1431,86,110,1321,pos_vs_zero,26.227272202267013,26.75547425313551,0.0,0.0,2.0,2.0,9.0,9.0
MESO_TMA1,17,1137,107,75,1062,pos_vs_zero,21.20649308735312,21.552111625883402,1.0,1.0,4.0,3.0,13.0,12.0
MESO_TMA1,18,1548,132,130,1418,pos_vs_zero,19.89583512280622,21.26132084635079,1.0,1.0,3.0,3.0,13.0,12.0
MESO_TMA1,19,1881,117,164,1717,pos_vs_zero,24.50910729530367,22.151448744782446,1.0,1.0,3.0,3.0,12.0,11.0
MESO_TMA1,20,830,41,34,796,pos_vs_zero,34.22494994046805,39.715172412777676,0.0,0.0,1.0,1.0,4.0,4.0
MESO_TMA1,21,777,46,47,730,pos_vs_zero,39.49820123525718,31.68854933368703,0.0,0.0,1.0,1.0,5.0,6.0
MESO_TMA1,22,1280,58,52,1228,pos_vs_zero,33.970989350003705,29.997142183848553,0.0,0.0,1.0,2.0,5.0,6.0
MESO_TMA1,23,1626,86,95,1531,pos_vs_zero,23.883683133752335,25.36197281250738,1.0,0.0,2.0,3.0,10.0,10.0
MESO_TMA1,24,318,37,69,249,pos_vs_zero,40.80684024913583,39.466688851940994,0.0,0.0,1.0,1.0,4.0,3.0
MESO_TMA1,26,1139,59,76,1063,pos_vs_zero,30.074483151886753,30.934416590070533,0.0,0.0,1.0,1.0,6.0,5.0
MESO_TMA1,27,1084,70,62,1022,pos_vs_zero,31.817521302491464,29.188590392114676,0.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,28,1088,72,59,1029,pos_vs_zero,26.30202118718589,27.92594926143147,0.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,29,1129,305,96,1033,pos_vs_zero,16.51679810810517,15.672442460419497,2.0,2.0,8.0,8.0,32.0,29.0
MESO_TMA1,30,1739,52,78,1661,pos_vs_zero,37.237965055152046,32.81352152573837,0.0,0.0,1.0,1.0,6.0,6.0
MESO_TMA1,31,519,30,39,480,pos_vs_zero,22.717959627606003,31.654099186502382,1.0,0.0,1.0,1.0,4.0,4.0
MESO_TMA1,32,376,23,27,349,pos_vs_zero,29.675052972645567,26.502026936882427,0.0,0.0,2.0,2.0,6.0,6.0
MESO_TMA1,33,482,78,36,446,pos_vs_zero,33.76414467554718,28.690486187390878,0.0,0.0,2.0,2.0,8.5,7.0
MESO_TMA1,34,464,79,28,436,pos_vs_zero,27.183755622841588,28.034396523901606,0.0,0.0,2.0,2.0,9.0,8.0
MESO_TMA1,35,567,66,40,527,pos_vs_zero,27.643605633773728,30.8313562347188,0.0,0.0,2.0,2.0,8.0,8.0
MESO_TMA1,36,648,79,43,605,pos_vs_zero,25.45421503688511,26.844275685963826,0.0,0.0,2.0,2.0,8.0,9.0
MESO_TMA1,37,999,79,83,916,pos_vs_zero,26.58215212530911,24.97884706330889,0.0,0.5,3.0,3.0,11.0,11.0
MESO_TMA1,38,1397,102,124,1273,pos_vs_zero,22.720873901925124,22.223499949807433,1.0,1.0,3.0,3.0,11.0,11.0
MESO_TMA1,39,1667,143,159,1508,pos_vs_zero,20.615655157105255,20.925954577116975,1.0,1.0,4.0,4.0,14.0,14.0
MESO_TMA1,40,1104,67,72,1032,pos_vs_zero,28.661347612550507,30.69238280392467,0.0,0.0,2.0,2.0,6.0,6.0
