tma,fov,n_tumor,n_cd8,n_high,n_low,split_rule,median_dist_high,median_dist_low,median_cd8_25_high,median_cd8_25_low,median_cd8_50_high,median_cd8_50_low,median_cd8_100_high,median_cd8_100_low
LUAD_TMA1,1,706,84,327,379,pos_vs_zero,23.119430524268946,24.17747678629833,1.0,1.0,3.0,3.0,10.0,10.0
LUAD_TMA1,2,688,120,189,499,median_split>1,21.00599893363782,21.206493087354445,1.0,1.0,3.0,3.0,12.0,12.0
LUAD_TMA1,3,773,169,232,541,median_split>1,19.257817494212134,17.945921109333813,1.0,1.0,4.0,5.0,19.0,20.0
LUAD_TMA1,4,590,157,205,385,median_split>1,19.84765788584475,18.822186734257766,1.0,1.0,4.0,5.0,17.0,18.0
LUAD_TMA1,5,221,72,61,160,pos_vs_zero,24.288817974430927,24.952862364409665,1.0,0.5,2.0,3.0,9.0,8.0
LUAD_TMA1,6,263,70,83,180,pos_vs_zero,24.854924159176313,26.75042494085355,1.0,0.0,2.0,2.0,10.0,9.0
LUAD_TMA1,7,705,165,204,501,pos_vs_zero,24.794716374812694,19.1411552807015,1.0,1.0,3.0,5.0,14.5,17.0
LUAD_TMA1,8,717,188,192,525,pos_vs_zero,17.806667735634477,17.154137770696597,1.0,1.0,4.0,5.0,17.0,20.0
LUAD_TMA1,9,777,148,295,482,pos_vs_zero,17.834324086547213,18.709823622217435,1.0,1.0,4.0,4.0,17.0,17.0
LUAD_TMA1,10,873,92,395,478,pos_vs_zero,23.496198495582597,22.06686508656387,1.0,1.0,2.0,3.0,10.0,11.0
LUAD_TMA1,11,739,85,200,539,median_split>1,22.64555921262933,21.680449147006005,1.0,1.0,3.0,3.0,12.0,12.0
LUAD_TMA1,12,719,102,336,383,pos_vs_zero,18.214617249167475,20.229937503096384,1.0,1.0,4.0,4.0,15.0,13.0
LUAD_TMA1,13,1033,166,463,570,pos_vs_zero,17.979747936164024,18.772722407996383,1.0,1.0,6.0,5.0,21.0,18.0
LUAD_TMA1,14,776,97,286,490,pos_vs_zero,22.393975731307293,21.919506225562056,1.0,1.0,4.0,3.0,14.0,12.0
LUAD_TMA1,15,94,34,15,79,pos_vs_zero,34.96094986729686,38.086999591584906,0.0,0.0,1.0,1.0,3.0,4.0
LUAD_TMA1,16,237,79,48,189,pos_vs_zero,21.562541958507225,22.617757718748077,1.0,1.0,3.0,3.0,10.0,10.0
LUAD_TMA1,17,213,27,46,167,pos_vs_zero,48.31178778217342,38.855094519943634,0.0,0.0,1.0,1.0,4.0,4.0
LUAD_TMA1,22,77,11,16,61,pos_vs_zero,68.08837559774423,70.98650063375021,0.0,0.0,0.0,0.0,1.0,1.0
LUAD_TMA1,23,372,28,132,240,pos_vs_zero,36.53074270820895,37.29092681786342,0.0,0.0,1.0,1.0,3.5,4.0
LUAD_TMA1,24,557,30,116,441,median_split>1,50.741326272243036,42.107277720528444,0.0,0.0,0.0,1.0,2.0,4.0
LUAD_TMA1,25,809,77,271,538,median_split>1,21.716120141608585,26.25769954680608,1.0,0.0,3.0,2.0,10.0,8.0
LUAD_TMA1,26,989,132,397,592,median_split>1,19.63366071235601,21.236466484929785,1.0,1.0,4.0,4.0,15.0,14.0
LUAD_TMA1,27,494,166,111,383,pos_vs_zero,16.4084140313456,16.1623382835032,2.0,1.0,7.0,6.0,22.0,21.0
LUAD_TMA1,28,745,150,154,591,pos_vs_zero,20.101514333961394,20.39872205165545,1.0,1.0,4.0,4.0,16.0,15.0
LUAD_TMA1,29,767,181,275,492,median_split>1,15.57893008002898,15.372320527928366,2.0,2.0,7.0,7.0,27.0,26.0
LUAD_TMA1,30,807,174,340,467,median_split>1,15.772277904054437,16.395183215567116,2.0,2.0,6.0,5.0,21.0,18.0
LUAD_TMA1,41,440,126,167,273,pos_vs_zero,18.751725294276444,17.450965885014863,1.0,1.0,5.0,4.0,20.0,20.0
LUAD_TMA1,42,415,107,136,279,pos_vs_zero,21.607379901718662,19.360596996620153,1.0,1.0,3.5,4.0,14.0,15.0
LUAD_TMA1,43,209,61,57,152,pos_vs_zero,27.91791819820411,28.154642111436836,0.0,0.0,2.0,2.0,7.0,7.0
LUAD_TMA1,44,234,80,63,171,pos_vs_zero,25.925293053448456,28.047944622678347,0.0,0.0,3.0,2.0,12.0,9.0
LUAD_TMA1,45,346,81,130,216,pos_vs_zero,24.653203353419432,22.610344815379975,1.0,1.0,2.5,2.0,9.0,11.0
LUAD_TMA1,46,321,80,124,197,pos_vs_zero,29.822947976321444,23.1403840810632,0.0,1.0,2.0,3.0,9.0,10.0
