label_a	label_b	n_a	n_b	mw_U	mw_p	mw_cliffs_delta	g_hedges_g	g_se	g_ci_lo	g_ci_hi	g_n1	g_n2	g_mean_a	g_mean_b	g_median_a	g_median_b	dataset	gene	metric	contrast	note
MPR-any	non-MPR	130	112	5489.0	0.0009755841135545742	-0.2460164835164835	-0.44148170343171306	0.13047443298655148	-0.6972068929886388	-0.18575651387478737	130	112	0.010976793368777424	0.020451923234855816	0.006175575816934857	0.010850833814997966	GSE243013	TACSTD2	TACSTD2_frac_pos	mpr_any_vs_nonMPR	GEO pCR+MPR vs non-MPR; exclude unknowm
CR/PR	SD/PD	152	73	5265.0	0.5365910306308971	-0.05100937274693583	-0.16018240760683208	0.14259942559600716	-0.43967214599110527	0.11930733077744107	152	73	0.014155959339493599	0.01772929276964643	0.007626094479663882	0.008177425350018586	GSE243013	TACSTD2	TACSTD2_frac_pos	RECIST_CRPR_vs_SDPD	deposited radiological_response; n_resp=152 n_nr=73
MPR-any	non-MPR	130	112	5072.0	4.7861569999398356e-05	-0.3032967032967033	-0.5182606733796568	0.13105657427735934	-0.7751268389004795	-0.261394507858834	130	112	0.005511069116127352	0.014382917789259167	0.0020449913785442623	0.005225385480978359	GSE243013	CLDN4	CLDN4_frac_pos	mpr_any_vs_nonMPR	GEO pCR+MPR vs non-MPR; exclude unknowm
CR/PR	SD/PD	152	73	4807.0	0.10523552686847423	-0.13356164383561644	-0.13694144006462608	0.14254560935161367	-0.4163257005481048	0.14244282041885262	152	73	0.008603231139563213	0.010887126591398911	0.003327787135372803	0.004584314211374055	GSE243013	CLDN4	CLDN4_frac_pos	RECIST_CRPR_vs_SDPD	deposited radiological_response; n_resp=152 n_nr=73
