patient	cell_index_0based	gene	count
P01	7	TACSTD2	23
P01	17	TACSTD2	1
P01	20	TACSTD2	2
P01	37	TACSTD2	1
P01	43	TACSTD2	5
P01	82	TACSTD2	19
P01	83	TACSTD2	1
P01	87	TACSTD2	2
P01	93	TACSTD2	2
P01	106	TACSTD2	1
P01	129	TACSTD2	2
P01	130	TACSTD2	1
P01	131	TACSTD2	6
P01	132	TACSTD2	18
P01	136	TACSTD2	22
P01	144	TACSTD2	7
P01	152	TACSTD2	26
P01	156	TACSTD2	2
P01	158	TACSTD2	11
P01	189	TACSTD2	1
P01	218	TACSTD2	2
P01	225	TACSTD2	1
P01	230	TACSTD2	1
P01	233	TACSTD2	1
P01	252	TACSTD2	49
P01	259	TACSTD2	1
P01	272	TACSTD2	1
P01	276	TACSTD2	1
P01	286	TACSTD2	1
P01	305	TACSTD2	6
P01	327	TACSTD2	2
P01	332	TACSTD2	1
P01	347	TACSTD2	32
P01	363	TACSTD2	4
P01	383	TACSTD2	63
P01	387	TACSTD2	1
P01	393	TACSTD2	5
P01	397	TACSTD2	5
P01	406	TACSTD2	6
P01	418	TACSTD2	2
P01	427	TACSTD2	1
P01	429	TACSTD2	2
P01	438	TACSTD2	2
P01	442	TACSTD2	10
P01	445	TACSTD2	10
P01	451	TACSTD2	8
P01	473	TACSTD2	15
P01	477	TACSTD2	6
P01	482	TACSTD2	2
P01	491	TACSTD2	3
P01	538	TACSTD2	2
P01	547	TACSTD2	56
P01	560	TACSTD2	14
P01	572	TACSTD2	1
P01	586	TACSTD2	71
P01	598	TACSTD2	1
P01	620	TACSTD2	3
P01	621	TACSTD2	26
P01	635	TACSTD2	13
P01	638	TACSTD2	121
P01	657	TACSTD2	1
P01	667	TACSTD2	82
P01	672	TACSTD2	17
P01	675	TACSTD2	1
P01	679	TACSTD2	1
P01	681	TACSTD2	42
P01	683	TACSTD2	2
P01	691	TACSTD2	2
P01	692	TACSTD2	2
P01	709	TACSTD2	18
P01	719	TACSTD2	2
P01	723	TACSTD2	7
P01	746	TACSTD2	2
P01	813	TACSTD2	3
P01	815	TACSTD2	2
P01	826	TACSTD2	1
P01	834	TACSTD2	9
P01	836	TACSTD2	3
P01	842	TACSTD2	9
P01	873	TACSTD2	1
P01	884	TACSTD2	6
P01	898	TACSTD2	2
P01	925	TACSTD2	1
P01	931	TACSTD2	6
P01	937	TACSTD2	19
P01	942	TACSTD2	30
P01	953	TACSTD2	33
P01	962	TACSTD2	13
P01	972	TACSTD2	3
P01	976	TACSTD2	5
P01	977	TACSTD2	1
P01	1017	TACSTD2	90
P01	1019	TACSTD2	1
P01	1025	TACSTD2	6
P01	1041	TACSTD2	1
P01	1053	TACSTD2	56
P01	1060	TACSTD2	6
P01	1068	TACSTD2	1
P01	1088	TACSTD2	4
P01	1089	TACSTD2	6
P01	1109	TACSTD2	51
P01	1126	TACSTD2	8
P01	1129	TACSTD2	1
P01	1160	TACSTD2	2
P01	1179	TACSTD2	1
P01	1190	TACSTD2	62
P01	1219	TACSTD2	1
P01	1220	TACSTD2	4
P01	1242	TACSTD2	28
P01	1266	TACSTD2	7
P01	1267	TACSTD2	1
P01	1288	TACSTD2	13
P01	1308	TACSTD2	1
P01	1330	TACSTD2	37
P01	1340	TACSTD2	10
P01	1344	TACSTD2	1
P01	1359	TACSTD2	5
P01	1362	TACSTD2	1
P01	1369	TACSTD2	1
P01	1372	TACSTD2	9
P01	1377	TACSTD2	101
P01	1382	TACSTD2	1
P01	1407	TACSTD2	1
P01	1422	TACSTD2	9
P01	1424	TACSTD2	4
P01	1430	TACSTD2	3
P01	1433	TACSTD2	1
P01	1453	TACSTD2	2
P01	1454	TACSTD2	2
P01	1461	TACSTD2	2
P01	1463	TACSTD2	2
P01	1467	TACSTD2	46
P01	1470	TACSTD2	20
P01	1485	TACSTD2	7
P01	1494	TACSTD2	15
P01	1500	TACSTD2	1
P01	1540	TACSTD2	4
P01	1551	TACSTD2	4
P01	1560	TACSTD2	4
P01	1566	TACSTD2	11
P01	1582	TACSTD2	55
P01	1593	TACSTD2	11
P01	1601	TACSTD2	5
P01	1604	TACSTD2	1
P01	1615	TACSTD2	1
P01	1624	TACSTD2	1
P01	1631	TACSTD2	51
P01	1636	TACSTD2	2
P01	1648	TACSTD2	1
P01	1656	TACSTD2	7
P01	1660	TACSTD2	47
P01	1666	TACSTD2	90
P01	1687	TACSTD2	1
P01	1693	TACSTD2	1
P01	1711	TACSTD2	11
P01	1715	TACSTD2	9
P01	1727	TACSTD2	5
P01	1730	TACSTD2	62
P01	1741	TACSTD2	65
P01	1751	TACSTD2	1
P01	1758	TACSTD2	49
