sample,cohort,sample_type,GRHL1,GRHL2,GRHL3,TACSTD2,CLDN4,CLDN3,CLDN7,ELF3,KLF5
TCGA-69-7978-01,LUAD,primary_tumor,7.5202,9.5729,0.742,13.4099,13.366,9.0615,11.4145,11.0987,10.3598
TCGA-62-8399-01,LUAD,primary_tumor,9.8726,9.5998,8.1493,11.815,13.5222,11.1742,11.4664,13.5732,12.1409
TCGA-78-7539-01,LUAD,primary_tumor,8.374,10.0633,6.5693,12.1829,13.2402,11.1103,11.8335,12.9953,10.7197
TCGA-50-5931-11,LUAD,normal,5.8539,8.9531,1.7243,12.9136,12.7071,8.6835,11.1926,14.1341,12.1326
TCGA-73-4658-01,LUAD,primary_tumor,8.3415,9.121,6.969,12.4766,13.6656,10.2031,11.7101,13.2512,9.675
TCGA-44-6775-01,LUAD,primary_tumor,9.2886,10.4242,5.5213,13.3396,12.7879,10.9921,9.9526,12.8085,11.5476
TCGA-44-2655-01,LUAD,primary_tumor,6.8317,10.3831,6.6577,12.9585,12.8344,8.8386,12.6411,12.7323,11.5414
TCGA-44-3398-01,LUAD,primary_tumor,9.3495,8.816,8.5503,12.3358,12.112,7.9041,11.4537,12.2732,9.9617
TCGA-62-8397-01,LUAD,primary_tumor,7.1559,9.9202,5.6621,12.9923,13.2464,10.6631,11.5135,12.9049,10.4597
TCGA-53-A4EZ-01,LUAD,primary_tumor,6.707,10.6349,5.8395,11.0072,12.4489,10.3032,12.07,14.0387,9.6969
TCGA-50-7109-01,LUAD,primary_tumor,5.0325,11.376,2.8282,12.2356,12.7292,11.401,11.2616,11.8047,10.8345
TCGA-38-6178-01,LUAD,primary_tumor,8.9322,10.0828,5.7767,12.5327,12.8884,10.5894,11.5806,12.2765,10.695
TCGA-86-8056-01,LUAD,primary_tumor,6.699,10.3582,5.3272,12.5018,12.8386,10.1549,10.5545,13.3438,12.1907
TCGA-55-1592-01,LUAD,primary_tumor,9.9441,10.6237,6.0256,13.7366,13.2875,10.9988,11.0753,13.2639,11.7782
TCGA-86-A4JF-01,LUAD,primary_tumor,9.6432,9.5405,7.314,12.6501,14.0192,11.4379,12.6391,13.8471,10.2698
