rank_source	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
scrna_GSE165641_tacstd2_hi_lo	prerank	EPITHELIAL_TJ_CORE	0.8914586939824544	2.1719600357832824	0.0	0.0	0.0	9/10	8.76%	Cldn7;Cldn3;Crb3;Lsr;Cldn4;Cgnl1;Tjp2;F11r;Tjp1
scrna_GSE165641_tacstd2_hi_lo	prerank	TJ_CORE18	0.8914586939824544	2.1719600357832824	0.0	0.0	0.0	9/10	8.76%	Cldn7;Cldn3;Crb3;Lsr;Cldn4;Cgnl1;Tjp2;F11r;Tjp1
scrna_GSE165641_tacstd2_hi_lo	prerank	HALLMARK_P53_PATHWAY	0.5199520073754931	2.143105003101312	0.0	0.0003891973990222602	0.001	37/111	12.96%	Sdc1;Sfn;Epha2;St14;Tsc22d1;Nupr1;Hbegf;Baiap2;Hras;Vamp8;Cd81;Perp;Cdkn2b;Plxnb2;Itgb4;Dram1;Pmm1;Gpx2;Dcxr;Zfp36l1;Pdgfa;Jun;Tax1bp3;Fam162a;Hspa4l;Cdkn2a;Atf3;Krt17;Fos;Abhd4;Foxo3;Procr;Ndrg1;Wwp1;Tob1;App;Phlda3
scrna_GSE165641_tacstd2_hi_lo	prerank	KEGG_TIGHT_JUNCTION	0.5336239534242765	2.05990404076493	0.0	0.0002918980492666951	0.001	31/70	16.46%	Cldn7;Cldn3;Myh14;Crb3;Ezr;Nedd4;Cldn4;Ccnd1;Cgnl1;Wasl;Cttn;Cldn18;Tjp2;Actn1;Afdn;Jun;Actn4;F11r;Runx1;Ybx3;Tuba1c;Tjp1;Itgb1;Slc9a3r1;Amotl1;Ppp2cb;Ppp2ca;Tuba4a;Dlg1;Cdk4;Ppp2r2a
scrna_GSE165641_tacstd2_hi_lo	prerank	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5074040209571621	1.9501112052429461	0.0	0.0009340737576534245	0.003	28/74	9.76%	Sdc1;Sdc4;Tpm1;Areg;Lamc2;Pmepa1;Tnfrsf12a;Mmp14;Ecm1;Tpm2;Itgav;Nt5e;Gja1;Thbs1;Cadm1;Vegfa;Pthlh;Sparc;Jun;Lama3;Cald1;Tpm4;Cxcl15;Ppib;Itga2;Cxcl5;Itgb1;Tnfrsf11b
scrna_GSE165641_tacstd2_hi_lo	prerank	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4826019854901002	1.8956156636438433	0.0	0.0019459869951113013	0.008	27/80	9.52%	Cldn7;Krt18;Krt8;Krt19;Areg;Sfn;Ptges;Muc1;Scnn1a;Elf3;Ccnd1;Abhd2;Hes1;Gja1;Clic3;Fkbp4;Mlph;Endod1;Mast4;Aqp3;Igf1r;Dynlt3;Slc26a2;Fasn;Flnb;Fos;Abca3
scrna_GSE165641_tacstd2_hi_lo	prerank	HALLMARK_ESTROGEN_RESPONSE_LATE	0.4809974303705385	1.8583535176727155	0.0	0.0025019832794288153	0.013	28/75	13.00%	Cdh1;Emp2;Krt19;Areg;Sfn;Lamc2;Ptges;St14;Scnn1a;Lsr;Ccnd1;Abhd2;Clic3;Ltf;Fkbp4;Perp;Dcxr;Tst;Dynlt3;Hspa4l;Btg3;Slc26a2;Flnb;Fos;Abca3;Cd9;Tob1;Myof
scrna_GSE165641_tacstd2_hi_lo	prerank	TJ7	0.9301301301301299	1.846095725296021	0.0	0.002335184394133561	0.014	5/5	7.08%	Cldn7;Cldn3;Cdh1;Cldn4;F11r
scrna_GSE165641_tacstd2_hi_lo	prerank	GO_BICELLULAR_TIGHT_JUNCTION	0.57305117128465	1.777788628433335	0.005226480836236934	0.005319031119970889	0.037	12/25	10.86%	Epcam;Cldn7;Cldn3;Cldn4;Cgnl1;Ank3;Cldn18;Tjp2;F11r;Ybx3;Tjp1;Amotl1
scrna_GSE165641_tacstd2_hi_lo	prerank	HALLMARK_MYC_TARGETS_V1	0.4095754122923156	1.7759797401170763	0.0	0.004903887227680479	0.038	91/151	43.20%	Hdgf;Eif4h;Exosc7;Ywhaq;Cbx3;Prdx4;Eif3b;Psmd3;Glo1;Ldha;Psma2;Vdac1;Cul1;Psmd7;Trim28;Serbp1;Eif2s2;Ywhae;Pgk1;Cct2;Cdk4;Slc25a3;Cct3;Mrpl23;Hsp90ab1;Acp1;Cct7;Cyc1;Tcp1;Psmd1;Snrpd2;Ppm1g;Smarcc1;Erh;Srsf2;Hnrnpa3;Mrps18b;Cnbp;Pole3;Odc1;Ilf2;Psma7;Psmc6;Pa2g4;Cct5;Eif2s1;Vdac3;Hnrnpu;Phb2;Psma4;Rplp0;Snrpa;Psma1;Hdac2;Ube2e1;Tra2b;Rsl1d1;Ssb;Rnps1;Nhp2;Uba2;Snrpa1;Cct4;Eif3d;Ndufab1;Tardbp;Psmb3;Psmc4;Rpl18;Got2;Cops5;Prdx3;Ssbp1;Eif4g2;Txnl4a;Srsf7;Dhx15;Psmb2;Etf1;Hnrnpr;Npm1;Eif4a1;Rad23b;Ranbp1;Hnrnpd;Sf3b3;C1qbp;Clns1a;Bub3;Hspd1;Gspt1
